method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.5146,0.0323,0.5112,0.4876,0.5416,8
bgsrp,0.1,rmse,0.6134,0.0243,0.6093,0.593,0.6337,8
bgsrp,0.1,snr,1.6722,0.4805,1.6754,1.2705,2.0739,8
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.5363,0.0235,0.5291,0.5166,0.5559,8
bgsrp,0.2,rmse,0.6487,0.0188,0.6434,0.6329,0.6644,8
bgsrp,0.2,snr,1.4945,0.4288,1.5361,1.136,1.853,8
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.5468,0.0229,0.5353,0.5277,0.566,8
bgsrp,0.3,rmse,0.6842,0.0354,0.674,0.6546,0.7137,8
bgsrp,0.3,snr,1.4342,0.4044,1.5883,1.0961,1.7723,8
bgsrp,0.3,dtw,,,,,,0
directed_tv,0.1,mae,0.0964,0.0232,0.0958,0.077,0.1158,8
directed_tv,0.1,rmse,0.3387,0.0886,0.3345,0.2646,0.4127,8
directed_tv,0.1,snr,-3.0507,2.2056,-3.1887,-4.8947,-1.2068,8
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1704,0.0274,0.1734,0.1475,0.1932,8
directed_tv,0.2,rmse,0.4274,0.077,0.4347,0.3631,0.4918,8
directed_tv,0.2,snr,-2.037,1.4503,-2.3242,-3.2495,-0.8245,8
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2037,0.0044,0.2019,0.2001,0.2074,8
directed_tv,0.3,rmse,0.4236,0.0281,0.4112,0.4001,0.447,8
directed_tv,0.3,snr,-0.1405,0.1533,-0.0967,-0.2686,-0.0123,8
directed_tv,0.3,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.3587,0.1278,0.3562,0.2519,0.4655,8
graph_time_tikhonov,0.1,rmse,0.4424,0.1128,0.4308,0.3482,0.5367,8
graph_time_tikhonov,0.1,snr,6.0153,4.3271,5.1744,2.3978,9.6329,8
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.3942,0.1088,0.394,0.3032,0.4851,8
graph_time_tikhonov,0.2,rmse,0.4934,0.0828,0.4832,0.4241,0.5626,8
graph_time_tikhonov,0.2,snr,5.2736,3.7841,4.4959,2.11,8.4372,8
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4303,0.0904,0.4317,0.3548,0.5059,8
graph_time_tikhonov,0.3,rmse,0.5526,0.0622,0.545,0.5005,0.6046,8
graph_time_tikhonov,0.3,snr,4.6136,3.2842,3.9034,1.8679,7.3592,8
graph_time_tikhonov,0.3,dtw,,,,,,0
gsmooth,0.1,mae,0.0656,0.0024,0.0652,0.0636,0.0677,8
gsmooth,0.1,rmse,0.2303,0.0083,0.2286,0.2234,0.2373,8
gsmooth,0.1,snr,0.1244,0.304,0.1872,-0.1297,0.3786,8
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1286,0.005,0.1285,0.1244,0.1328,8
gsmooth,0.2,rmse,0.3206,0.0117,0.3206,0.3108,0.3304,8
gsmooth,0.2,snr,0.2347,0.3197,0.2257,-0.0326,0.502,8
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.2176,0.0029,0.2169,0.2152,0.22,8
gsmooth,0.3,rmse,0.4445,0.0044,0.444,0.4408,0.4481,8
gsmooth,0.3,snr,-0.81,0.142,-0.7887,-0.9287,-0.6912,8
gsmooth,0.3,dtw,,,,,,0
gsp,0.1,mae,0.0812,0.0129,0.0808,0.0704,0.092,8
gsp,0.1,rmse,0.2878,0.048,0.2867,0.2476,0.3279,8
gsp,0.1,snr,-1.6436,1.3373,-1.6884,-2.7616,-0.5255,8
gsp,0.1,dtw,,,,,,0
gsp,0.2,mae,0.1566,0.0244,0.1552,0.1362,0.177,8
gsp,0.2,rmse,0.3972,0.0633,0.3945,0.3443,0.4501,8
gsp,0.2,snr,-1.4752,1.298,-1.5085,-2.5604,-0.39,8
gsp,0.2,dtw,,,,,,0
gsp,0.3,mae,0.2404,0.0252,0.2305,0.2193,0.2614,8
gsp,0.3,rmse,0.4982,0.0572,0.4782,0.4504,0.546,8
gsp,0.3,snr,-1.7575,0.9295,-1.4522,-2.5346,-0.9804,8
gsp,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.1,mae,0.1394,0.1955,0.0708,-0.0241,0.3029,8
heat_diffusion_temporal,0.1,rmse,0.4546,0.5973,0.2452,-0.0448,0.954,8
heat_diffusion_temporal,0.1,snr,-2.6437,6.3693,-0.4555,-7.9685,2.6812,8
heat_diffusion_temporal,0.1,dtw,,,,,,0
heat_diffusion_temporal,0.2,mae,0.2723,0.3891,0.1357,-0.053,0.5975,8
heat_diffusion_temporal,0.2,rmse,0.6274,0.8414,0.3316,-0.076,1.3309,8
heat_diffusion_temporal,0.2,snr,-2.3488,6.4626,-0.1135,-7.7517,3.054,8
heat_diffusion_temporal,0.2,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,0.41,0.5766,0.2074,-0.072,0.8921,8
heat_diffusion_temporal,0.3,rmse,0.7722,1.018,0.416,-0.0789,1.6233,8
heat_diffusion_temporal,0.3,snr,-2.5611,6.3823,-0.3573,-7.8969,2.7746,8
heat_diffusion_temporal,0.3,dtw,,,,,,0
idw,0.1,mae,0.0626,0.0,0.0626,,,8
idw,0.1,rmse,0.2199,0.0,0.2199,,,8
idw,0.1,snr,0.5659,0.0,0.5659,,,8
idw,0.1,dtw,,,,,,0
idw,0.2,mae,0.1289,0.0,0.1289,,,8
idw,0.2,rmse,0.323,0.0,0.323,,,8
idw,0.2,snr,0.2144,0.0,0.2144,,,8
idw,0.2,dtw,,,,,,0
idw,0.3,mae,0.2193,0.0,0.2193,,,8
idw,0.3,rmse,0.4473,0.0,0.4473,,,8
idw,0.3,snr,-0.8376,0.0,-0.8376,,,8
idw,0.3,dtw,,,,,,0
linear,0.1,mae,0.0634,0.0,0.0634,,,8
linear,0.1,rmse,0.2442,0.0,0.2442,,,8
linear,0.1,snr,-0.0777,0.0,-0.0777,,,8
linear,0.1,dtw,,,,,,0
linear,0.2,mae,0.1771,0.0,0.1771,,,8
linear,0.2,rmse,0.4704,0.0,0.4704,,,8
linear,0.2,snr,-3.0801,0.0,-3.0801,,,8
linear,0.2,dtw,,,,,,0
linear,0.3,mae,0.2572,0.0,0.2572,,,8
linear,0.3,rmse,0.5369,0.0,0.5369,,,8
linear,0.3,snr,-2.4191,0.0,-2.4191,,,8
linear,0.3,dtw,,,,,,0
mean,0.1,mae,0.0589,0.0,0.0589,,,8
mean,0.1,rmse,0.2085,0.0,0.2085,,,8
mean,0.1,snr,0.9476,0.0,0.9476,,,8
mean,0.1,dtw,,,,,,0
mean,0.2,mae,0.1208,0.0,0.1208,,,8
mean,0.2,rmse,0.3009,0.0,0.3009,,,8
mean,0.2,snr,0.781,0.0,0.781,,,8
mean,0.2,dtw,,,,,,0
mean,0.3,mae,0.2125,0.0,0.2125,,,8
mean,0.3,rmse,0.4356,0.0,0.4356,,,8
mean,0.3,snr,-0.5475,0.0,-0.5475,,,8
mean,0.3,dtw,,,,,,0
nearest,0.1,mae,0.0643,0.0,0.0643,,,8
nearest,0.1,rmse,0.2523,0.0,0.2523,,,8
nearest,0.1,snr,-0.2762,0.0,-0.2762,,,8
nearest,0.1,dtw,,,,,,0
nearest,0.2,mae,0.1802,0.0,0.1802,,,8
nearest,0.2,rmse,0.4796,0.0,0.4796,,,8
nearest,0.2,snr,-3.2924,0.0,-3.2924,,,8
nearest,0.2,dtw,,,,,,0
nearest,0.3,mae,0.2885,0.0,0.2885,,,8
nearest,0.3,rmse,0.6166,0.0,0.6166,,,8
nearest,0.3,snr,-3.6999,0.0,-3.6999,,,8
nearest,0.3,dtw,,,,,,0
puy,0.1,mae,0.3772,0.1583,0.3909,0.2448,0.5095,8
puy,0.1,rmse,0.489,0.1122,0.4828,0.3952,0.5829,8
puy,0.1,snr,7.2,8.6016,4.3034,0.0088,14.3911,8
puy,0.1,dtw,,,,,,0
puy,0.2,mae,0.4168,0.1306,0.4325,0.3077,0.526,8
puy,0.2,rmse,0.5467,0.0706,0.5434,0.4877,0.6057,8
puy,0.2,snr,6.327,7.5456,3.7285,0.0187,12.6353,8
puy,0.2,dtw,,,,,,0
puy,0.3,mae,0.4471,0.1084,0.4618,0.3564,0.5377,8
puy,0.3,rmse,0.596,0.0485,0.5897,0.5555,0.6366,8
puy,0.3,snr,5.6235,6.7134,3.2147,0.011,11.236,8
puy,0.3,dtw,,,,,,0
rbfi_mq,0.1,mae,0.0895,0.0,0.0895,,,8
rbfi_mq,0.1,rmse,0.3334,0.0,0.3334,,,8
rbfi_mq,0.1,snr,-2.7767,0.0,-2.7767,,,8
rbfi_mq,0.1,dtw,,,,,,0
rbfi_mq,0.2,mae,0.1938,0.0,0.1938,,,8
rbfi_mq,0.2,rmse,0.5037,0.0,0.5037,,,8
rbfi_mq,0.2,snr,-3.6878,0.0,-3.6878,,,8
rbfi_mq,0.2,dtw,,,,,,0
rbfi_mq,0.3,mae,0.2845,0.0,0.2845,,,8
rbfi_mq,0.3,rmse,0.6268,0.0,0.6268,,,8
rbfi_mq,0.3,snr,-3.4832,0.0,-3.4832,,,8
rbfi_mq,0.3,dtw,,,,,,0
rbfi_tps,0.1,mae,0.0884,0.0,0.0884,,,8
rbfi_tps,0.1,rmse,0.3315,0.0,0.3315,,,8
rbfi_tps,0.1,snr,-2.5703,0.0,-2.5703,,,8
rbfi_tps,0.1,dtw,,,,,,0
rbfi_tps,0.2,mae,0.187,0.0,0.187,,,8
rbfi_tps,0.2,rmse,0.4833,0.0,0.4833,,,8
rbfi_tps,0.2,snr,-3.2781,0.0,-3.2781,,,8
rbfi_tps,0.2,dtw,,,,,,0
rbfi_tps,0.3,mae,0.2752,0.0,0.2752,,,8
rbfi_tps,0.3,rmse,0.5909,0.0,0.5909,,,8
rbfi_tps,0.3,snr,-3.1384,0.0,-3.1384,,,8
rbfi_tps,0.3,dtw,,,,,,0
sobolev,0.1,mae,0.5313,0.0788,0.5529,0.4654,0.5972,8
sobolev,0.1,rmse,0.6021,0.0832,0.6246,0.5326,0.6716,8
sobolev,0.1,snr,1.6353,1.5291,1.1538,0.357,2.9136,8
sobolev,0.1,dtw,,,,,,0
sobolev,0.2,mae,0.5459,0.0681,0.5651,0.489,0.6029,8
sobolev,0.2,rmse,0.6191,0.0682,0.638,0.562,0.6761,8
sobolev,0.2,snr,1.4032,1.3232,0.9786,0.297,2.5094,8
sobolev,0.2,dtw,,,,,,0
sobolev,0.3,mae,0.5518,0.0578,0.5683,0.5035,0.6002,8
sobolev,0.3,rmse,0.6297,0.0571,0.6452,0.582,0.6774,8
sobolev,0.3,snr,1.3118,1.1435,0.9383,0.3558,2.2678,8
sobolev,0.3,dtw,,,,,,0
spherical_spline,0.1,mae,0.111,0.0,0.111,,,8
spherical_spline,0.1,rmse,0.4072,0.0,0.4072,,,8
