Dataset,Familia,MAE_mean,MAE_median,MAE_std,RMSE_mean,RMSE_median,RMSE_std,DTW_mean,DTW_median,DTW_std,SNR_mean,SNR_median,SNR_std
bci_iv2a_real_s3,Baseline,0.09431890887027641,0.0813855893771333,0.04308885550604533,0.24799478697586835,0.2398442211782771,0.061615911753061116,1.7353478362789536,1.744889045062476,0.4338104493074113,13.580809671120168,13.647703067553264,2.3961031949142706
bci_iv2a_real_s3,GSP Instantáneo,5.797034067525331e+59,0.1650436685508916,6.697193197785768e+60,1.0168499713235006e+61,0.33992480208534526,1.0661515328233518e+62,2.1697110852297273e+61,2.4924643784284206,2.55435723727735e+62,7.595601270792949,10.296888889970596,14.529442039591375
bci_iv2a_real_s3,TV/Tiempo,0.09771092847596087,0.0771940761377243,0.06006293878195134,0.2514541859774983,0.2229790900712627,0.10857034842161206,1.7411031547394604,1.6356521053793172,0.6055129666694249,13.713037701775162,14.01719016903548,3.6474780354968703
iris_graph_signal,Baseline,0.18983453856853874,0.1423079891491113,0.06478919111800598,0.4712546390685292,0.4212131326928351,0.08549207163547416,2.7118631482657185,2.501931817905742,0.527293445271667,8.688979357422902,9.85809577947764,1.6730768560693763
iris_graph_signal,GSP Instantáneo,0.6130566523828489,0.2728831792872616,1.4748540630094682,1.3235422626135727,0.5896027392370031,3.676535856536314,10.669863917758661,3.457417976341694,34.96086821131696,5.247759643866924,6.497380703326781,6.96037073285618
iris_graph_signal,TV/Tiempo,0.19625632156940637,0.1777995384808271,0.08122987618621115,0.45683712377771823,0.4702069156530817,0.1077478699928977,2.730036789866902,2.8125855330586758,0.6893750049475006,8.147749121395622,7.474125059193756,2.7713316318533434
mne_sample,Baseline,0.04612296398502455,0.0394841353214269,0.02324663879518485,0.13777304924614364,0.1345611831095005,0.03870357117721642,0.8152241967540201,0.7917157800572637,0.26595374760209634,20.991625248982388,20.9491923358271,3.1488793866284355
mne_sample,GSP Instantáneo,0.38158253794777847,0.08906994261441614,2.471868621234945,2.362467289687365,0.1740866466671496,21.65857314603068,7.675803170434356,1.2104032966209122,62.10333350750526,13.902728746461907,16.333664240498038,7.689225437133143
mne_sample,TV/Tiempo,0.050561636067248755,0.0323971919151152,0.061783607565545046,0.13137282062774616,0.0895119442480422,0.1338970909099408,0.8975148884975657,0.6429097575882717,0.8251533055381137,21.523536976983237,22.72363104017033,6.273835754418641
physionet_eegmmidb_real,Baseline,0.07264225042380713,0.0613099715560857,0.03816738706281147,0.20876007216993764,0.2023517802611391,0.06593236389136999,1.3405594300138737,1.2803474930853114,0.4526607026509653,16.37840410131922,16.607742495639354,3.299272521620476
physionet_eegmmidb_real,GSP Instantáneo,0.3459815923882695,0.1687121322450484,1.5634253299078555,2.2262427182411675,0.2936826064341877,19.873315955954375,9.37950074361816,2.083060125428009,79.18009959635276,10.50708944511347,11.287688708761406,5.7426363304146815
physionet_eegmmidb_real,TV/Tiempo,0.07637903342720423,0.0655633030748642,0.06274751762786945,0.1968915295526815,0.1687423823289887,0.12039262408848543,1.3257864523676572,1.2021446982199795,0.6407326956076073,16.343011430169344,16.863709914760175,4.603586894942886
