Dataset,Familia,Combinacion,MAE,RMSE,DTW,SNR
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | aew | spherical_spline,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | epsilon_ball | spherical_spline,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k3 | spherical_spline,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k5 | spherical_spline,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k7 | spherical_spline,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k9 | spherical_spline,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knng | spherical_spline,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | nnk | spherical_spline,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | vknng | spherical_spline,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | bgsrp,53.34221231526141,692.1909460953561,1297.9631586220355,-2.647606995565123
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | ica,0.1650436685508916,0.4542469249479733,2.6779127154082434,7.004903364573793
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | idw,0.0813855893771333,0.2398442211782771,1.7448890450624754,13.647703067553264
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | linear,0.0636365089304227,0.1989049060297766,1.3880797175302089,16.036403139362772
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | rbfi_tps,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | sobolev,0.4833700460674292,0.6390178963084614,4.591899712833997,3.907111701427784
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | temporal_laplacian,0.1632580915869985,0.2555065897505484,1.9272901346098552,13.67119572624241
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | tikhonov,3.8965011784849846e+61,9.460822486354017e+62,1.7459803328085165e+63,-91.19999865379212
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | tv,1.3419394142223394e+59,3.3610113103174444e+60,1.0574794152914512e+61,-84.9666896280713
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | visibility_nnk,0.1678728077709557,0.4594836945440566,2.7054485579133765,6.872507129717138
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | epsilon_ball | bgsrp,0.3526853178047018,0.4706127239214438,3.355841353606623,7.583403975450256
