test_id,metric,group_a,group_b,p_value,decision
mae_tv_family_vs_instant,mae,tv_time,instant,0.09365205984465919,not_significant
rmse_tv_family_vs_instant,rmse,tv_time,instant,0.0001421130646959552,significant
mae_trss_vs_tikhonov,mae,trss,tikhonov,1.3209994221100237e-05,significant
