"graph","combos","mean_of_mean_mae","mean_of_median_mae","mean_of_std_mae","best_combo","best_combo_mean"
"knn__k3","22","0,210689514061914","0,23383806139289","0,138654759364206","knn__k3|mean","0,136906055370408"
"nnk__k4","22","0,197676951555938","0,214863612516235","0,132822786226245","nnk__k4|mean","0,136906055370408"
"gaussian__sigma1","22","0,223360005155957","0,250566383169336","0,144720121851627","gaussian__sigma1|heat_diffusion_temporal","0,136500203145853"
"aew__k4_sigma_corr0_5_sigma_dist1","22","0,187945913190596","0,199139387556406","0,128330822120925","aew__k4_sigma_corr0_5_sigma_dist1|heat_diffusion_temporal","0,135566689682746"
"kalofolias","22","0,306164759163094","0,344816653145859","0,200069031442061","kalofolias|directed_tv","0,135783637686722"
"knn__k5","22","0,217887811281349","0,242932020611704","0,141971678629099","knn__k5|mean","0,136906055370408"
"vknng__alpha1_k4_k_max8_k_min2","22","0,214661009047086","0,238529347253945","0,140466504950409","vknng__alpha1_k4_k_max8_k_min2|mean","0,136906055370408"
"knng__k4_sigma1","22","0,209991448794238","0,232111104314538","0,138110629283365","knng__k4_sigma1|mean","0,136906055370408"
