method,mae_mean,mae_std,mae_median,time_mean_sec
trss,11.336661974151893,17.56321420541462,1.962615601665134e-06,0.034274197833336
tv,13.416329426240537,20.786488394910595,3.9820372614344615e-06,0.29328728066665616
mean,13.89711372755257,21.529326791264452,4.078294270833333e-06,0.003730810166662953
tikhonov,33.57545717045022,52.01510098075083,5.5406411300553475e-06,0.012518306666673121
