method,n,success_rate,mae_mean,mae_median,rmse_mean,nrmse_mean,snr_mean,lsd_mean,coherence_mean,corr_mean,r2_mean,runtime_s_mean,runtime_s_median,warning_count_mean
mne_interpolate_bads_spline,300,1.0,1.4443114170161939e-05,1.1330450438219826e-05,1.8276450330386553e-05,0.8041377699800044,8.417404025694088,0.7885624538821648,0.7850163098985413,0.8076747770874267,0.01011477314745162,0.017785981056658733,0.009014414999910451,0.0
trss_cv_tuned_seed0,300,1.0,1.075861474205332e-05,8.3149113851941e-06,1.368217474179698e-05,0.5892111664378605,9.00395882261125,0.8627447028253535,0.8073379826189118,0.8600206547349116,0.5313890777667755,0.12462463882668084,0.08450429149979749,0.0
trss_default,300,1.0,1.1077531674268758e-05,8.461615450269208e-06,1.4002373054339004e-05,0.604288421551126,9.336815294676164,0.8110721876389542,0.8096810439546583,0.8596804681051717,0.5078953267144293,0.15631973688999395,0.12139736350036401,0.0
trss_oracle_grid,300,1.0,1.0407657490191969e-05,8.113142215470156e-06,1.3263471699111016e-05,0.5696511211036824,9.121473888353623,0.8521534432816095,0.8079960643231898,0.8646258685879231,0.5711222240921839,0.1331747688333113,0.08079562949933455,0.0
