iteration,dataset,missing_ratio,variant,mae,rmse,dtw,snr,lsd,coherence_mean,total_power,peak_freq,spectral_slope,bp_delta,bp_theta,bp_alpha,bp_beta,bp_gamma
2,bci_iv2a_s1,0.2,Spatial-Only Spline,3.4750828124999996e-06,1.7864124565433764e-05,3.3864619056400014e-05,7.6292245224474176,0.13146560000096222,0.9650970382846071,3.200482473962734e-08,1.0,-1.6285738411003547,1.5639347038439897e-08,4.515201940378797e-09,4.570653364392332e-09,6.086756995327482e-09,1.1928654010888359e-09
3,bci_iv2a_s1,0.2,TRSS-Full,1.747702977536422e-06,6.456706486334126e-06,1.7312461075807657e-05,6.025058488148685,0.11937130487744231,0.9635100575169756,4.733606368872182e-08,1.0,-1.8620875956004834,2.5019677791346177e-08,1.0075501970125784e-08,5.026104643903073e-09,6.0570940386613625e-09,1.1576852446854238e-09
3,bci_iv2a_s1,0.2,TRSS-NoTemporal,1.7576704544517958e-06,6.487057207995655e-06,1.774195592090109e-05,5.900142168635377,0.12499077129658266,0.9635063999206488,4.728380610374127e-08,1.0,-1.8676361866492168,2.501883955462876e-08,1.0073314291079834e-08,5.019870986787893e-09,6.029799804539406e-09,1.1419814667053836e-09
3,bci_iv2a_s1,0.2,Spatial-Only Spline,1.6443134375000002e-06,6.172745146242242e-06,1.6040108230946058e-05,6.97030268024532,0.09509513448752333,0.9643731007852597,4.925705835958529e-08,1.0,-1.8559751333106151,2.584282569036293e-08,1.0273603880282576e-08,5.365583642258836e-09,6.550858784497388e-09,1.2241863621835639e-09
4,bci_iv2a_s1,0.2,TRSS-Full,3.903654679039953e-06,1.905498835127633e-05,3.8874166884112846e-05,5.259907204045669,0.14820580783096812,0.9544361536725914,3.0327364192806266e-08,1.0,-1.631527586101846,1.4925910538198582e-08,4.404605475078307e-09,4.286100346750299e-09,5.58593420786192e-09,1.1248136249171559e-09
4,bci_iv2a_s1,0.2,TRSS-NoTemporal,3.914834638418575e-06,1.907057575410212e-05,3.9729780462419144e-05,5.11342059137459,0.15440842313349573,0.9544326901494344,3.027937412993738e-08,1.0,-1.6373328954429112,1.4925305049948207e-08,4.403343163812609e-09,4.280532747805292e-09,5.560527688523031e-09,1.1096654798482375e-09
4,bci_iv2a_s1,0.2,Spatial-Only Spline,3.66049046875e-06,1.7983653094613333e-05,3.4859840710683185e-05,5.922419189685874,0.11625547667491784,0.9576434751274734,3.228153965038595e-08,1.0,-1.6293096511728542,1.5587298927430577e-08,4.641794120957592e-09,4.687100780838117e-09,6.1591509579370164e-09,1.2061948632226474e-09
5,bci_iv2a_s1,0.2,TRSS-Full,3.718027668312946e-06,1.8674887791772414e-05,3.7788376826104294e-05,5.719685793697419,0.14812524598835808,0.9643171579147478,3.0420200722692615e-08,1.0,-1.6395714033426951,1.5053491828486238e-08,4.42885639976419e-09,4.256310982228588e-09,5.569148377254316e-09,1.1123931349592824e-09
5,bci_iv2a_s1,0.2,TRSS-NoTemporal,3.732577534671639e-06,1.8690937371819815e-05,3.86088165120437e-05,5.541402130482465,0.1549078506434266,0.9643043993002272,3.037352321439412e-08,1.0,-1.6452537542952779,1.5052995605911e-08,4.427731929048424e-09,4.250998793617485e-09,5.543599576656557e-09,1.0981973091606518e-09
5,bci_iv2a_s1,0.2,Spatial-Only Spline,3.5913890625e-06,1.78578397248952e-05,3.392337531234844e-05,6.127823204784148,0.11934894434071688,0.9581291996618032,3.2683637826027506e-08,1.0,-1.6423690005674967,1.597625391732519e-08,4.713409346522119e-09,4.6702996540414376e-09,6.127224710254801e-09,1.1964501978839618e-09
6,bci_iv2a_s1,0.2,TRSS-Full,1.5503032853175511e-06,4.810043521006848e-06,1.5287621398037092e-05,5.675737968985672,0.12792172202101623,0.9638263145568975,4.707039110546941e-08,1.0,-1.839246353441731,2.4993396622570336e-08,9.957737824353881e-09,4.917916125730606e-09,6.017209502108788e-09,1.1841310307058032e-09
6,bci_iv2a_s1,0.2,TRSS-NoTemporal,1.5642493122182085e-06,4.868433808660179e-06,1.592145195464961e-05,5.5497388795936535,0.13416303364393545,0.9638050595450457,4.702277229659509e-08,1.0,-1.8442238162085507,2.499254181244825e-08,9.955711113303722e-09,4.912180902629695e-09,5.992895560822371e-09,1.1694429073910459e-09
6,bci_iv2a_s1,0.2,Spatial-Only Spline,1.127726171875e-06,3.3024933777539886e-06,1.1037657350498786e-05,8.764212268761636,0.0815377364472762,0.9750855237852852,4.909497751433543e-08,1.0,-1.8278830453770365,2.570468655533921e-08,1.0183812358072407e-08,5.310222666433384e-09,6.623576546432824e-09,1.2726793880576095e-09
7,bci_iv2a_s1,0.2,TRSS-Full,1.5136104730822983e-06,4.617749030572741e-06,1.6650711529333165e-05,6.038329161903579,0.13337780457477078,0.9789092713523538,4.621268701886842e-08,1.0,-1.8301479489859542,2.4443811067475564e-08,9.771345739077876e-09,4.8085908266977775e-09,6.0042564527060786e-09,1.1846829329111235e-09
7,bci_iv2a_s1,0.2,TRSS-NoTemporal,1.5289679499324179e-06,4.683001971275447e-06,1.72779388701993e-05,5.895844502813892,0.13957462150840635,0.9789113339134891,4.616863663152027e-08,1.0,-1.8349964403961492,2.4443205288382334e-08,9.769738674371359e-09,4.8036829461631395e-09,5.98086573324519e-09,1.1711439893582465e-09
7,bci_iv2a_s1,0.2,Spatial-Only Spline,1.2315709374999999e-06,3.838196206326041e-06,1.1680540213715561e-05,8.373164753530142,0.08858770739731138,0.9751257451563555,4.868681713936238e-08,1.0,-1.8229033629382894,2.5512453197457332e-08,1.0052187487383614e-08,5.230723103606104e-09,6.613898986315937e-09,1.2775543645993945e-09
8,bci_iv2a_s1,0.2,TRSS-Full,1.6693140726631375e-06,4.955548173315601e-06,1.591408271614894e-05,4.692307988309514,0.12406845106602599,0.9600346456895094,4.7394344597728524e-08,1.0,-1.8479955605678031,2.5305735215991525e-08,9.978588995875746e-09,4.903792417556841e-09,6.027527000976826e-09,1.1787009673275855e-09
8,bci_iv2a_s1,0.2,TRSS-NoTemporal,1.6816324744743725e-06,5.012053070794816e-06,1.6517539127892464e-05,4.565381078392629,0.13035340054480526,0.9600327386125721,4.7347003268607996e-08,1.0,-1.8531699688187626,2.5305031241293962e-08,9.976897160522798e-09,4.898275938924655e-09,6.002313170139135e-09,1.1644857577274459e-09
8,bci_iv2a_s1,0.2,Spatial-Only Spline,1.5133330468749999e-06,4.538417019303047e-06,1.2952320979104733e-05,5.790276864311947,0.09844530050517707,0.9637076929848131,4.9944615028361854e-08,1.0,-1.8427330286360284,2.6420434610551348e-08,1.032540893700058e-08,5.314328352365462e-09,6.61544399099156e-09,1.2689991374529028e-09
9,bci_iv2a_s1,0.2,TRSS-Full,2.685514237236322e-06,1.2084981198693114e-05,2.4689903256389464e-05,6.021099028920789,0.13824773110128197,0.9533565110853196,3.865149724630328e-08,1.0,-1.8310692500962822,1.9257205274960898e-08,8.432745094588164e-09,4.263783064263104e-09,5.7215666748087065e-09,9.761971376824046e-10
9,bci_iv2a_s1,0.2,TRSS-NoTemporal,2.6997740974236176e-06,1.2109215727711669e-05,2.527843394347759e-05,5.852170985769839,0.14505917327999956,0.9533613975720725,3.8601928937205826e-08,1.0,-1.8371925687921522,1.9256118109058965e-08,8.430199894080433e-09,4.257754204485359e-09,5.695589609323061e-09,9.6226712025801e-10
9,bci_iv2a_s1,0.2,Spatial-Only Spline,2.5660962499999996e-06,1.1471484190524891e-05,2.1656020151418434e-05,6.017908610239063,0.11253517213159497,0.9461987370616609,4.05582403599935e-08,1.0,-1.8212149761768652,1.9985920326775274e-08,8.585472721814662e-09,4.647042570545914e-09,6.284350652649443e-09,1.0554540882082055e-09
0,bci_iv2a_s1,0.3,TRSS-Full,3.7780881859101997e-06,1.312552641076172e-05,3.6524262398941325e-05,4.285207479348644,0.25957472096908346,0.9336015367827879,3.660577389381841e-08,1.0,-1.8883814095378155,1.8453739113505112e-08,8.30685409570811e-09,3.930897048834279e-09,5.077835931692475e-09,8.364477040784358e-10
0,bci_iv2a_s1,0.3,TRSS-NoTemporal,3.8024237859125476e-06,1.3169590862051808e-05,3.744943684906799e-05,4.13744052753852,0.2736017758819668,0.9336052494274356,3.655529122800654e-08,1.0,-1.895214504083068,1.8452370532494774e-08,8.303877636093702e-09,3.924339788484612e-09,5.051896412667377e-09,8.228068582660736e-10
0,bci_iv2a_s1,0.3,Spatial-Only Spline,3.471713628472222e-06,1.2534991717371212e-05,3.013100519413958e-05,5.897494743250588,0.16663637479709764,0.9206792533840701,4.0652909102524545e-08,1.0,-1.8595627183855992,2.006495567032719e-08,8.773340419519864e-09,4.664813471433373e-09,6.148704707826369e-09,1.0010948334177506e-09
1,bci_iv2a_s1,0.3,TRSS-Full,4.419406883408041e-06,1.893955907430707e-05,4.5841303056279186e-05,5.407261150986527,0.20405891699558187,0.9554536350385251,2.8778465288787116e-08,1.0,-1.6245759503788006,1.4407901597269747e-08,4.074484208059943e-09,3.9618597558522095e-09,5.254207481912813e-09,1.0800122456924021e-09
1,bci_iv2a_s1,0.3,TRSS-NoTemporal,4.437822876048278e-06,1.8962630850375345e-05,4.692186458252347e-05,5.259257441068941,0.21336684843170559,0.955441694393667,2.871584337724435e-08,1.0,-1.6324518985894887,1.4407218118492615e-08,4.073002151443497e-09,3.9546770926735e-09,5.220400236865242e-09,1.0605457777694976e-09
1,bci_iv2a_s1,0.3,Spatial-Only Spline,3.855233159722222e-06,1.7968659314686097e-05,3.752651289972206e-05,8.120271007759444,0.17250103602417796,0.9551274719117052,3.167030217159414e-08,1.0,-1.6227305083480392,1.5496609627559376e-08,4.394451211246175e-09,4.512657540105055e-09,6.0646164943991545e-09,1.2019672982843808e-09
2,bci_iv2a_s1,0.3,TRSS-Full,4.7003386884620025e-06,1.9712458325600583e-05,4.906488526017147e-05,5.449692975994691,0.2086826671552236,0.9487119153901419,2.7931534977605976e-08,1.0,-1.61416735599326,1.3723013667355935e-08,3.991788612542211e-09,3.911632356583771e-09,5.2390960045773055e-09,1.066004336546755e-09
2,bci_iv2a_s1,0.3,TRSS-NoTemporal,4.719570100668965e-06,1.9735206657923833e-05,5.0181155692736284e-05,5.286384865093599,0.21832799980140322,0.9487154489209964,2.7867550866489473e-08,1.0,-1.622406304260535,1.3722288842957564e-08,3.990154168612458e-09,3.904375314051664e-09,5.2047196298710885e-09,1.0460129109966986e-09
2,bci_iv2a_s1,0.3,Spatial-Only Spline,4.230970572916666e-06,1.8345078511437634e-05,4.0739251437290745e-05,7.049323272818694,0.17061614177738274,0.9494638459988707,3.075456810485977e-08,1.0,-1.6100644965719717,1.473101516105841e-08,4.30481605072037e-09,4.460990006102854e-09,6.068769279595227e-09,1.1889776073829096e-09
3,bci_iv2a_s1,0.3,TRSS-Full,2.375580544455161e-06,7.318797631855918e-06,2.434010244621332e-05,6.251299892241442,0.17298607030000693,0.9475997648976194,4.5867905440100754e-08,1.0,-1.8619940608986234,2.4200606992000237e-08,1.0014630312143336e-08,4.764514461901026e-09,5.766100962005331e-09,1.1220527120508233e-09
3,bci_iv2a_s1,0.3,TRSS-NoTemporal,2.3917919606329858e-06,7.363330041279458e-06,2.5091261800427377e-05,6.097109369034422,0.18105370402377666,0.9475961471494933,4.5794464954892987e-08,1.0,-1.8706127492624596,2.4199346542893404e-08,1.0010817484964567e-08,4.756233068640651e-09,5.7286588019010695e-09,1.0994090564932925e-09
3,bci_iv2a_s1,0.3,Spatial-Only Spline,2.3583900173611107e-06,7.025577147630614e-06,2.2565538682130384e-05,6.437076748591598,0.13182244908551913,0.9512899331235015,4.864685360536328e-08,1.0,-1.851405163221848,2.5371688968669125e-08,1.0220895950749796e-08,5.298041074840693e-09,6.528946942358967e-09,1.227280668744698e-09
4,bci_iv2a_s1,0.3,TRSS-Full,4.911524622521406e-06,2.0249604608426125e-05,4.939068309346437e-05,5.12675566052783,0.20792212857133363,0.9275245755668517,2.8225517344845214e-08,1.0,-1.6110136442452572,1.3739816809802076e-08,4.084764381431066e-09,4.015963646214123e-09,5.294313345542345e-09,1.0906591618556035e-09
4,bci_iv2a_s1,0.3,TRSS-NoTemporal,4.92824084208743e-06,2.0269830856222298e-05,5.04744691046211e-05,4.997140323698319,0.21647699757566513,0.9275249262121412,2.8159378816948907e-08,1.0,-1.619575303548845,1.3739039295188015e-08,4.082977189776824e-09,4.0084541275561335e-09,5.259938943561305e-09,1.0689692608666304e-09
4,bci_iv2a_s1,0.3,Spatial-Only Spline,4.293001996527778e-06,1.844356944279232e-05,4.096279298044136e-05,6.842665006992673,0.15952098927856118,0.9492658282777833,3.0862044739380985e-08,1.0,-1.6051863719092914,1.4579631476871235e-08,4.374491984085866e-09,4.573032184162954e-09,6.12742143949921e-09,1.207467654761722e-09
5,bci_iv2a_s1,0.3,TRSS-Full,4.505081410616094e-06,1.906991088382371e-05,4.615610903460146e-05,4.849375997345321,0.2233278143709258,0.9389196273053415,2.905841927367898e-08,1.0,-1.6482604867007786,1.4586727608062234e-08,4.2599251064363294e-09,3.995866564369758e-09,5.158571493860937e-09,1.057328500949724e-09
5,bci_iv2a_s1,0.3,TRSS-NoTemporal,4.525195671038279e-06,1.909554852561411e-05,4.7285244997948536e-05,4.6979040568383,0.2339485250408705,0.938890066965073,2.9000423715720855e-08,1.0,-1.6557880337484283,1.4586051944772473e-08,4.2584409141935374e-09,3.989187690568858e-09,5.1276491019987904e-09,1.039094064187195e-09
5,bci_iv2a_s1,0.3,Spatial-Only Spline,4.214586458333333e-06,1.8071719643638392e-05,3.965917044867333e-05,5.918558064973056,0.1623021076715929,0.9400178143898813,3.2413382539889526e-08,1.0,-1.6457578961436776,1.5836466738961717e-08,4.687185466228693e-09,4.636605508820967e-09,6.057954249688574e-09,1.195170576189576e-09
6,bci_iv2a_s1,0.3,TRSS-Full,3.5563854992661724e-06,1.2688587172646894e-05,3.559755429039674e-05,4.564865779967957,0.25942196773165466,0.9351690842905885,3.673198810545282e-08,1.0,-1.8511509070032417,1.85369337784244e-08,8.193812399651626e-09,3.930519514576636e-09,5.1896634657668226e-09,8.810589470333323e-10
6,bci_iv2a_s1,0.3,TRSS-NoTemporal,3.5792084223104675e-06,1.2734020382355541e-05,3.647044604243975e-05,4.434901582814497,0.27357402413894405,0.9351551040191128,3.668329681148141e-08,1.0,-1.8573838359463577,1.8535642503770307e-08,8.19099493498612e-09,3.924354713411842e-09,5.164689401299487e-09,8.676152580136566e-10
6,bci_iv2a_s1,0.3,Spatial-Only Spline,2.822025260416667e-06,1.1431921630936718e-05,2.479958135177026e-05,7.964968836868397,0.14149144033976888,0.9365220902111747,4.0644441033782005e-08,1.0,-1.8255485267304628,2.007306999002826e-08,8.630343508734167e-09,4.640679818915684e-09,6.2579030979995284e-09,1.042444618104366e-09
