method,missing_mode,missing_value,metric,n,win_rate,median_improvement,mne_median,trss_median
trss_oracle_grid,nearby,1.0,lsd,15,0.26666666666666666,-0.10490743958036902,0.4258205144358072,0.4529838852758561
trss_oracle_grid,nearby,1.0,runtime_s,15,0.0,-7.20604234137499,0.0099080679992766,0.0793640190004225
trss_oracle_grid,nearby,2.0,mae,15,0.5333333333333333,0.013760971746595371,7.580970696981434e-06,5.925633964717847e-06
trss_oracle_grid,nearby,2.0,nrmse,15,0.6,0.02789281488191302,0.5876372404961155,0.6541038347402346
trss_oracle_grid,nearby,2.0,lsd,15,0.26666666666666666,-0.11659751704054608,0.4689318270436614,0.5181505394063564
trss_oracle_grid,nearby,2.0,runtime_s,15,0.0,-8.944260639790619,0.0086292880005203,0.0965834879989415
trss_oracle_grid,random,0.1,mae,15,0.7333333333333333,0.06481907012612488,8.167230697790527e-06,7.646342537145679e-06
trss_oracle_grid,random,0.1,nrmse,15,0.7333333333333333,0.0809954249250291,0.4818496385846271,0.4740122967599837
trss_oracle_grid,random,0.1,lsd,15,0.2,-0.06673327530737658,0.5065590318247709,0.4680969318627819
trss_oracle_grid,random,0.1,runtime_s,15,0.13333333333333333,-7.299970326213004,0.0096389070004079,0.0766616959990642
trss_oracle_grid,random,0.3,mae,15,0.8,0.052603424460831695,9.98486863866202e-06,8.581126204665807e-06
trss_oracle_grid,random,0.3,nrmse,15,0.7333333333333333,0.10969889366267283,0.6811273350956296,0.5867908976724459
trss_oracle_grid,random,0.3,lsd,15,0.2,-0.10976462977180527,0.5696313232868305,0.5476989248036025
trss_oracle_grid,random,0.3,runtime_s,15,0.0,-8.378916641436897,0.0088551850003568,0.0852268700000422
trss_oracle_grid,random,0.4,mae,15,0.8,0.12952463733688077,1.1184082706479066e-05,9.264772455084448e-06
trss_oracle_grid,random,0.4,nrmse,15,0.8,0.16992050574504006,0.713443819448255,0.5898626201297773
trss_oracle_grid,random,0.4,lsd,15,0.3333333333333333,-0.05566502562339448,0.5587384848281121,0.5413791935214906
trss_oracle_grid,random,0.4,runtime_s,15,0.0,-9.626667996377762,0.0083475200008251,0.0796807610004179
trss_oracle_grid,random,1.0,mae,15,0.7333333333333333,0.1177106781664775,7.1426032661807575e-06,5.585969272214693e-06
