method,dataset,metric,n,win_rate,median_improvement,mne_median,trss_median,runtime_ratio_median
trss_default,mne_sample_w0,mae,60,0.8166666666666667,0.22574574256055488,2.3439312409446644e-05,1.8208094614942145e-05,
trss_default,mne_sample_w0,nrmse,60,0.8166666666666667,0.2121862550221314,1.1611700689677837,0.8567203120110531,
trss_default,mne_sample_w0,lsd,60,0.6666666666666666,0.04633645351369858,0.5992659917394099,0.5354833520707325,
trss_default,mne_sample_w0,runtime_s,60,0.0,-15.654595894932623,0.008316696999827351,0.13346454349994014,16.654595894932626
trss_default,physionet_s1_r4_w0,mae,60,0.85,0.09525869873135612,1.7308565941809723e-05,1.6712692610220064e-05,
trss_default,physionet_s1_r4_w0,nrmse,60,0.8,0.09547091467507807,0.37297883994415093,0.32652631274972055,
trss_default,physionet_s1_r4_w0,lsd,60,0.3,-0.0468940995741339,0.4072132037362644,0.43311176677952434,
trss_default,physionet_s1_r4_w0,runtime_s,60,0.0,-7.269663898514308,0.0285212230000979,0.15091183600088695,8.26966389851431
trss_default,physionet_s2_r4_w0,mae,60,0.7333333333333333,0.12162707243451727,1.181184368526326e-05,1.0233701374030938e-05,
trss_default,physionet_s2_r4_w0,nrmse,60,0.7,0.10051323868164921,0.6734728767572946,0.6131462959846304,
trss_default,physionet_s2_r4_w0,lsd,60,0.5666666666666667,0.012319681693831068,0.5481842310952078,0.5366537834902243,
trss_default,physionet_s2_r4_w0,runtime_s,60,0.0,-3.952597802280919,0.0345246144997872,0.13030838649956417,4.952597802280919
trss_default,synthetic_rough,mae,60,1.0,0.2153812836429987,7.467662547087569e-06,5.822280057821785e-06,
trss_default,synthetic_rough,nrmse,60,1.0,0.2431918530088426,1.054809861048339,0.7943795371331803,
trss_default,synthetic_rough,lsd,60,0.48333333333333334,-0.0008651895752516394,1.2638636835061405,1.2763110591166642,
trss_default,synthetic_rough,runtime_s,60,0.0,-10.082996540017113,0.0074991280007452,0.0845405834998018,11.082996540017113
trss_default,synthetic_smooth,mae,60,0.2,-0.12682790794072343,1.8071140795743878e-06,2.0640485537415955e-06,
trss_default,synthetic_smooth,nrmse,60,0.2,-0.119758086792698,0.15950457864718465,0.1813296391910686,
trss_default,synthetic_smooth,lsd,60,0.016666666666666666,-0.2680398308620816,0.9128620025848277,1.1620456129724905,
trss_default,synthetic_smooth,runtime_s,60,0.016666666666666666,-9.425205187699582,0.00782120749954625,0.08387315849995494,10.425205187699582
trss_cv_tuned_seed0,mne_sample_w0,mae,60,0.7666666666666667,0.2515922325761406,2.3439312409446644e-05,1.821430932484103e-05,
trss_cv_tuned_seed0,mne_sample_w0,nrmse,60,0.7833333333333333,0.2845594893488582,1.1611700689677837,0.8282258525996105,
trss_cv_tuned_seed0,mne_sample_w0,lsd,60,0.38333333333333336,-0.04280273939176646,0.5992659917394099,0.5855719284203897,
trss_cv_tuned_seed0,mne_sample_w0,runtime_s,60,0.0,-12.909334130012255,0.008316696999827351,0.11378920150036714,13.909334130012255
trss_cv_tuned_seed0,physionet_s1_r4_w0,mae,60,0.8333333333333334,0.08806848074671844,1.7308565941809723e-05,1.6712692610221155e-05,
trss_cv_tuned_seed0,physionet_s1_r4_w0,nrmse,60,0.8,0.09363043045012637,0.37297883994415093,0.3265259285613734,
trss_cv_tuned_seed0,physionet_s1_r4_w0,lsd,60,0.25,-0.08664162446020075,0.4072132037362644,0.43553518810792136,
trss_cv_tuned_seed0,physionet_s1_r4_w0,runtime_s,60,0.016666666666666666,-6.695848791088066,0.0285212230000979,0.1225823889999446,7.695848791088065
trss_cv_tuned_seed0,physionet_s2_r4_w0,mae,60,0.7,0.10190395954884479,1.181184368526326e-05,1.0342986132328994e-05,
trss_cv_tuned_seed0,physionet_s2_r4_w0,nrmse,60,0.6833333333333333,0.09225633855880769,0.6734728767572946,0.6300814908307446,
trss_cv_tuned_seed0,physionet_s2_r4_w0,lsd,60,0.4166666666666667,-0.008181567574543861,0.5481842310952078,0.5710594146808612,
trss_cv_tuned_seed0,physionet_s2_r4_w0,runtime_s,60,0.03333333333333333,-2.8614136951469495,0.0345246144997872,0.08341386699976275,3.8614136951469495
trss_cv_tuned_seed0,synthetic_rough,mae,60,1.0,0.23930130485797105,7.467662547087569e-06,5.70456565182319e-06,
trss_cv_tuned_seed0,synthetic_rough,nrmse,60,1.0,0.2702162945787676,1.054809861048339,0.772580153440948,
trss_cv_tuned_seed0,synthetic_rough,lsd,60,0.23333333333333334,-0.11256013436859216,1.2638636835061405,1.4179822516627745,
trss_cv_tuned_seed0,synthetic_rough,runtime_s,60,0.0,-7.543411803039977,0.0074991280007452,0.0651438740005687,8.543411803039977
trss_cv_tuned_seed0,synthetic_smooth,mae,60,0.2,-0.12682790063486332,1.8071140795743878e-06,2.0640485442097914e-06,
trss_cv_tuned_seed0,synthetic_smooth,nrmse,60,0.2,-0.11975808409093364,0.15950457864718465,0.18132963885923054,
trss_cv_tuned_seed0,synthetic_smooth,lsd,60,0.016666666666666666,-0.2680398276228696,0.9128620025848277,1.1620456119559246,
trss_cv_tuned_seed0,synthetic_smooth,runtime_s,60,0.016666666666666666,-8.258810254423285,0.00782120749954625,0.06804659049885231,9.258810254423285
trss_oracle_grid,mne_sample_w0,mae,60,0.8666666666666667,0.28732321116191706,2.3439312409446644e-05,1.654954181770777e-05,
trss_oracle_grid,mne_sample_w0,nrmse,60,0.8666666666666667,0.3154246590136538,1.1611700689677837,0.8074141676229438,
trss_oracle_grid,mne_sample_w0,lsd,60,0.4666666666666667,-0.024206762947001248,0.5992659917394099,0.5571086735936055,
trss_oracle_grid,mne_sample_w0,runtime_s,60,0.0,-13.176974380753133,0.008316696999827351,0.11275761249999044,14.176974380753133
trss_oracle_grid,physionet_s1_r4_w0,mae,60,0.8666666666666667,0.0990433599910406,1.7308565941809723e-05,1.6712692610220064e-05,
trss_oracle_grid,physionet_s1_r4_w0,nrmse,60,0.8166666666666667,0.1107029123754872,0.37297883994415093,0.32652583412149483,
trss_oracle_grid,physionet_s1_r4_w0,lsd,60,0.2833333333333333,-0.0712277248944308,0.4072132037362644,0.4331117667795158,
trss_oracle_grid,physionet_s1_r4_w0,runtime_s,60,0.03333333333333333,-5.525336875376158,0.0285212230000979,0.12387644700083905,6.5253368753761585
trss_oracle_grid,physionet_s2_r4_w0,mae,60,0.7333333333333333,0.12322564540502183,1.181184368526326e-05,1.0098500936253796e-05,
trss_oracle_grid,physionet_s2_r4_w0,nrmse,60,0.7166666666666667,0.10523078829430389,0.6734728767572946,0.610351848477966,
trss_oracle_grid,physionet_s2_r4_w0,lsd,60,0.45,-0.007318213874468579,0.5481842310952078,0.5445390591625465,
trss_oracle_grid,physionet_s2_r4_w0,runtime_s,60,0.03333333333333333,-2.0884580832614086,0.0345246144997872,0.07866748850028671,3.088458083261408
trss_oracle_grid,synthetic_rough,mae,60,1.0,0.24724715244219103,7.467662547087569e-06,5.639048371503457e-06,
trss_oracle_grid,synthetic_rough,nrmse,60,1.0,0.27852781984724584,1.054809861048339,0.7614137786754902,
trss_oracle_grid,synthetic_rough,lsd,60,0.23333333333333334,-0.1098496052693404,1.2638636835061405,1.4026121720145053,
trss_oracle_grid,synthetic_rough,runtime_s,60,0.0,-7.612055414407917,0.0074991280007452,0.06442286399942525,8.612055414407916
trss_oracle_grid,synthetic_smooth,mae,60,0.2,-0.12682790063486332,1.8071140795743878e-06,2.0640485442097914e-06,
trss_oracle_grid,synthetic_smooth,nrmse,60,0.2,-0.11975808409093364,0.15950457864718465,0.18132963885923054,
trss_oracle_grid,synthetic_smooth,lsd,60,0.016666666666666666,-0.2680398276219266,0.9128620025848277,1.162045611898059,
trss_oracle_grid,synthetic_smooth,runtime_s,60,0.016666666666666666,-7.949273637000865,0.00782120749954625,0.0679725264999433,8.949273637000864
