method_a,method_b,missing_mode,missing_value,n_pairs,a_win_rate_mae,median_rel_improve_mae,mean_rel_improve_mae
trss_oracle_grid,mne_interpolate_bads_spline,high_variance,0.4,15,0.8,0.10060219701015069,0.10193411570888541
trss_oracle_grid,mne_interpolate_bads_spline,high_variance,1.0,15,0.6666666666666666,0.0974845229719305,0.13283811735115555
trss_oracle_grid,mne_interpolate_bads_spline,high_variance,2.0,15,0.6,0.10834602153472846,0.13041187324133402
trss_oracle_grid,mne_interpolate_bads_spline,nearby,0.1,15,0.8,0.19546903623989453,0.15506874987849176
trss_oracle_grid,mne_interpolate_bads_spline,nearby,0.3,15,0.8,0.41221292672314264,0.28503947936508367
trss_oracle_grid,mne_interpolate_bads_spline,nearby,0.4,15,0.8666666666666667,0.42625751251977034,0.3396011578320383
trss_oracle_grid,mne_interpolate_bads_spline,nearby,1.0,15,0.7333333333333333,0.1177106781664775,0.0942160362301057
trss_oracle_grid,mne_interpolate_bads_spline,nearby,2.0,15,0.5333333333333333,0.013760971746595371,0.027401809056532674
trss_oracle_grid,mne_interpolate_bads_spline,random,0.1,15,0.7333333333333333,0.06481907012612488,0.06523937362397576
trss_oracle_grid,mne_interpolate_bads_spline,random,0.3,15,0.8,0.052603424460831695,0.08092416224771704
trss_oracle_grid,mne_interpolate_bads_spline,random,0.4,15,0.8,0.12952463733688077,0.12241810147686255
trss_oracle_grid,mne_interpolate_bads_spline,random,1.0,15,0.7333333333333333,0.1177106781664775,0.0942160362301057
trss_oracle_grid,mne_interpolate_bads_spline,random,2.0,15,0.6666666666666666,0.10109973721814741,0.10137858597918852
