method_a,method_b,metric,n_pairs,a_mean,b_mean,mean_diff_a_minus_b,median_diff_a_minus_b,ci95_diff_low,ci95_diff_high,mean_relative_improvement_of_a,median_relative_improvement_of_a,a_win_rate,p_value,test
trss_default,mne_interpolate_bads_spline,mae,300,1.107753167426876e-05,1.4443114170161939e-05,-3.3655824958931795e-06,-1.259571940167807e-06,-4.239044535306183e-06,-2.5734713760804863e-06,0.1177696924777797,0.12382926015920276,0.72,3.4342485995019153e-23,wilcoxon
trss_default,mne_interpolate_bads_spline,rmse,300,1.4002373054339004e-05,1.8276450330386556e-05,-4.274077276047548e-06,-1.7562206858432283e-06,-5.438484445613678e-06,-3.2352221766199662e-06,0.1238773439792062,0.13868463969177908,0.7033333333333334,1.645141664479992e-22,wilcoxon
trss_default,mne_interpolate_bads_spline,nrmse,300,0.6042884215511259,0.8041377699800044,-0.1998493484288784,-0.06823573617406514,-0.24058782233604864,-0.15991819904023927,0.12387734397920755,0.13868463969177897,0.7033333333333334,9.221949612250362e-23,wilcoxon
trss_default,mne_interpolate_bads_spline,dtw,300,0.0007146746912996085,0.0009150464556071584,-0.00020037176430755003,-5.9708567857300006e-05,-0.00025923277012245596,-0.0001478382451189159,0.10460416591625102,0.09796515523843614,0.71,5.429558311050067e-21,wilcoxon
trss_default,mne_interpolate_bads_spline,snr,300,9.336815294676164,8.41740402569409,0.9194112689820758,0.4058914367206228,0.6779016045400219,1.1613796817158986,25.342144281906027,0.036645225855919075,0.61,2.8998628196767024e-09,wilcoxon
trss_default,mne_interpolate_bads_spline,lsd,300,0.8110721876389542,0.7885624538821648,0.0225097337567893,0.01336714104314446,0.005902744466169657,0.03945255295624952,-0.03487523233671889,-0.022801064051619233,0.4066666666666667,0.0025350611977849095,wilcoxon
trss_default,mne_interpolate_bads_spline,coherence_mean,300,0.8096810439546583,0.7850163098985412,0.024664734056116994,0.001933093081287418,0.01818979728500687,0.031251995932172004,0.066386965381132,0.002012826173841315,0.5833333333333334,6.329223721463864e-07,wilcoxon
trss_default,mne_interpolate_bads_spline,corr_mean,300,0.8596804681051715,0.8076747770874269,0.052005691017744875,0.007449279999081682,0.042240968993973574,0.06217505414602623,0.19469772585362735,0.008018708875736451,0.6866666666666666,3.068626154725596e-21,wilcoxon
trss_default,mne_interpolate_bads_spline,r2,300,0.5078953267144293,0.010114773147451597,0.4977805535669777,0.08602185032964366,0.36760350051711577,0.6386931823394223,3.8597120448663578,0.16935114628277048,0.7033333333333334,1.539095422600504e-23,wilcoxon
trss_default,mne_interpolate_bads_spline,runtime_s,300,0.15631973688999398,0.017785981056658736,0.13853375583333521,0.09837758300000135,0.12336723427855714,0.15434540282352857,-12.948670654553668,-10.040968262193594,0.0033333333333333335,3.3243657500670144e-50,wilcoxon
trss_cv_tuned_seed0,mne_interpolate_bads_spline,mae,300,1.0758614742053319e-05,1.4443114170161939e-05,-3.6844994281086172e-06,-1.3646812132883005e-06,-4.664137276853779e-06,-2.758504967437597e-06,0.12416738185584568,0.12004450205614675,0.7,1.0584470544384178e-20,wilcoxon
trss_cv_tuned_seed0,mne_interpolate_bads_spline,rmse,300,1.368217474179698e-05,1.8276450330386556e-05,-4.5942755885895715e-06,-1.849260452235074e-06,-5.821315534147291e-06,-3.4840960283827736e-06,0.13196203840484474,0.13423660858394704,0.6933333333333334,2.4399776888828585e-21,wilcoxon
