method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.3,mae,0.5145,0.047,0.4944,0.4947,0.5344,24
bgsrp,0.3,rmse,0.6471,0.0457,0.64,0.6278,0.6664,24
bgsrp,0.3,snr,2.0537,0.9677,2.1992,1.645,2.4623,24
bgsrp,0.3,dtw,,,,,,0
directed_tv,0.3,mae,0.2054,0.0086,0.2026,0.2018,0.2091,24
directed_tv,0.3,rmse,0.4229,0.0276,0.4126,0.4112,0.4345,24
directed_tv,0.3,snr,-0.3051,0.5273,-0.1463,-0.5277,-0.0824,24
directed_tv,0.3,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4292,0.0945,0.4263,0.3892,0.4691,24
graph_time_tikhonov,0.3,rmse,0.5398,0.0717,0.5274,0.5096,0.5701,24
graph_time_tikhonov,0.3,snr,4.5179,3.078,3.8782,3.2182,5.8176,24
graph_time_tikhonov,0.3,dtw,,,,,,0
gsmooth,0.3,mae,0.2082,0.0075,0.2048,0.2051,0.2114,24
gsmooth,0.3,rmse,0.4243,0.0159,0.417,0.4176,0.4311,24
gsmooth,0.3,snr,-0.4705,0.3276,-0.4385,-0.6089,-0.3322,24
gsmooth,0.3,dtw,,,,,,0
gsp,0.3,mae,0.2226,0.0206,0.2165,0.2139,0.2313,24
gsp,0.3,rmse,0.4625,0.0449,0.4519,0.4436,0.4815,24
gsp,0.3,snr,-1.1636,0.8186,-1.1596,-1.5093,-0.818,24
gsp,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,0.4053,0.5487,0.203,0.1736,0.637,24
heat_diffusion_temporal,0.3,rmse,0.7631,0.9716,0.403,0.3528,1.1733,24
heat_diffusion_temporal,0.3,snr,-2.3931,6.1528,-0.0682,-4.9912,0.2051,24
heat_diffusion_temporal,0.3,dtw,,,,,,0
idw,0.3,mae,0.2111,0.0061,0.209,0.2086,0.2137,24
idw,0.3,rmse,0.4307,0.0141,0.4312,0.4247,0.4366,24
idw,0.3,snr,-0.61,0.2654,-0.7459,-0.722,-0.4979,24
idw,0.3,dtw,,,,,,0
