test_id,metric,group_a,group_b,p_value,decision
mae_tv_family_vs_instant,mae,tv_time,instant,0.18499336553771095,not_significant
rmse_tv_family_vs_instant,rmse,tv_time,instant,0.006660878060926947,significant
mae_trss_vs_tikhonov,mae,trss,tikhonov,0.00835001316826298,significant
