dataset,method,graph,missing_ratio,mae,rmse,dtw,snr,block,source_file
synthetic_alpha,temporal_laplacian,knn__k3,0.2,0.4189030701427987,0.4881177127262288,,3.828397196045029,synthetic_alpha__0.2_39,it05_all_datasets_raw.csv
synthetic_alpha,heat_diffusion_temporal,knn__k3,0.2,0.1364131854712946,0.3338464592726496,,-0.1705886340330956,synthetic_alpha__0.2_40,it05_all_datasets_raw.csv
synthetic_alpha,wavelet_temporal,knn__k3,0.2,0.1485282116673535,0.3333031385252771,,17.686400981519242,synthetic_alpha__0.2_42,it05_all_datasets_raw.csv
synthetic_alpha,directed_tv,knn__k3,0.2,0.1756009559057118,0.4406374951916444,,-2.456641962823185,synthetic_alpha__0.2_43,it05_all_datasets_raw.csv
synthetic_alpha,linear,knn__k3,0.3,0.2572064301478571,0.5368773174858041,,-2.4191202943732533,synthetic_alpha__0.3_44,it05_all_datasets_raw.csv
synthetic_alpha,nearest,knn__k3,0.3,0.2885465132091039,0.6165820969922422,,-3.6998971834787695,synthetic_alpha__0.3_45,it05_all_datasets_raw.csv
synthetic_alpha,mean,knn__k3,0.3,0.2125037819008306,0.4355594603472861,,-0.5475475552035312,synthetic_alpha__0.3_46,it05_all_datasets_raw.csv
synthetic_alpha,idw,knn__k3,0.3,0.2193035472107985,0.4472709119235417,,-0.8376391123001864,synthetic_alpha__0.3_47,it05_all_datasets_raw.csv
synthetic_alpha,spherical_spline,knn__k3,0.3,0.3392384056544167,0.7606027960808052,,-4.927944414651416,synthetic_alpha__0.3_48,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_tps,knn__k3,0.3,0.2752352041464,0.5908578542954833,,-3.138416806443352,synthetic_alpha__0.3_49,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_mq,knn__k3,0.3,0.28449673069033,0.6267924824521991,,-3.483217109346568,synthetic_alpha__0.3_50,it05_all_datasets_raw.csv
synthetic_alpha,spline_surface,knn__k3,0.3,0.3288038895279771,0.7116487828618274,,-4.127967744547699,synthetic_alpha__0.3_51,it05_all_datasets_raw.csv
synthetic_alpha,gsp,knn__k3,0.3,0.2458571365386579,0.507372419633385,,-1.9981240040056845,synthetic_alpha__0.3_52,it05_all_datasets_raw.csv
synthetic_alpha,tikhonov,knn__k3,0.3,0.2986494807003794,0.5033421781244793,,11.268213637687005,synthetic_alpha__0.3_53,it05_all_datasets_raw.csv
synthetic_alpha,bgsrp,knn__k3,0.3,0.5334241385074393,0.6733792582273133,,1.656944039837913,synthetic_alpha__0.3_54,it05_all_datasets_raw.csv
synthetic_alpha,gsmooth,knn__k3,0.3,0.2191739394150917,0.4481427883790264,,-0.8986292162389121,synthetic_alpha__0.3_55,it05_all_datasets_raw.csv
synthetic_alpha,puy,knn__k3,0.3,0.445808771035251,0.589223414005484,,3.802049335361553,synthetic_alpha__0.3_56,it05_all_datasets_raw.csv
synthetic_alpha,sobolev,knn__k3,0.3,0.560754710210216,0.6372975705874546,,1.0717991249450587,synthetic_alpha__0.3_57,it05_all_datasets_raw.csv
synthetic_alpha,graph_time_tikhonov,knn__k3,0.3,0.4219195841488654,0.5421021331278792,,4.269946527047546,synthetic_alpha__0.3_58,it05_all_datasets_raw.csv
synthetic_alpha,trss,knn__k3,0.3,0.2343475194853997,0.4805453401939829,,-1.5582598967365506,synthetic_alpha__0.3_59,it05_all_datasets_raw.csv
synthetic_alpha,tv,knn__k3,0.3,0.2168031199188812,0.4439190181276137,,-0.7574947156877855,synthetic_alpha__0.3_60,it05_all_datasets_raw.csv
synthetic_alpha,temporal_laplacian,knn__k3,0.3,0.4489240621996816,0.5249298986846882,,3.282487812275753,synthetic_alpha__0.3_61,it05_all_datasets_raw.csv
synthetic_alpha,heat_diffusion_temporal,knn__k3,0.3,0.2041541970742997,0.4063554835628712,,-0.2068755180546191,synthetic_alpha__0.3_62,it05_all_datasets_raw.csv
synthetic_alpha,wavelet_temporal,knn__k3,0.3,0.207710605976746,0.3960950193692679,,18.61189888235647,synthetic_alpha__0.3_64,it05_all_datasets_raw.csv
synthetic_alpha,directed_tv,knn__k3,0.3,0.2076975332224568,0.4323579020971634,,-0.251990790728428,synthetic_alpha__0.3_65,it05_all_datasets_raw.csv
synthetic_alpha,linear,knn__k3,0.4,0.3298767998545232,0.6065903668026632,,-2.290266788000535,synthetic_alpha__0.4_66,it05_all_datasets_raw.csv
synthetic_alpha,nearest,knn__k3,0.4,0.3315668339659925,0.6286301530250877,,-2.427773593777242,synthetic_alpha__0.4_67,it05_all_datasets_raw.csv
synthetic_alpha,mean,knn__k3,0.4,0.2610509096263227,0.4587113167545196,,0.1506455701467817,synthetic_alpha__0.4_68,it05_all_datasets_raw.csv
synthetic_alpha,idw,knn__k3,0.4,0.2752672503876464,0.4863914779261031,,-0.3911157865214539,synthetic_alpha__0.4_69,it05_all_datasets_raw.csv
synthetic_alpha,spherical_spline,knn__k3,0.4,0.4750781212681642,0.931806016032614,,-5.235491412145549,synthetic_alpha__0.4_70,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_tps,knn__k3,0.4,0.3818542909667008,0.7252726262620611,,-3.68571940032052,synthetic_alpha__0.4_71,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_mq,knn__k3,0.4,0.3898963338453581,0.7399231383843519,,-3.839789259596472,synthetic_alpha__0.4_72,it05_all_datasets_raw.csv
