dataset,graph,method,missing_ratio,n,mean,median,std
bci_competition_iv_2a_proxy,gaussian__sigma1,puy,0.3,10,7.215119050265464e-07,7.199061096572452e-07,1.0451626154759534e-07
bci_competition_iv_2a_proxy,gaussian__sigma1,puy,0.4,10,8.350426311358447e-07,8.285676772087021e-07,1.1143275517127406e-07
bci_competition_iv_2a_proxy,gaussian__sigma1,rbfi_mq,0.1,10,5.824158861684959e-07,5.824620706553665e-07,8.08079960412367e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,rbfi_mq,0.2,10,6.240527107319613e-07,6.274579968375105e-07,6.51145759723729e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,rbfi_mq,0.3,10,7.079150662422692e-07,7.121851554384089e-07,5.939146509674312e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,rbfi_mq,0.4,10,8.410197227490759e-07,8.212541745441501e-07,8.872762175864432e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,rbfi_tps,0.1,10,5.264119761961613e-07,5.126949435478928e-07,8.33915804595083e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,rbfi_tps,0.2,10,6.374470619170624e-07,6.214492303167276e-07,8.52825422947359e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,rbfi_tps,0.3,10,7.588794389574166e-07,7.53358996979781e-07,8.537125131589714e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,rbfi_tps,0.4,10,7.823633853967792e-07,7.985585581113208e-07,1.0761079144368566e-07
bci_competition_iv_2a_proxy,gaussian__sigma1,sobolev,0.1,10,5.589498604181095e-07,5.481699059524378e-07,7.490995049336188e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,sobolev,0.2,10,6.116168476150856e-07,6.133345220752767e-07,6.660241165070634e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,sobolev,0.3,10,7.26316234300965e-07,7.366669073678033e-07,8.328830997508026e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,sobolev,0.4,10,7.601772639442699e-07,7.722840441003177e-07,7.110720441718056e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,spherical_spline,0.1,10,5.125139546483684e-07,5.020113154200793e-07,4.537595117252932e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,spherical_spline,0.2,10,5.965433986129697e-07,5.734037064244338e-07,9.043229576068646e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,spherical_spline,0.3,10,7.218226763931361e-07,7.282517295471037e-07,1.0234640974252403e-07
bci_competition_iv_2a_proxy,gaussian__sigma1,spherical_spline,0.4,10,7.882614325723146e-07,7.556971839942489e-07,1.2420509721324494e-07
bci_competition_iv_2a_proxy,gaussian__sigma1,spline_surface,0.1,10,5.496227635859964e-07,5.374077314566218e-07,8.095608029863442e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,spline_surface,0.2,10,5.938372606871422e-07,5.833126284822155e-07,7.704747548610976e-08
bci_competition_iv_2a_proxy,gaussian__sigma1,spline_surface,0.3,10,7.134057123866422e-07,7.036312347780578e-07,1.0027840648603972e-07
bci_competition_iv_2a_proxy,gaussian__sigma1,spline_surface,0.4,10,8.036286674504135e-07,8.155995857252226e-07,8.67735464297653e-08
