dataset,method,family,graph,missing_ratio,mae,rmse,snr,block,source_file
physionet_eegmmidb,rbfi_tps,instant,kalofolias,0.2,6.951120534881548e-06,2.142349635920252e-05,0.3011454573637604,physionet_eegmmidb__0.2_27,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,rbfi_mq,instant,kalofolias,0.2,7.628689571677441e-06,2.342001364858453e-05,0.2695290126825194,physionet_eegmmidb__0.2_28,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,spline_surface,instant,kalofolias,0.2,8.572761328411533e-06,2.943295760443765e-05,-1.929556684541636,physionet_eegmmidb__0.2_29,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,gsp,instant,kalofolias,0.2,4.272533758133116e-06,1.2679035487569506e-05,3.737537864875892,physionet_eegmmidb__0.2_30,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,tikhonov,instant,kalofolias,0.2,9.78040832635768e-06,1.5621644694845247e-05,12.717477346141386,physionet_eegmmidb__0.2_31,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,bgsrp,instant,kalofolias,0.2,1.7946918837689122e-05,2.456420507165298e-05,6.736497135795371,physionet_eegmmidb__0.2_32,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,gsmooth,instant,kalofolias,0.2,3.923315314354158e-06,1.1642704660380712e-05,3.8465039978527376,physionet_eegmmidb__0.2_33,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,puy,instant,kalofolias,0.2,2.771630885083446e-05,4.182367899041523e-05,5.786791622150358,physionet_eegmmidb__0.2_34,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,sobolev,instant,kalofolias,0.2,2.772085039891046e-05,4.268617547085327e-05,3.0688458614320675,physionet_eegmmidb__0.2_35,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,graph_time_tikhonov,tv_time,kalofolias,0.2,1.95280197426326e-05,2.853927765389364e-05,6.222662282241616,physionet_eegmmidb__0.2_36,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,trss,tv_time,kalofolias,0.2,4.801133122225967e-06,1.4251036718704974e-05,3.9643818319701554,physionet_eegmmidb__0.2_37,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,tv,tv_time,kalofolias,0.2,5.171303024832095e-06,1.5346191033475133e-05,5.567891178259222,physionet_eegmmidb__0.2_38,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,temporal_laplacian,tv_time,kalofolias,0.2,2.452509678841133e-05,3.636983124879571e-05,1.651825174414446,physionet_eegmmidb__0.2_39,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,heat_diffusion_temporal,tv_time,kalofolias,0.2,5.146387625583491e-06,1.6314502731250513e-05,1.918040297308424,physionet_eegmmidb__0.2_40,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,wavelet_temporal,tv_time,kalofolias,0.2,7.893737841899236e-06,2.4204076190277764e-05,24.345236966823883,physionet_eegmmidb__0.2_42,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,directed_tv,tv_time,kalofolias,0.2,6.803278820879439e-06,2.2096092928574527e-05,0.2717883725949874,physionet_eegmmidb__0.2_43,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,linear,instant,kalofolias,0.3,9.01253478459352e-06,2.2981328230876366e-05,3.221232672292613,physionet_eegmmidb__0.3_44,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,nearest,instant,kalofolias,0.3,8.216910201536775e-06,1.936273980937005e-05,5.530617133482853,physionet_eegmmidb__0.3_45,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,mean,instant,kalofolias,0.3,1.0183019944524624e-05,2.4160722816933354e-05,1.2088926162938298,physionet_eegmmidb__0.3_46,it46_physionet_multisubj_kalofolias_raw.csv
