method,count,mean,std
bgsrp,384,0.4251375421512517,0.1957532025724638
directed_tv,384,0.15131826504793885,0.09292148127350668
graph_time_tikhonov,384,0.34383182634472975,0.18013412994658193
gsmooth,384,0.14687450377717673,0.09549347396131753
gsp,384,0.15891340409712335,0.10409109667375799
heat_diffusion_temporal,384,0.2762039159242295,0.4726043244119027
idw,384,0.14784013390538267,0.09654045438716147
linear,384,0.1713313444481935,0.11131697234241994
mean,384,0.14461311321668435,0.09434732803957946
nearest,384,0.18660357153732274,0.12183537435764705
puy,384,0.34995272377759884,0.19347211628720246
rbfi_mq,384,0.19802790347816335,0.12985660685186015
rbfi_tps,384,0.1895301482993961,0.12525801289414373
sobolev,384,0.4585954304366469,0.2134499795095774
spherical_spline,384,0.2172933685752059,0.15435699706595843
spline_surface,384,0.25154793350317833,0.14906454943444733
temporal_laplacian,384,0.38451316525296514,0.18619269054950693
tikhonov,384,0.23910010462264217,0.16021201688920836
trss,384,0.1538516685976599,0.09957063651649602
tv,384,0.14579243229546837,0.09462674555545036
wavelet_temporal,384,0.15901129601556438,0.09544931157604941
