graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
gaussian__sigma1.0,bci_iv2a_real_s1,0.1,trss,8.470284137498295e-07,10,3.3266627774318523e-08,8.28960574458233e-07,8.669881082735677e-07,tv,1.2539220383748943e-06,10,4.313816146099956e-08,4.06893624625065e-07,0.0001746242085521,0.0293368670367683,True,1.0
gaussian__sigma1.0,bci_iv2a_real_s1,0.2,trss,1.6728002615073711e-06,12,6.436574957822512e-08,1.6365189952412535e-06,1.7047538167972176e-06,tv,2.4062906946979544e-06,12,9.097302094266733e-08,7.334904331905832e-07,3.462842221038823e-05,0.0059907170423971,True,1.0
gaussian__sigma1.0,bci_iv2a_real_s1,0.3,trss,3.274526927618505e-06,10,9.145429991232769e-08,3.2206743120752715e-06,3.3251243748028507e-06,tv,4.4077369803010246e-06,10,1.091469142984081e-07,1.1332100526825195e-06,0.0001746242085521,0.0291622428282161,True,1.0
knn__k3,bci_iv2a_real_s1,0.1,trss,8.554214394307161e-07,36,4.322110740667052e-08,8.410840278111256e-07,8.684017737834441e-07,tv,1.2524695785030305e-06,36,5.1093219407940735e-08,3.970481390723142e-07,2.602157783666958e-13,7.442171261287499e-11,True,1.0
knn__k3,bci_iv2a_real_s1,0.2,trss,1.589917627268541e-06,64,2.632637471010715e-07,1.517419644455822e-06,1.6487103575138756e-06,mean,2.406509202102135e-06,58,8.92895470661702e-08,8.165915748335944e-07,1.3036337206579481e-21,3.793574127114629e-19,True,1.0
knn__k3,bci_iv2a_real_s1,0.3,trss,3.217004900861791e-06,41,7.7286617394759e-08,3.1938372266579006e-06,3.2409778010529e-06,tv,4.393423523893358e-06,41,1.0298192235645998e-07,1.176418623031567e-06,5.542981706469999e-15,1.5963787314633597e-12,True,1.0
knn__k3,bci_iv2a_real_s2,0.1,trss,2.911389908802025e-07,10,1.0980710433262737e-08,2.849034552834698e-07,2.977393644831284e-07,nearest,3.338101704915364e-07,10,1.911817209295114e-08,4.2671179611334e-08,0.0001746242085521,0.0288129944111117,True,1.0
knn__k3,bci_iv2a_real_s2,0.2,trss,5.929461605199567e-07,22,1.6089848055703105e-08,5.861864129964644e-07,5.998665785349958e-07,nearest,6.629339853922527e-07,18,1.9190808939333523e-08,6.998782487229597e-08,6.672066912476399e-08,1.321069248670327e-05,True,1.0
knn__k3,bci_iv2a_real_s2,0.3,trss,1.0625548599735037e-06,15,2.073589699889925e-08,1.0521157380286185e-06,1.0722756212897889e-06,nearest,1.193228827582465e-06,15,2.928573413230757e-08,1.3067396760896161e-07,3.113098641666425e-06,0.0005510184595749,True,1.0
gaussian__sigma1.0,iris_graph_signal,0.2,trss,0.1021656848863886,17,0.0084887704746907,0.0985660221954676,0.1060381377833678,tv,0.1231158041730728,17,0.0114749789281405,0.0209501192866841,2.454928623522024e-05,0.0042715758049283,True,0.8477508650519031
gaussian__sigma1.0,iris_graph_signal,0.3,trss,0.1020075157303968,15,0.008885763702448,0.0979872279936003,0.106432163943625,tv,0.1227793474117179,15,0.0119220940816064,0.0207718316813211,0.0001513397003982,0.0255764093673043,True,0.8133333333333334
knn__k3,iris_graph_signal,0.1,trss,0.1055107467762883,28,0.0086986317233996,0.1022703726148101,0.1088054384505373,tv,0.1260868599902125,28,0.0111631261301209,0.0205761132139241,1.200326024590535e-07,2.220603145492489e-05,True,0.8239795918367347
knn__k3,iris_graph_signal,0.2,trss,0.1076542132828412,114,0.0292040879716687,0.1027667442019329,0.1133654681887153,tv,0.1347834542076349,114,0.0235320330915018,0.0271292409247936,6.337133392952743e-21,1.837768683956296e-18,True,0.719144352108341
knn__k3,iris_graph_signal,0.3,trss,0.1057336955113899,21,0.0090500837419389,0.101930499495038,0.1095203908273009,tv,0.1265532966378819,21,0.0115025129760599,0.0208196011264919,8.844826345374953e-06,0.0015478446104406,True,0.800453514739229
knn__k3,iv100hz_mat,0.1,trss,16.151723527872637,20,0.3855146522669918,15.993409652503487,16.327584705419866,tv,17.512297391727664,20,1.0438120875934969,1.360573863855027,8.300910915590587e-06,0.0014609603211439,True,0.825
knn__k3,iv100hz_mat,0.2,trss,36.772452121510064,118,15.143608634025682,33.97189967322246,39.558050281607855,tv,46.32172198936225,118,12.073693926750492,9.549269867852187,2.9483733160593003e-17,8.520798883411378e-15,True,0.6363114047687446
knn__k3,iv100hz_mat,0.3,trss,65.71811190820087,25,0.9178673841453514,65.36976156243239,66.07265084339203,mean,73.18838664215687,25,0.7083733210514569,7.470274733956003,1.304733565122163e-09,3.60106463973717e-07,True,1.0
