method,count,mean,std
bgsrp,8,2.9862614777933845e-05,4.360003665749153e-06
directed_tv,8,1.5005267810422767e-05,4.481068478790679e-09
graph_time_tikhonov,206,22.05779507882828,61.09724705876614
gsmooth,8,1.3554209990385533e-05,9.62770688919083e-07
gsp,8,1.488266090678952e-05,2.2903818914832736e-06
heat_diffusion_temporal,8,1.37138585929055e-05,7.273539234491396e-07
idw,8,1.3589006536916712e-05,0.0
linear,8,1.5221946022727273e-05,0.0
mean,276,7.805246045987472,19.864198114060507
nearest,182,9.368040516615364,26.857505107194005
puy,8,2.6374444557601877e-05,3.265041543618316e-06
rbfi_mq,8,2.2723739944871125e-05,0.0
rbfi_tps,8,2.0342657889928884e-05,0.0
sobolev,8,3.000539918500697e-05,1.5587050940525887e-06
spherical_spline,8,3.307308273938962e-05,0.0
spline_surface,8,2.7407203105943783e-05,0.0
temporal_laplacian,206,27.75246897591513,77.2226285977615
tikhonov,276,19.585063658405414,46.071310125464585
trss,300,5.883629644189202,16.02218986161844
tv,300,6.321347192053653,17.52441604091383
wavelet_temporal,8,1.5976540485650177e-05,6.614311393279673e-08
