dataset,method,graph,missing_ratio,mae,rmse,dtw,snr,block,source_file,family
synthetic_beta,trss,knn__k3,0.2,0.1455130170777964,0.3674447288425134,,-0.8624676950123948,synthetic_beta__0.2_37,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,tv,knn__k3,0.2,0.1370879158301453,0.3353625878089633,,-0.1867258402820277,synthetic_beta__0.2_38,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,temporal_laplacian,knn__k3,0.2,0.4351094242670629,0.5040905609548257,,3.543630571784377,synthetic_beta__0.2_39,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,heat_diffusion_temporal,knn__k3,0.2,0.1360536972687754,0.3313475033531184,,-0.1017656070766559,synthetic_beta__0.2_40,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,wavelet_temporal,knn__k3,0.2,0.1591509343095173,0.3386979739541199,,13.822183769186449,synthetic_beta__0.2_42,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,directed_tv,knn__k3,0.2,0.1535442416346833,0.3769216973770661,,-1.1773692695427065,synthetic_beta__0.2_43,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,linear,knn__k5,0.1,0.0784418055359528,0.2949265284406414,,-2.19182207727983,synthetic_beta__0.1_44,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,nearest,knn__k5,0.1,0.0859116155366704,0.3279639310396917,,-3.1300250864740704,synthetic_beta__0.1_45,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,mean,knn__k5,0.1,0.0658619827367564,0.2310340626127287,,-0.0856866621374472,synthetic_beta__0.1_46,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,idw,knn__k5,0.1,0.0660994520829936,0.2333514445938537,,-0.1749711825681111,synthetic_beta__0.1_47,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,spherical_spline,knn__k5,0.1,0.0900113475768736,0.3618140795188991,,-3.465150351702601,synthetic_beta__0.1_48,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,rbfi_tps,knn__k5,0.1,0.0766133823278453,0.2886232082408441,,-1.9506312145781888,synthetic_beta__0.1_49,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,rbfi_mq,knn__k5,0.1,0.0781198412781059,0.2984608959155374,,-2.173611837317409,synthetic_beta__0.1_50,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,spline_surface,knn__k5,0.1,0.4583868309598552,1.7384305001759384,,-17.116119806923578,synthetic_beta__0.1_51,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,gsp,knn__k5,0.1,0.0694144097942555,0.2473684611440466,,-0.6809939559420268,synthetic_beta__0.1_52,it36_3syn_beta_low_missing_raw.csv,
