iteration,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
1.0,1176,0.2546472502315357,0.177330970868759,0.2142795668714296,0.469039931366454,,1.1122372043737616
2.0,672,0.2574228857499071,0.1776349237343431,0.2306050105750178,0.4606879459795785,,1.1964641629528128
3.0,672,0.27665833508679755,0.18888943484256362,0.2521629247154633,0.4937664451381415,,0.8592865492179811
4.0,672,1.2836978801247346e-05,9.059671158878229e-06,1.0252066696971833e-05,2.622633108441617e-05,,4.2512797923576375
5.0,4704,0.23388977333327335,0.1968803568272823,0.2089885972730743,0.41996636951905303,,1.446659488872666
6.0,840,0.3089132144817288,0.27016292816731324,0.2415371742114136,0.5467537075351514,,0.36068598890195663
7.0,1008,0.26483713352737354,0.14623225442800586,0.2384982122315032,0.4723753515425792,,0.7757024633036097
8.0,1008,0.3353168896231904,0.18043705308601082,0.2811660058157337,0.559854983743404,,0.7542422751289835
9.0,2016,0.2728692627256854,0.1859944336498606,0.2379179805449882,0.4899563933837145,,0.9792227716251707
10.0,672,0.2845265673403515,0.19042608804483183,0.2610509096263227,0.5154147890334234,,0.8819176027047184
11.0,872,1.3690670390098393e-05,8.026277626179638e-06,1.1134885641167803e-05,2.427266689858797e-05,0.0001363878218511645,8.033803606090562
12.0,504,0.2621050887594213,0.14339016431261464,0.23758249173943613,0.470253944035291,,0.8648582531631617
13.0,504,0.25330001137129693,0.14478241416983897,0.22777144022844853,0.46529293695676033,,1.9458924851455282
14.0,1008,0.21042163582818035,0.16987502647583036,0.13508758441283003,0.42005780302402496,,1.204203268121358
15.0,336,0.2733955200529286,0.16208679052106403,0.2368582041392905,0.4691680981168198,,0.4775700866996737
16.0,336,0.2611354712896212,0.14485626178361719,0.2362645675580457,0.46484582903243776,,0.7880782280903504
17.0,672,0.2574228857499071,0.1776349237343431,0.2306050105750178,0.4606879459795785,,1.1964641629528128
18.0,2016,0.2728692627256854,0.1859944336498606,0.2379179805449882,0.4899563933837145,,0.9792227716251707
19.0,336,0.33921089580078345,0.1825950716933841,0.28313805090910704,0.5593457250755384,,0.7275794646245051
20.0,336,0.3521833384697281,0.1839977863334195,0.2947368637925373,0.5889636034890389,,0.6209193659085377
21.0,2688,0.20465515628896436,0.1997671558105942,0.1864798868102987,0.36747385162055696,,1.7972370268082873
22.0,336,0.2559564278754329,0.1380260665778455,0.23710845091913835,0.46353169204092126,,1.0123845706952619
23.0,336,0.2556642270100677,0.13902001335433298,0.23602949830812858,0.46090133004064465,,1.0372363251367307
24.0,672,1.2836978801247346e-05,9.059671158878229e-06,1.0252066696971833e-05,2.622633108441617e-05,,4.2512797923576375
25.0,1344,0.2805924512135745,0.1896295382732369,0.2572064301478571,0.5045906170857825,,0.8706020759613496
26.0,672,0.27665833508679755,0.18888943484256362,0.2521629247154633,0.4937664451381415,,0.8592865492179811
27.0,672,0.2845265673403515,0.19042608804483183,0.2610509096263227,0.5154147890334234,,0.8819176027047184
28.0,252,0.24243280726088814,0.12486762996041317,0.236186267284353,0.46341979703396635,,2.0734984580066267
29.0,252,0.38003682722841153,0.3498943623440756,0.2674905589818104,0.6403868849664884,,-1.4126226882298596
30.0,252,0.2697674032876698,0.15268612819415414,0.23787432390650398,0.473776168106788,,0.598017098385419
31.0,2016,0.2728692627256854,0.1859944336498606,0.2379179805449882,0.4899563933837145,,0.9792227716251707
32.0,504,0.23557807746405887,0.162099144817407,0.1623711442886609,0.4443759976571306,,1.1722973095159832
33.0,504,0.3059544515881824,0.1685538283703658,0.2493241824025759,0.5286596830545279,,0.8924160912795508
34.0,84,1.7500134313218383e-05,8.383906197228756e-06,1.3892520526899671e-05,3.381954017316634e-05,,3.2557030223993513
35.0,336,0.2850309062868317,0.34480051029357706,0.2038601263247535,0.48029680212591636,,-0.15060292393778782
36.0,336,0.2141057743728117,0.17399705823239078,0.13994561547279624,0.4281871652007447,,0.9909936338114571
37.0,336,0.21686979621097485,0.17203210266929786,0.1516907687461868,0.44186597457780796,,1.142915839500899
38.0,252,0.2834670034244015,0.23147110503090348,0.23577025169960197,0.4977639145320958,,0.6394138004722011
39.0,63,2.0497105368615563e-05,7.3461664923995455e-06,1.773727909164699e-05,4.016371208362403e-05,,3.035357803540854
40.0,504,0.26483713352737354,0.1463049164222677,0.2384982122315032,0.4723753515425792,,0.7757024633036097
41.0,756,1.2894748056069529e-05,8.974755229607104e-06,1.071076715693272e-05,2.6350065795069076e-05,,4.310061510798784
42.0,756,1.3521349201719658e-05,9.378496781583146e-06,1.1323233159975254e-05,2.7618447078468053e-05,,4.339261627857657
43.0,756,1.2617745419374605e-05,8.717036115357666e-06,1.0514613892212368e-05,2.5785183986557273e-05,,4.30400266603546
44.0,2268,1.301128089238793e-05,9.031468444041682e-06,1.0863694182416749e-05,2.6584565620031465e-05,,4.317775268230633
45.0,756,1.4359328665638175e-05,1.0703403887614738e-05,1.1012434564999957e-05,2.8406266124243656e-05,,3.1691752173350447
46.0,756,1.3232848834453433e-05,9.425949190902092e-06,1.0746738633762212e-05,2.6752104753767527e-05,,3.5764109639944444
47.0,2268,1.3427989148298538e-05,9.665179732729688e-06,1.0760903841858357e-05,2.7049541263142672e-05,,3.6803963947063822
48.0,378,1.730297692867147e-05,7.646589305640686e-06,1.4679679076501007e-05,3.383436305629661e-05,,3.910707644950728
49.0,378,8.552404377914826e-06,8.070936153684182e-06,5.334049776183335e-06,1.893407918731553e-05,,4.682601863694898
50.0,396,1.0632975290111229e-05,7.439785408455333e-06,9.522222264043678e-06,2.274377351305778e-05,,4.9512034860927505
51.0,1664,0.1790059513869455,0.19368288895302302,0.14849736684156425,0.3298984137994791,,2.8925476875956218
52.0,336,0.20789475546813765,0.18582052025641693,0.19562788970088846,0.35705615677198144,,1.0850784189468525
53.0,336,0.18182757207724062,0.1507785929579726,0.175568326844978,0.3475712825021596,,2.9347624600501083
54.0,1344,0.251491891037609,0.21332527814783228,0.2529342199470004,0.4198995162310223,,1.5590997782887417
55.0,1344,0.1578184215403197,0.1730469510307198,0.1109596651986618,0.31504818701009163,,2.0353742753278334
56.0,504,0.18526519419230186,0.17386223832114064,0.0886413281647079,0.3957396083909193,,1.2361092267267328
57.0,504,0.36467932765819844,0.18719417810642897,0.3141658200693868,0.59105028443228,,0.6160684589784162
58.0,336,0.20028933690075454,0.16345198299986013,0.1251951461619266,0.3901202692935223,,1.4787003310517177
59.0,336,0.31455643459905974,0.17302601027522485,0.2493241824025759,0.5312556226656349,,0.9142279948539075
60.0,336,0.31455643459905974,0.17302601027522485,0.2493241824025759,0.5312556226656349,,0.9142279948539075
61.0,80,2.0829481417459412e-07,5.152015860262076e-08,2.0097034286533127e-07,7.346267792873489e-07,,11.720175918334602
62.0,180,2.2569319151801e-07,5.332149299465715e-08,2.2515028126507694e-07,8.152495457538701e-07,,11.361711712297614
63.0,40,2.7822359510653496e-07,5.6777518983976416e-08,2.856030470427165e-07,9.82069897454557e-07,,10.419365778471866
64.0,80,6.654387093896125e-07,1.590068050337971e-07,6.566149494222775e-07,2.3511042630983856e-06,,10.928067427328148
65.0,720,5.987178056582613e-07,1.538980875303106e-07,5.77560158560241e-07,2.09414851110587e-06,,11.40618463116626
66.0,720,6.040112527819827e-07,1.5428059614060537e-07,5.840360044152172e-07,2.096461827322365e-06,,11.364834503007826
67.0,240,5.711198817129107e-07,1.397089706488369e-07,5.670745973446158e-07,2.003995665059879e-06,,11.598436134740833
