combo,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
spherical_spline|nnk|mne_sample|0.4,10,1.4957183193068312e-05,5.776461564861797e-06,1.3813394886163848e-05,3.169227595234654e-05,0.00012127980546752215,3.9570957954320023
spherical_spline|nnk|physionet_eegmmidb|0.4,4,7.895151165011218e-06,8.968449084243316e-08,7.908232854526938e-06,1.873088845273378e-05,0.000116811565682775,10.796397079000892
spherical_spline|nnk|synthetic|0.1,10,0.05110011138068078,0.004647642099722734,0.0482787587066522,0.1988221910485301,0.39154174858403623,0.7508126131301245
spherical_spline|nnk|synthetic|0.2,10,0.10358528923471992,0.00469123818939928,0.1050430986566703,0.28558061411230073,0.7780697662173253,0.6228910945787609
spherical_spline|nnk|synthetic|0.3,10,0.18231334371593677,0.003573769549924208,0.1816939824997896,0.38183815608433286,1.326223554955324,0.5488607277867651
spherical_spline|nnk|synthetic|0.4,10,0.23314047752577896,0.0063861028745695846,0.2307824215776189,0.43089697689643625,1.6794633831530565,0.6036137145595675
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|physionet_eegmmidb|0.1,5,2.584443485140196e-06,0.0,2.584443485140196e-06,1.122999236958436e-05,,0.5766639308742199
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|physionet_eegmmidb|0.2,5,7.489044775725141e-06,0.0,7.489044775725141e-06,2.418661417481706e-05,,0.6328696812731676
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|physionet_eegmmidb|0.3,5,1.1154533255271536e-05,0.0,1.1154533255271536e-05,2.6585379903551428e-05,,1.9327880915832005
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|physionet_eegmmidb|0.4,6,3.307308273938962e-05,0.0,3.307308273938962e-05,7.761362088441654e-05,,-4.597354602934112
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|synthetic_alpha|0.1,16,0.1109596651986618,0.0,0.1109596651986618,0.4071882526204173,,-4.5856010357981205
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|synthetic_alpha|0.2,16,0.2359994730172166,0.0,0.2359994730172166,0.620458405288514,,-5.408366276674806
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|synthetic_alpha|0.3,16,0.3392384056544167,0.0,0.3392384056544167,0.7606027960808052,,-4.927944414651416
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|synthetic_alpha|0.4,15,0.4750781212681642,0.0,0.4750781212681642,0.931806016032614,,-5.235491412145549
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|synthetic_beta|0.1,15,0.0900113475768736,0.0,0.0900113475768736,0.3618140795188991,,-3.465150351702601
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|synthetic_beta|0.2,15,0.2204097595538203,0.0,0.2204097595538203,0.5706900080788788,,-4.824230470989945
spherical_spline|vknng__alpha1_k4_k_max8_k_min2|synthetic_beta|0.3,15,0.3057172787865971,0.0,0.3057172787865971,0.6771801754980264,,-4.153715982086204
