combination,best_method,best_mean_mae,best_n
# Placeholder CSV created to satisfy documentation links. Replace with real data as needed.
graph,dataset,missing_ratio,best_method,best_mean_mae,best_median_mae,best_count,n_methods,second_mean_mae,delta_to_second,second_method
gaussian,physionet_eegmmidb,0.2,tv,2.557379350555417e-05,2.6836174704406552e-05,7,7,2.5574661647316935e-05,8.681417627656762e-10,trss
gaussian,physionet_eegmmidb,0.3,trss,2.694903009383996e-05,2.803548740503908e-05,7,7,2.7125872116692325e-05,1.7684202285236578e-07,tv
gaussian,physionet_eegmmidb,0.4,rbfi_tps,5.691620032471166e-06,5.701679403905436e-06,4,22,6.000225881908493e-06,3.0860584943732675e-07,rbfi_mq
gaussian,synthetic,0.1,spherical_spline,0.0511001113806807,0.0482787587066522,15,12,0.0513583168233355,0.00025820544265479917,tv
gaussian,synthetic,0.2,spherical_spline,0.1035852892347199,0.1050430986566703,15,12,0.1037360048764196,0.00015071564169970297,tv
gaussian,synthetic,0.3,spherical_spline,0.1823133437159367,0.1816939824997896,15,12,0.1826923762748608,0.0003790325589241028,tv
gaussian,synthetic,0.4,spherical_spline,0.2331404775257789,0.2307824215776189,15,12,0.2334224151938724,0.00028193766809350707,tv
gaussian,synthetic_16ch,0.1,tv,0.4781823124093958,0.4743901898054982,26,7,0.4805375701550778,0.0023552577456820156,trss
gaussian,synthetic_16ch,0.2,tv,0.4992863947267722,0.4950401141512471,33,7,0.4998987741957947,0.0006123794690224837,graph_time_tikhonov
gaussian,synthetic_16ch,0.3,trss,0.519059448187698,0.5094878402669061,36,7,0.5220023524260955,0.0029429042383974924,tv
gaussian,synthetic_16ch,0.4,trss,0.5183286760437817,0.5164681251649931,9,7,0.526697166729496,0.008368490685714214,tv
gaussian,synthetic_32ch,0.1,trss,0.3995280531623301,0.3988065720908177,10,7,0.4073570115895677,0.007828958427237631,tv
gaussian,synthetic_32ch,0.2,trss,0.425447885494049,0.4274251709278028,10,7,0.4271224960965973,0.0016746106025483098,tv
gaussian,synthetic_32ch,0.3,trss,0.4364334468178739,0.442626867384015,10,7,0.443452381363231,0.007018934545357125,tv
gaussian,synthetic_32ch,0.4,trss,0.4622214445715394,0.4601461005641369,10,7,0.4625132184809344,0.0002917739093949989,tv
gaussian__sigma1,bci_competition_iv_2a_proxy,0.1,directed_tv,3.563090400667801e-07,3.5054607542325826e-07,10,20,3.645554775773037e-07,8.246437510523622e-09,tv
gaussian__sigma1,bci_competition_iv_2a_proxy,0.2,trss,4.180709465331645e-07,4.153039355639494e-07,10,20,4.200382305772833e-07,1.9672840441188276e-09,directed_tv
gaussian__sigma1,bci_competition_iv_2a_proxy,0.3,directed_tv,4.889472568011536e-07,5.001288585874889e-07,10,20,4.906117596035603e-07,1.6645028024067009e-09,tv
gaussian__sigma1,bci_competition_iv_2a_proxy,0.4,trss,5.404791035207778e-07,5.32077611329433e-07,10,20,5.431883017624513e-07,2.7091982416734337e-09,directed_tv
gaussian__sigma1,mne_sample_proxy,0.1,temporal_laplacian,1.2986988495039565e-07,1.2986988495039565e-07,1,20,1.3135720400568118e-07,1.4873190552855339e-09,heat_diffusion_temporal
gaussian__sigma1,mne_sample_proxy,0.2,tv,1.4943580615213736e-07,1.4943580615213736e-07,1,20,1.5139328725254146e-07,1.9574811004041026e-09,heat_diffusion_temporal
gaussian__sigma1,mne_sample_proxy,0.3,temporal_laplacian,1.707007133913716e-07,1.707007133913716e-07,1,20,1.814932506663923e-07,1.079253727502069e-08,tv
gaussian__sigma1,physionet_eegmmidb,0.1,rbfi_tps,1.8771499973196785e-06,1.886420341129943e-06,24,21,1.921646400513696e-06,4.4496403194017485e-08,idw
gaussian__sigma1,physionet_eegmmidb,0.2,linear,3.29297618788262e-06,3.3157670454545457e-06,25,21,4.419891963339916e-06,1.1269157754572956e-06,gsmooth
gaussian__sigma1,physionet_eegmmidb,0.3,nearest,8.304769397849745e-06,8.520170454545455e-06,26,21,8.675407335309672e-06,3.706379374599272e-07,idw
gaussian__sigma1,physionet_eegmmidb,0.4,trss,1.2432058486787655e-05,1.2741588818089966e-05,28,21,1.2533810335284996e-05,1.0175184849734074e-07,gsmooth
gaussian__sigma1,synthetic_alpha,0.1,mean,0.0589478976695531,0.0589478976695532,18,21,0.059098369181251,0.00015047151169789857,tv
gaussian__sigma1,synthetic_alpha,0.2,tv,0.1201225722821211,0.1201225722821212,18,21,0.1208467294395675,0.0007241571574463923,mean
gaussian__sigma1,synthetic_alpha,0.3,directed_tv,0.1994671073568643,0.1994671073568643,18,21,0.2076559769100092,0.008188869553144906,heat_diffusion_temporal
gaussian__sigma1,synthetic_alpha,0.4,mean,0.2610509096263227,0.2610509096263227,17,21,0.2625194559971324,0.0014685463708096758,gsmooth
gaussian__sigma1,synthetic_beta,0.1,trss,0.0651497795573701,0.0651497795573701,17,21,0.0651506550608471,8.755034770074888e-07,gsp
gaussian__sigma1,synthetic_beta,0.2,heat_diffusion_temporal,0.1340096371196641,0.1340096371196641,17,21,0.1340780619424771,6.842482281299578e-05,tv
gaussian__sigma1,synthetic_beta,0.3,directed_tv,0.2023526997048401,0.2023526997048401,17,21,0.2033669952909275,0.0010142955860873992,heat_diffusion_temporal
gaussian__sigma1,synthetic_beta,0.4,directed_tv,0.2698957683430505,0.2698957683430505,17,21,0.2769036366798497,0.007007868336799172,heat_diffusion_temporal
gaussian__sigma1,synthetic_broad,0.1,directed_tv,0.0783620451757212,0.0783620451757212,19,21,0.0813046606995442,0.0029426155238229945,heat_diffusion_temporal
gaussian__sigma1,synthetic_broad,0.2,directed_tv,0.1181534984305608,0.1181534984305608,19,21,0.1205710482060559,0.0024175497754950898,heat_diffusion_temporal
gaussian__sigma1,synthetic_broad,0.3,directed_tv,0.1974954865713062,0.1974954865713062,20,21,0.1981715498056113,0.0006760632343051076,heat_diffusion_temporal
