graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
gaussian,synthetic,0.4,spherical_spline,0.23314047752577896,15,0.006271028532533615,0.2303967723690835,0.2365477208622898,tv,0.23342241519387244,45,0.006408589538730221,0.0002819376680934793,0.669446167348811,1.0,False,0.0755555555555556
kalofolias,synthetic,0.1,spherical_spline,0.05110011138068078,20,0.0045236826379451,0.04925910394474765,0.053126179983590156,tv,0.051100190022722515,60,0.004446243327900265,7.864204173285705e-08,0.4268012223855139,1.0,False,0.12
kalofolias,synthetic,0.2,spherical_spline,0.10358528923471991,20,0.004566115955683536,0.10137562520073902,0.10547167203661158,tv,0.10358536320611544,60,0.004487936750899982,7.397139553666499e-08,0.7939477983674555,1.0,False,0.040000000000000036
kalofolias,synthetic,0.3,spherical_spline,0.1823133437159368,20,0.0034784518510953054,0.1808272473649458,0.18372694295469735,tv,0.18231341908284734,60,0.003418775258324009,7.536691054577105e-08,0.7598748571444529,1.0,False,0.046666666666666634
kalofolias,synthetic,0.4,spherical_spline,0.23314047752577896,20,0.006215776102799555,0.23053605417872272,0.23588074989845983,tv,0.23314056322540383,60,0.00610957211604464,8.569962486881799e-08,0.4268012223855139,1.0,False,0.12
knng,synthetic,0.1,spherical_spline,0.05110011138068078,20,0.0045236826379451,0.04925910394474765,0.053126179983590156,tv,0.05352732247132583,60,0.00540865583286704,0.0024272110906450456,0.0691866158336059,1.0,False,0.2733333333333333
knng,synthetic,0.2,spherical_spline,0.10358528923471991,20,0.004566115955683536,0.10137562520073902,0.10547167203661158,tv,0.10552904684493006,60,0.006317858522832633,0.0019437576102101506,0.14386746396571307,1.0,False,0.21999999999999997
knng,synthetic,0.3,spherical_spline,0.1823133437159368,20,0.0034784518510953054,0.1808272473649458,0.18372694295469735,tv,0.18679214702989447,60,0.0049459481280098305,0.004478803313957669,0.00011235074412600853,0.01909962650142145,True,0.5800000000000001
knng,synthetic,0.4,spherical_spline,0.23314047752577896,20,0.006215776102799555,0.23053605417872272,0.23588074989845983,tv,0.23640328653447187,60,0.007448672682961298,0.003262809008692913,0.008859369049605206,1.0,False,0.3933333333333333
nnk,synthetic,0.1,spherical_spline,0.05110011138068078,10,0.004647642099722735,0.04852908893629744,0.053878579941604075,gsmooth,0.05529151670399256,30,0.0048735052771235335,0.004191405323311775,0.02990664611301388,1.0,False,0.4666666666666667
nnk,synthetic,0.2,spherical_spline,0.10358528923471992,10,0.004691238189399277,0.10080706453103765,0.10616162175995994,gsmooth,0.10876805066074932,30,0.005510459633897625,0.0051827614260294,0.01546675876949252,1.0,False,0.52
nnk,synthetic,0.3,spherical_spline,0.1823133437159368,10,0.0035737695499242095,0.18022741747177137,0.18443877993659422,gsmooth,0.18794296492644053,30,0.005339847476338417,0.005629621210503727,0.007558108198196517,1.0,False,0.5733333333333333
nnk,synthetic,0.4,spherical_spline,0.233140477525779,10,0.006386102874569585,0.2298209417055,0.23737820710378638,gsmooth,0.23958182745899206,30,0.008577743763672473,0.006441349933213075,0.010889355954783768,1.0,False,0.5466666666666666
vknng,synthetic,0.1,spherical_spline,0.05110011138068078,20,0.0045236826379451,0.04925910394474765,0.053126179983590156,tv,0.05318390234962931,60,0.0053036470140549385,0.0020837909689485276,0.13199995676390777,1.0,False,0.22666666666666668
vknng,synthetic,0.2,spherical_spline,0.10358528923471991,20,0.004566115955683536,0.10137562520073902,0.10547167203661158,tv,0.10515895188310437,60,0.006098141691752145,0.0015736626483844607,0.18404576537784056,1.0,False,0.19999999999999996
vknng,synthetic,0.3,spherical_spline,0.1823133437159368,20,0.0034784518510953054,0.1808272473649458,0.18372694295469735,tv,0.18612236511819136,60,0.004535981451070457,0.0038090214022545588,0.0005347149400721188,0.08448496053139477,False,0.52
vknng,synthetic,0.4,spherical_spline,0.23314047752577896,20,0.006215776102799555,0.23053605417872272,0.23588074989845983,tv,0.23580146682463415,60,0.007211822963490337,0.002660989298855193,0.02657484238787066,1.0,False,0.33333333333333337
gaussian__sigma1,mne_sample_proxy,0.1,temporal_laplacian,1.2986988495039565e-07,1,,,,heat_diffusion_temporal,1.3135720400568118e-07,1,,1.4873190552855339e-09,,,False,
gaussian__sigma1,mne_sample_proxy,0.3,temporal_laplacian,1.707007133913716e-07,1,,,,tv,1.814932506663923e-07,1,,1.079253727502069e-08,,,False,
gaussian__sigma1,bci_competition_iv_2a_proxy,0.2,trss,4.180709465331646e-07,10,5.2628344148158924e-08,3.88089740694939e-07,4.501420203470085e-07,directed_tv,4.200382305772833e-07,10,4.5878973676284206e-08,1.9672840441187218e-09,0.8501067391385259,1.0,False,0.06000000000000005
gaussian__sigma1,bci_competition_iv_2a_proxy,0.4,trss,5.404791035207778e-07,10,8.378161152819182e-08,4.93627426494288e-07,5.948784574560834e-07,directed_tv,5.431883017624513e-07,10,8.716587575038563e-08,2.7091982416734337e-09,0.9097218891455553,1.0,False,0.040000000000000036
kalofolias,bci_competition_iv_2a_proxy,0.2,trss,3.414203342271202e-07,1,,,,tv,3.525299377087686e-07,1,,1.1109603481648438e-08,,,False,
knn__k3,bci_competition_iv_2a_proxy,0.2,trss,4.2487997901919457e-07,13,6.311723561413003e-08,3.9486584923407847e-07,4.598616238940352e-07,temporal_laplacian,4.26372556764383e-07,13,5.5643254523934756e-08,1.4925777451884318e-09,0.8374719604535413,1.0,False,0.053254437869822535
knn__k3,bci_competition_iv_2a_proxy,0.3,trss,4.764813902153285e-07,14,6.538506112059806e-08,4.4607864655273574e-07,5.102156936897544e-07,temporal_laplacian,4.852191042854709e-07,14,2.740952234185269e-08,8.737714070142458e-09,0.3953072503151053,1.0,False,0.19387755102040816
gaussian,bci_competition_proxy,0.1,trss,6.995450566701874e-06,19,2.829166467554795e-07,6.873735650180736e-06,7.117333345729461e-06,tv,7.061588775960006e-06,19,2.4414494486617505e-07,6.61382092581317e-08,0.7481026173282347,1.0,False,0.06371191135734067
gaussian,bci_competition_proxy,0.2,trss,7.464800260435471e-06,30,3.796825044988487e-07,7.332082719372641e-06,7.608694419717196e-06,tv,7.544791997691666e-06,30,3.702488905282336e-07,7.99917372561945e-08,0.3710770321265142,1.0,False,0.13555555555555554
