method,count,mean,std
bgsrp,456,0.47509525677852993,0.14032987216037426
directed_tv,456,0.16834949296254445,0.08120139554527724
graph_time_tikhonov,651,0.32394754866839626,0.2018606526512642
gsmooth,456,0.1638020250351248,0.08442316447488155
gsp,456,0.17690463530700273,0.09228754675552467
heat_diffusion_temporal,456,0.3487818491108209,0.5381635066309157
idw,456,0.16489934008269214,0.08563062536143272
linear,456,0.19036625399208418,0.09840522135764644
mean,651,0.17216931203470723,0.1593122902242965
nearest,651,0.21883089797857738,0.19944824387695462
puy,456,0.3955483165814709,0.16538494494801345
rbfi_mq,456,0.2219971158212268,0.11691959352752791
rbfi_tps,456,0.21029143406799394,0.1115119475851878
sobolev,456,0.5126136721473816,0.15415241761089415
spherical_spline,456,0.23203441814781164,0.13809334395330614
spline_surface,456,0.2720042492583965,0.12754847249485343
temporal_laplacian,651,0.3578654071143779,0.21173650965922597
tikhonov,651,0.2596181733050143,0.20590889892783473
trss,651,0.16963824223736407,0.14040642853873178
tv,651,0.16404190336454097,0.13941778418442954
wavelet_temporal,456,0.1780008453295452,0.08204600510605059
