method,count,mean,std
bgsrp,32,0.5398272075303979,0.03156402947334468
directed_tv,32,0.18581034958277295,0.06679661578094323
graph_time_tikhonov,314,64.94396750657017,90.11328796857151
gsmooth,32,0.17106783691776198,0.08107934845303295
gsp,32,0.1976975915678175,0.09287819790485316
heat_diffusion_temporal,32,0.34222531885956353,0.527311576437883
idw,32,0.1715233628743487,0.08304987786957141
linear,32,0.2069072286608685,0.10048328273519444
mean,264,15.112031103758909,24.721568524201718
nearest,264,23.21398548136973,37.69611139510113
puy,32,0.43030115068669783,0.12297246664187525
rbfi_mq,32,0.2394257422862615,0.1127039864649465
rbfi_tps,32,0.23312719560027825,0.11008426882747192
sobolev,32,0.5492571926905672,0.0628950793399993
spherical_spline,32,0.2903189162846148,0.13597857813579353
spline_surface,32,0.342535166756372,0.09229542247452065
temporal_laplacian,314,81.71079161485997,111.42824390398088
tikhonov,264,39.92859110013942,60.23806665927323
trss,314,12.826216161858898,20.45074920587717
tv,314,15.36253277374474,23.418569322238945
wavelet_temporal,32,0.1785183369965673,0.07320434444475234
