method,count,mean,std
bgsrp,84,0.0014223306176957694,0.0030163261293402297
directed_tv,84,0.0009027219862215536,0.0019045930374061502
graph_time_tikhonov,94,0.028815541068687365,0.10711952894653584
gsmooth,84,0.001363472549929844,0.002873088905862402
gsp,6,0.5081333513434152,0.010867604735684286
heat_diffusion_temporal,84,0.0009864704082751783,0.002085875109187604
idw,84,0.0013582208305254835,0.0028795058484022014
linear,94,0.04180111845856977,0.1575746757024227
mean,106,0.07073197206928883,0.15467813921972462
nearest,106,0.10416588589703722,0.23756038336383561
puy,84,0.0014111216417762654,0.003007998799783781
rbfi_mq,84,0.0015798203896991278,0.0033507287728706736
rbfi_tps,84,0.0014120794464813093,0.0029966807068504326
sobolev,84,0.0013611427160010372,0.002900273339821289
spherical_spline,84,0.0014127139091350033,0.0029949909440955737
spline_surface,84,0.001522367051021679,0.003269802468749746
temporal_laplacian,106,0.10886137364973705,0.24037676652803894
tikhonov,106,0.07701507894982668,0.16861352677902638
trss,84,0.0009282353793682927,0.0019548272898712083
tv,106,0.07369298431365791,0.16257906530111868
wavelet_temporal,84,0.0010290117633865088,0.0021812176387960708
