scenario,method,count,mean,std
frontal_band,bgsrp,552,0.27153446905926687,0.2749391051165274
frontal_band,graph_time_tikhonov,736,0.2089153319703538,0.22125958908936688
frontal_band,gsmooth,552,0.07433755937882337,0.09053026463195096
frontal_band,gsp,184,0.08526322577426905,0.10538422549474856
frontal_band,idw,576,0.08088512930186126,0.09447642722161767
frontal_band,linear,192,0.09755925857731146,0.1159165346408845
frontal_band,rbfi_mq,184,0.20648260807581484,0.28048992839428194
frontal_band,rbfi_tps,184,0.16958195072648802,0.23502029988418693
frontal_band,spherical_spline,184,0.071210715029036,0.08705554238453796
frontal_band,tikhonov,576,0.2044999726942264,0.21469062344942066
frontal_band,trss,768,0.08350849468076255,0.09941152696731956
frontal_band,tv,552,0.07401328022200472,0.09054439030568
left_lateral_temporal,bgsrp,552,0.267181917265934,0.269448823758147
left_lateral_temporal,graph_time_tikhonov,736,0.20769067995899357,0.21940990327315774
left_lateral_temporal,gsmooth,552,0.07667272900338863,0.09342618475317781
left_lateral_temporal,gsp,184,0.08589758773826298,0.10544389277548241
left_lateral_temporal,idw,576,0.0837833696981348,0.10040204814706062
left_lateral_temporal,linear,192,0.09201432246209822,0.11039980433355583
left_lateral_temporal,rbfi_mq,184,0.1435854755497618,0.18263935507882617
left_lateral_temporal,rbfi_tps,184,0.12582451228743444,0.1646027627814935
left_lateral_temporal,spherical_spline,184,0.07367542529107328,0.08982273359002514
left_lateral_temporal,tikhonov,576,0.2032132406669121,0.21277670975954852
left_lateral_temporal,trss,768,0.08556681481045064,0.101303038132199
left_lateral_temporal,tv,552,0.0760040571994207,0.09214365885149055
midline_central,bgsrp,552,0.2609464788266694,0.26209563716186457
midline_central,graph_time_tikhonov,736,0.20625052783808606,0.2186497607601007
midline_central,gsmooth,552,0.07439722879467969,0.08883942270972073
midline_central,gsp,184,0.07812048730275233,0.09248587807817352
midline_central,idw,552,0.08137628347676548,0.09773840476556316
midline_central,linear,184,0.08603133572783173,0.1023331504271831
midline_central,rbfi_mq,184,0.16746532356211546,0.20954056933262039
midline_central,rbfi_tps,184,0.11631692326670516,0.13946566770465307
midline_central,spherical_spline,184,0.07263573085493004,0.08767457479557761
midline_central,tikhonov,552,0.19825003906839986,0.21568962514634896
midline_central,trss,736,0.07770599772666874,0.09210421137800519
midline_central,tv,552,0.0731006326685022,0.08773438517873212
occipital_band,bgsrp,552,0.26870165904974747,0.2715570042789838
occipital_band,graph_time_tikhonov,736,0.20647828960975262,0.21890547327736856
occipital_band,gsmooth,552,0.07185991066834502,0.08643272706939494
occipital_band,gsp,184,0.07759873389216501,0.09255359641117636
occipital_band,idw,576,0.07935041959580678,0.0922820727689927
occipital_band,linear,192,0.09102596847296468,0.1058302143934954
occipital_band,rbfi_mq,184,0.2201815602617629,0.27662467007146135
occipital_band,rbfi_tps,184,0.16257035166831268,0.21270893687290232
occipital_band,spherical_spline,184,0.0700988973264141,0.08566708563884529
occipital_band,tikhonov,576,0.20163755217025103,0.21226595492080708
occipital_band,trss,768,0.07747587471397137,0.0900128490041375
occipital_band,tv,552,0.07183823623313532,0.08651559196344273
right_lateral_temporal,bgsrp,552,0.26752975328564443,0.27009696090053686
right_lateral_temporal,graph_time_tikhonov,736,0.20569207905113193,0.21955023041676924
right_lateral_temporal,gsmooth,552,0.07120723541014885,0.08855467119692989
right_lateral_temporal,gsp,184,0.07828183539256683,0.09915635390399052
right_lateral_temporal,idw,576,0.07568123157087783,0.08985708140668806
right_lateral_temporal,linear,192,0.09938848754562672,0.11919329775006018
right_lateral_temporal,rbfi_mq,184,0.16467545631181152,0.20455046995611742
right_lateral_temporal,rbfi_tps,184,0.1354718362025173,0.1814598067055514
right_lateral_temporal,spherical_spline,184,0.06874029287933044,0.08519310895611773
right_lateral_temporal,tikhonov,576,0.20082705010540033,0.2130869063870815
right_lateral_temporal,trss,768,0.07844534690048052,0.09607354797485011
right_lateral_temporal,tv,552,0.0696705514768861,0.08658006762591662
