dataset,graph,method,missing_ratio,n,mean,median,std,ci95_lo,ci95_hi
iv100hz_mat,knn__k3,adaptive_temporal,0.1,8,315.9810464841701,316.99834723692254,6.912959958812456,311.228013582695,320.2254290092691
iv100hz_mat,knn__k3,adaptive_temporal,0.2,8,609.0176099854704,608.3485181724488,6.928903200708236,604.4611771801603,613.5761605985522
iv100hz_mat,knn__k3,directed_tv,0.05,6,2608.5538700215834,2608.55298031679,0.0022389997444572925,2608.5523560795696,2608.555409903663
iv100hz_mat,knn__k3,directed_tv,0.1,18,2608.798998514704,2608.798033665891,0.0020949100993234407,2608.798151781936,2608.8000190105145
iv100hz_mat,knn__k3,directed_tv,0.2,12,2608.979173572519,2608.9791103873267,0.0018930561533854382,2608.9781874460837,2608.9801753096162
iv100hz_mat,knn__k3,directed_tv,0.3,12,2609.093208291479,2609.0935784402936,0.001649011303024446,2609.092301481257,2609.094075961218
iv100hz_mat,knn__k3,directed_tv,0.4,6,2609.184744803135,2609.1718629091665,0.04975459650819346,2609.153143012612,2609.222969455321
iv100hz_mat,knn__k3,graph_time_tikhonov,0.1,5,158.57398440590833,158.6232543478412,0.11261138365589188,158.4710747489067,158.6386401868734
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,31,141.46165481201453,158.6695153029173,33.01703345243102,129.78348588223142,152.46911536098457
iv100hz_mat,knn__k3,graph_time_tikhonov,0.3,5,180.11373431906753,180.16655036915117,0.497069772528571,179.7123980270803,180.46492294685342
iv100hz_mat,knn__k3,heat_diffusion_temporal,0.05,6,90.73666709688955,91.03178357642759,0.977819627768565,89.95398696512366,91.3631357880189
iv100hz_mat,knn__k3,heat_diffusion_temporal,0.1,20,184.2703871716264,185.2540318457762,2.4178129987863355,183.2057268779515,185.2902601129153
iv100hz_mat,knn__k3,heat_diffusion_temporal,0.2,46,380.79859054438225,381.9554987379539,4.3637734373623704,379.55221643466115,381.99956095736394
iv100hz_mat,knn__k3,heat_diffusion_temporal,0.3,15,692.617830280076,688.6414948029222,7.711325936643756,689.0822014944446,696.3000478739141
iv100hz_mat,knn__k3,mean,0.1,11,20.47287469869146,20.300082859848484,0.5559223139559845,20.203786641270664,20.817262988550276
iv100hz_mat,knn__k3,mean,0.2,24,41.59725531684028,41.73264322916666,0.8580683840695303,41.258580512152776,41.923409898546005
iv100hz_mat,knn__k3,mean,0.3,11,73.35071161987523,73.0220588235294,0.6870157753992144,72.97675008355614,73.7391001698975
iv100hz_mat,knn__k3,nearest,0.1,5,33.26966145833333,33.446223958333334,0.4395046941192857,32.91442708333334,33.600798828125
iv100hz_mat,knn__k3,nearest,0.2,15,65.4171875,65.25026041666666,1.1172436956448024,64.90622026909723,65.9379609375
iv100hz_mat,knn__k3,nearest,0.3,5,113.59502604166667,113.48502604166669,1.272419888735757,112.60492187500002,114.58513020833334
iv100hz_mat,knn__k3,puy,0.1,6,201.92467858053556,201.96798185405405,0.23151440227968195,201.7504894067755,202.08781140885637
iv100hz_mat,knn__k3,puy,0.2,6,206.80329588352276,206.73349213788146,0.36235579142002394,206.55153970294555,207.0604003865468
iv100hz_mat,knn__k3,puy,0.3,6,215.31601764387077,215.40548789361105,0.8837063600453513,214.66256347247761,215.95434527995891
iv100hz_mat,knn__k3,sobolev_temporal,0.1,8,14.27841512353053,14.26654334383539,0.23784005199403113,14.12295189653642,14.43387835052464
iv100hz_mat,knn__k3,sobolev_temporal,0.2,8,30.718338469004806,30.63816598371605,0.4200252842939016,30.457901297068993,30.99956053951648
iv100hz_mat,knn__k3,temporal_laplacian,0.1,8,194.63055490440468,194.58538968826463,0.2937584071294583,194.45964779767795,194.84477769189192
iv100hz_mat,knn__k3,temporal_laplacian,0.2,34,187.6166573973515,201.14373337114696,18.750086834775956,181.48387436579543,193.71204128316967
iv100hz_mat,knn__k3,tikhonov,0.2,10,100.71209690174098,100.46396624467687,0.6086585160452591,100.3854384815807,101.08014860120784
iv100hz_mat,knn__k3,trss,0.05,6,7.8298469169437865,7.877925104412945,0.35524991448922055,7.571820565827832,8.072998075736356
iv100hz_mat,knn__k3,trss,0.1,23,16.138569416652583,16.050269592568817,0.34279182311422846,16.0031368937653,16.278778022235056
iv100hz_mat,knn__k3,trss,0.2,70,39.052844663948726,34.193162223492486,24.961657437120184,33.73046859336599,45.064945891885536
iv100hz_mat,knn__k3,trss,0.3,27,65.83155663585454,66.33106553277014,0.9298139267728581,65.48840222619171,66.18919812655062
iv100hz_mat,knn__k3,trss,0.4,6,88.24397276966123,88.13794622165581,0.7322004004072847,87.77571609143784,88.816042071696
iv100hz_mat,knn__k3,tv,0.1,11,17.47085143670807,17.609477577764263,1.2492897993900163,16.787422899144914,18.176299469367436
iv100hz_mat,knn__k3,tv,0.2,60,50.025665431969486,40.71915472382675,24.413822934196297,44.222163229643435,56.42921013092081
iv100hz_mat,knn__k3,tv,0.3,11,78.25353012574975,77.57727833604345,2.4521949426485903,76.85630343671355,79.59160336589238
iv100hz_mat,knn__k5,heat_diffusion_temporal,0.2,9,239.86491074352256,239.94093556231945,2.924867820133429,238.12145412100102,241.6083673660441
iv100hz_mat,knn__k5,heat_diffusion_temporal,0.3,9,458.28619390434665,456.0285622469007,4.2468883480901045,455.7186988513015,460.85499628219407
iv100hz_mat,knn__k5,trss,0.2,4,33.07691180883574,33.10806089554845,0.5766873365616376,32.59152122623762,33.56230239143387
iv100hz_mat,knn__k5,trss,0.3,4,62.4697422262641,62.41611067495001,0.9023224246535033,61.7354343446251,63.2576816592172
iv100hz_mat,knn__k7,heat_diffusion_temporal,0.2,4,184.35648044557828,184.1651135217789,2.023694829372913,182.69143308637445,186.21289472858138
iv100hz_mat,knn__k7,heat_diffusion_temporal,0.3,4,355.67326365781554,355.3101685409663,3.845182719324246,352.5186278592301,359.1909945732502
iv100hz_mat,knn__k7,trss,0.2,4,31.40323141934188,31.477669904890334,0.5977284772557035,30.910113222897785,31.896349615785972
iv100hz_mat,knn__k7,trss,0.3,4,59.285949509582146,58.99900117541016,0.8563281003474894,58.70295050830056,60.07833915289501
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.2,9,4.445297735878512e-06,4.427965097905745e-06,9.224537157672689e-08,4.392368254532796e-06,4.505218055980619e-06
physionet_eegmmidb_real,gaussian__sigma0.6,heat_diffusion_temporal,0.3,9,7.747326233401544e-06,7.706512554110398e-06,8.102618978020913e-08,7.699409321192699e-06,7.799815610090453e-06
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.2,4,3.025449728157293e-06,2.997661261901946e-06,8.381369312981431e-08,2.968891423811136e-06,3.1036440895651264e-06
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.3,4,5.555935484615721e-06,5.565720024608793e-06,2.9439717823399514e-08,5.5247316206701426e-06,5.577283267849744e-06
physionet_eegmmidb_real,gaussian__sigma1.0,directed_tv,0.1,12,3.2918416623286006e-06,3.3046813165214397e-06,9.318317151480785e-08,3.2338134596729203e-06,3.3383327168429553e-06
physionet_eegmmidb_real,gaussian__sigma1.0,directed_tv,0.2,12,6.6256808162462086e-06,6.614934408188273e-06,1.2003510490149725e-07,6.564314567618285e-06,6.693911038960464e-06
physionet_eegmmidb_real,gaussian__sigma1.0,directed_tv,0.3,12,1.1778208036670342e-05,1.1747513004796075e-05,1.3224999740184548e-07,1.1713514312355246e-05,1.1857988827376151e-05
physionet_eegmmidb_real,gaussian__sigma1.0,directed_tv,0.4,6,1.5238176217513889e-05,1.524411894633455e-05,3.0957217014683935e-08,1.5212890846717284e-05,1.5257966242680971e-05
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.1,11,2.2621626047159046e-06,2.260913240880003e-06,7.813439668810405e-08,2.2176059425661944e-06,2.3059255433398777e-06
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.2,20,4.444206397695444e-06,4.434303459573805e-06,8.905895293079953e-08,4.408729024647886e-06,4.481139584497557e-06
physionet_eegmmidb_real,gaussian__sigma1.0,heat_diffusion_temporal,0.3,15,7.762366751489061e-06,7.713801628162027e-06,8.179262776590947e-08,7.722346803300507e-06,7.800858182693379e-06
physionet_eegmmidb_real,gaussian__sigma1.0,mean,0.1,11,2.0750139893250687e-06,2.0891927083333334e-06,5.502121478849387e-08,2.0428030303030298e-06,2.1054809906594353e-06
physionet_eegmmidb_real,gaussian__sigma1.0,mean,0.2,11,4.084734848484849e-06,4.053854166666666e-06,9.16663903938944e-08,4.038035955255682e-06,4.1415423768939396e-06
physionet_eegmmidb_real,gaussian__sigma1.0,mean,0.3,6,7.2087316176470586e-06,7.1719439338235285e-06,8.11439762625121e-08,7.152565870098039e-06,7.272485191993463e-06
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.1,11,1.4920885676357654e-06,1.499271281270872e-06,4.046815977653451e-08,1.4667792613704098e-06,1.5128292695210474e-06
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.2,15,3.0254816540658253e-06,2.9867810277041205e-06,7.016928441037365e-08,2.994855950738385e-06,3.062813453079581e-06
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.3,10,5.578663648346555e-06,5.581264054798808e-06,3.315021677290939e-08,5.559190118564634e-06,5.598787412981067e-06
physionet_eegmmidb_real,gaussian__sigma1.0,tv,0.1,11,2.075011129156115e-06,2.089189776860466e-06,5.502110827688116e-08,2.0451432982061698e-06,2.1058457047832116e-06
physionet_eegmmidb_real,gaussian__sigma1.0,tv,0.2,11,4.084729903180508e-06,4.053849192344686e-06,9.166641201689644e-08,4.0381582638012e-06,4.1443549088440454e-06
physionet_eegmmidb_real,gaussian__sigma1.0,tv,0.3,6,7.208724280360909e-06,7.171936791786838e-06,8.114392588621993e-08,7.152698981848782e-06,7.26585500823159e-06
physionet_eegmmidb_real,kalofolias,directed_tv,0.1,6,3.292423142811131e-06,3.3052793837970468e-06,9.773488396341396e-08,3.2120080810626105e-06,3.35339909801952e-06
physionet_eegmmidb_real,kalofolias,directed_tv,0.2,6,6.626804324602598e-06,6.616039206986385e-06,1.2588852681044006e-07,6.5401572147755015e-06,6.725294415718064e-06
physionet_eegmmidb_real,kalofolias,directed_tv,0.3,6,1.1779924997989763e-05,1.1749227106789546e-05,1.3871275936134535e-07,1.1691354836296214e-05,1.1899172425968654e-05
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.1,6,2.8576565559040516e-06,2.8514965960244577e-06,1.1049185124794596e-07,2.7762123434342426e-06,2.9365077538221397e-06
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.2,11,5.563888233974287e-06,5.5674842029522265e-06,9.067085650889162e-08,5.513719479921637e-06,5.613141093103692e-06
physionet_eegmmidb_real,kalofolias,heat_diffusion_temporal,0.3,11,9.68100988287574e-06,9.619718812873087e-06,1.0150457973391654e-07,9.627278168855686e-06,9.736619090926503e-06
physionet_eegmmidb_real,kalofolias,mean,0.1,6,2.0749427872474744e-06,2.081676136363636e-06,5.502182291886416e-08,2.035710177951388e-06,2.1124696673768935e-06
physionet_eegmmidb_real,kalofolias,mean,0.2,6,4.080258246527778e-06,4.050709635416666e-06,9.309809163956533e-08,4.02423828125e-06,4.158962673611111e-06
physionet_eegmmidb_real,kalofolias,mean,0.3,6,7.2087316176470586e-06,7.1719439338235285e-06,8.11439762625121e-08,7.152565870098039e-06,7.27697833690768e-06
physionet_eegmmidb_real,kalofolias,trss,0.1,6,1.496210327036873e-06,1.5058508180134585e-06,4.085150285368418e-08,1.4656577464405916e-06,1.522451998397962e-06
physionet_eegmmidb_real,kalofolias,trss,0.2,6,3.0256595874984324e-06,2.999426265118071e-06,6.91152675546184e-08,2.9872452502094844e-06,3.082991370999395e-06
physionet_eegmmidb_real,kalofolias,trss,0.3,6,5.592171257208709e-06,5.589938075996549e-06,3.755364298470584e-08,5.567029133105317e-06,5.619812563159027e-06
physionet_eegmmidb_real,kalofolias,tv,0.1,6,2.074942706635956e-06,2.0816760571844658e-06,5.502181828147472e-08,2.035710100398322e-06,2.114970665884628e-06
physionet_eegmmidb_real,kalofolias,tv,0.2,6,4.080258125451883e-06,4.050709508336996e-06,9.309809361039623e-08,4.025286335848312e-06,4.153574096524632e-06
physionet_eegmmidb_real,kalofolias,tv,0.3,6,7.208731485597126e-06,7.171943800445618e-06,8.114397810438603e-08,7.1532372027420555e-06,7.265862308070016e-06
physionet_eegmmidb_real,knn__k3,adaptive_temporal,0.1,8,1.2369484758418806e-06,1.2339467688602068e-06,3.7512197467045085e-08,1.2130626813777182e-06,1.260834270306043e-06
physionet_eegmmidb_real,knn__k3,adaptive_temporal,0.2,8,2.5046225687756503e-06,2.509491328418013e-06,5.299940327190095e-08,2.4698636758593233e-06,2.5368924737805836e-06
physionet_eegmmidb_real,knn__k3,directed_tv,0.05,6,1.6261490557842919e-06,1.64579664420527e-06,5.2291227666489805e-08,1.5848393011653449e-06,1.6575824190239555e-06
physionet_eegmmidb_real,knn__k3,directed_tv,0.1,18,3.290559146056399e-06,3.3041921118259566e-06,9.138037349465797e-08,3.244872497815394e-06,3.32900191618476e-06
physionet_eegmmidb_real,knn__k3,directed_tv,0.2,12,6.624137884128726e-06,6.612427730070025e-06,1.2006421981132464e-07,6.562227142772989e-06,6.689517225455588e-06
physionet_eegmmidb_real,knn__k3,directed_tv,0.3,12,1.1777021328304178e-05,1.1746143930316544e-05,1.322864876769636e-07,1.1713622842925597e-05,1.185080884744772e-05
physionet_eegmmidb_real,knn__k3,directed_tv,0.4,6,1.5236496336068058e-05,1.5241937992615575e-05,3.0451810641229874e-08,1.5212643683084951e-05,1.5256765920398593e-05
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.1,5,1.0040998783933616e-05,1.0045863272087147e-05,1.860281363937745e-08,1.0027452953441474e-05,1.005454461442576e-05
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.2,35,9.145543442652669e-06,1.064673596219027e-05,2.0865882337933726e-06,8.465936586698408e-06,9.808224911522983e-06
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.3,5,1.174262550833953e-05,1.1745269052459055e-05,3.013786339902733e-08,1.171955197306832e-05,1.1765699043610737e-05
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.05,6,1.5419397146815433e-06,1.5350202468574973e-06,3.8247802814385177e-08,1.515745422167883e-06,1.5695799087605174e-06
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.1,37,3.1960128716301156e-06,3.222142378477255e-06,7.797341674413507e-08,3.1699365758686896e-06,3.2200655791233408e-06
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,73,7.303304255175206e-06,6.4669925246131736e-06,2.335377704800144e-06,6.806833197592969e-06,7.884289047379938e-06
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.3,27,1.1832184913430323e-05,1.1782055472228344e-05,1.8724089721759424e-07,1.1769850460607147e-05,1.1902400511285307e-05
physionet_eegmmidb_real,knn__k3,mean,0.1,16,2.0750406901041665e-06,2.0891927083333334e-06,5.502098673787213e-08,2.0490726540305395e-06,2.1003245775627366e-06
physionet_eegmmidb_real,knn__k3,mean,0.2,33,4.077934816919192e-06,4.053854166666666e-06,9.113370524426792e-08,4.048601217250631e-06,4.108466481218434e-06
physionet_eegmmidb_real,knn__k3,mean,0.3,11,7.198365780971479e-06,7.161864276960784e-06,7.187487293826656e-08,7.158548490418895e-06,7.242035462622549e-06
physionet_eegmmidb_real,knn__k3,nearest,0.1,5,2.366796875e-06,2.363932291666667e-06,5.681523910762652e-08,2.3259446614583335e-06,2.4145748697916666e-06
physionet_eegmmidb_real,knn__k3,nearest,0.2,19,4.669558662280702e-06,4.67734375e-06,6.984972314152107e-08,4.640581996984648e-06,4.7006798245614035e-06
physionet_eegmmidb_real,knn__k3,nearest,0.3,5,8.174765625e-06,8.193619791666667e-06,7.587540238630054e-08,8.110833333333334e-06,8.230807291666666e-06
physionet_eegmmidb_real,knn__k3,puy,0.1,6,1.1624892203056983e-05,1.1626735275461949e-05,1.4447235408032972e-08,1.1614145218385856e-05,1.1635284086565336e-05
physionet_eegmmidb_real,knn__k3,puy,0.2,6,1.2016009291889401e-05,1.2023377254113653e-05,2.2148665494405215e-08,1.1997429427542217e-05,1.2030554509033085e-05
physionet_eegmmidb_real,knn__k3,puy,0.3,6,1.2713985824866737e-05,1.2713325021825007e-05,2.1142661560841198e-08,1.2699455783257087e-05,1.272908191981881e-05
physionet_eegmmidb_real,knn__k3,sobolev_temporal,0.1,8,8.967821870860175e-07,8.995333216004156e-07,2.1319486825113247e-08,8.824928625388228e-07,9.092976209925159e-07
physionet_eegmmidb_real,knn__k3,sobolev_temporal,0.2,8,1.8352372382387051e-06,1.8514431217067323e-06,4.9637032695041554e-08,1.8011101237679273e-06,1.8639125580269573e-06
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.1,8,2.773226994193614e-05,2.774837053535314e-05,5.0479987843992766e-08,2.7698483002405505e-05,2.7761658090420165e-05
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.2,38,2.5274130038162955e-05,2.880357435556064e-05,5.308205161137105e-06,2.355836772405822e-05,2.6847339240180735e-05
physionet_eegmmidb_real,knn__k3,tikhonov,0.2,14,5.544197150955958e-06,5.538909200297652e-06,3.185713574805435e-08,5.528525715547343e-06,5.560123754067342e-06
physionet_eegmmidb_real,knn__k3,trss,0.05,6,4.698510007545704e-07,4.758396148865867e-07,1.5074057648797242e-08,4.5923285985533637e-07,4.803401439833617e-07
physionet_eegmmidb_real,knn__k3,trss,0.1,40,9.50474464598397e-07,9.465690955465319e-07,2.9312440982335445e-08,9.418808373373091e-07,9.59338239167329e-07
physionet_eegmmidb_real,knn__k3,trss,0.2,101,2.793846208691762e-06,1.9701054999556253e-06,2.7989086698346646e-06,2.2892875482429765e-06,3.3580189280846685e-06
physionet_eegmmidb_real,knn__k3,trss,0.3,39,3.7712894704087107e-06,3.762646235400758e-06,4.8801571347484865e-08,3.7564971034007996e-06,3.786502360045877e-06
physionet_eegmmidb_real,knn__k3,trss,0.4,6,5.088313091503878e-06,5.1164395637318215e-06,8.963286548453267e-08,5.015018648408573e-06,5.147656322397798e-06
physionet_eegmmidb_real,knn__k3,tv,0.1,28,2.0214196977717707e-06,2.0331355005330663e-06,5.4594422910728344e-08,2.0007576689162615e-06,2.0416585885161666e-06
physionet_eegmmidb_real,knn__k3,tv,0.2,81,4.763435699411409e-06,3.996907518391855e-06,2.2485558812167383e-06,4.3203107736347715e-06,5.291190626043314e-06
physionet_eegmmidb_real,knn__k3,tv,0.3,23,7.065656513713243e-06,7.038726688491074e-06,7.774224301310814e-08,7.034472519719814e-06,7.098684619227346e-06
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.2,9,4.7110840716124455e-06,4.749381507308875e-06,8.563438732862533e-08,4.653567111177046e-06,4.7570807074061304e-06
physionet_eegmmidb_real,knn__k5,heat_diffusion_temporal,0.3,9,8.763084446347654e-06,8.674390716309401e-06,1.5660835769989554e-07,8.672257765840396e-06,8.861580802634225e-06
physionet_eegmmidb_real,knn__k5,trss,0.2,4,1.9719063072621417e-06,1.9784977907765746e-06,5.406395823492849e-08,1.927486865710465e-06,2.0135876572219515e-06
physionet_eegmmidb_real,knn__k5,trss,0.3,4,3.70998952807405e-06,3.7204680637530115e-06,5.3945410635147665e-08,3.6624253979872427e-06,3.7495409780522916e-06
physionet_eegmmidb_real,knn__k7,heat_diffusion_temporal,0.2,4,4.15757440749115e-06,4.17023010386904e-06,7.081910646188252e-08,4.0937777165665555e-06,4.2087154020378545e-06
physionet_eegmmidb_real,knn__k7,heat_diffusion_temporal,0.3,4,7.649670354898032e-06,7.631831677750921e-06,1.509494964187018e-07,7.525060123651631e-06,7.774280586144434e-06
physionet_eegmmidb_real,knn__k7,trss,0.2,4,2.11877114126534e-06,2.1162673777607513e-06,5.984958606132148e-08,2.0707223089156464e-06,2.1668199736150337e-06
physionet_eegmmidb_real,knn__k7,trss,0.3,4,3.990608076527345e-06,4.010137389887415e-06,6.814707546305188e-08,3.932978057062366e-06,4.041613279715056e-06
