scenario,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
frontal_band,5240,0.13946053033385508,0.18730609368245132,0.0482787587066522,0.23868415486436803,0.9455832605469613,2.8759628258637924
left_lateral_temporal,5240,0.13592506263004267,0.17821422061667194,0.0542949098090239,0.23199595960229782,0.8723788208280007,2.9632076314536224
midline_central,5152,0.13287885326708584,0.17625932060090593,0.02912608929311361,0.22502029270104096,0.9253832753448923,3.9174669211562563
occipital_band,5240,0.13664941974076272,0.18358518801061158,0.0474222389793026,0.23334461147638347,0.9686885535420681,4.338379299665448
right_lateral_temporal,5240,0.13315017023959605,0.17916544951956284,0.0418531653502353,0.22322550521370377,0.9548037286008816,3.7583292628486755
