method,count,mean,std
bgsrp,32,1.4568092865200776e-05,2.753816344437098e-06
directed_tv,32,1.5253893871950795e-05,1.8362986752554412e-08
graph_time_tikhonov,608,27.521625866153926,68.3469085862881
gsmooth,32,7.93626029086171e-06,7.9476256110428e-07
gsp,32,6.833916800779616e-06,1.4342292152948024e-06
heat_diffusion_temporal,32,1.4080247908455694e-05,3.8884035844731e-06
idw,32,6.462192028056823e-06,1.1097184701614417e-07
linear,32,9.231373000372024e-06,6.31780006630395e-08
mean,528,8.291710475354497,20.16200628208567
nearest,528,12.819537218129296,31.06904085286623
puy,32,1.637666574771199e-05,4.8069865976699805e-06
rbfi_mq,32,6.000225881908493e-06,4.96249352364318e-08
rbfi_tps,32,5.691620032471166e-06,5.2914723771374775e-08
sobolev,32,3.067406526850881e-05,9.373691176767644e-07
spherical_spline,32,7.895151165011218e-06,7.891183106521088e-08
spline_surface,32,6.143188754502473e-06,3.7703347192156404e-08
spline_temporal,32,1.1654829380302845e-05,2.7209503884245993e-06
temporal_laplacian,608,33.758746874938296,83.8333780571729
tikhonov,528,20.709489048006432,47.807684693026474
trss,608,6.032439841149674,16.202683427192657
tv,608,6.4059464789077625,17.509571953044556
wavelet_temporal,32,1.524101043027496e-05,2.0362684312340615e-07
