method,count,mean,std
bgsrp,160,0.49083292779040405,0.044721192815265536
directed_tv,160,0.15300761498655335,0.06524287557676364
graph_time_tikhonov,178,3.1880007101856522,21.544672899229912
gsmooth,160,0.14591459841625085,0.06756225579814838
gsp,160,0.15381914731227547,0.07027259378644607
heat_diffusion_temporal,160,0.20696144976847478,0.2742952851547884
idw,160,0.14764396034907917,0.06991153639809083
linear,160,0.17005099775938795,0.08094224130048712
mean,186,1.2508108951069272,6.747823453684333
nearest,178,1.278069554685399,8.47116148281089
puy,160,0.413038621469133,0.13183402004798006
rbfi_mq,160,0.2013261871174738,0.09930329734507189
rbfi_tps,160,0.18677267222468114,0.09166079065866899
sobolev,160,0.5467555231556387,0.07137700504843754
spherical_spline,160,0.19196122577024813,0.10566921298365817
spline_surface,160,0.25466702684376885,0.11536100920616138
temporal_laplacian,178,3.8178148060537676,26.00556034760334
tikhonov,186,2.936299428327728,16.324119183906472
trss,186,1.0518660318715556,5.519754041344798
tv,186,1.231201773104448,6.628387261778006
wavelet_temporal,160,0.16550178133906285,0.06373176259596429
