method,count,mean,std
bgsrp,340,0.17829296221933522,0.24348811156211037
directed_tv,504,0.07484907405430986,0.09773349126749475
graph_time_tikhonov,504,0.17528062201780548,0.21432939666637923
gsmooth,468,0.07763957703527011,0.09800281994562414
gsp,340,0.0637408661067709,0.09888061297423688
heat_diffusion_temporal,504,0.13455244539322772,0.34804311771907487
idw,504,0.07265673462707524,0.09755163979293915
linear,504,0.0840561956512081,0.1126967503536546
mean,504,0.07110152254227511,0.09535744329439132
nearest,504,0.09141072282096536,0.12278186257582828
puy,340,0.1464364184911141,0.21407404797982896
rbfi_mq,340,0.08068783655090107,0.12563371873448262
rbfi_tps,340,0.07644417242128114,0.11930137273426936
sobolev,340,0.19291609327611905,0.2646481328676007
spherical_spline,340,0.08462139046756839,0.13709982324449094
spline_surface,340,0.10194570279136561,0.1528822018150758
temporal_laplacian,504,0.1963172056513362,0.2329559742113188
tikhonov,468,0.12964325822147527,0.16635402845415106
trss,504,0.07510335335885258,0.10036431628793921
tv,504,0.0717177024229138,0.09597114461234511
wavelet_temporal,504,0.07883277598948464,0.10162958958320854
