dataset,method,family,graph,missing_ratio,mae,rmse,snr,block,source_file,dtw
synthetic_alpha,tikhonov,instant,knn__k5,0.1,0.1864676557354431,0.2839099632989358,12.118202208687842,synthetic_alpha__0.1_31,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,bgsrp,instant,knn__k5,0.1,0.5156428427286696,0.6057398705606892,1.6481531845687414,synthetic_alpha__0.1_32,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsmooth,instant,knn__k5,0.1,0.0674267524798742,0.2366953842825815,-0.0980669952903523,synthetic_alpha__0.1_33,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,puy,instant,knn__k5,0.1,0.4527206051792782,0.5287593769286291,2.8907585354198218,synthetic_alpha__0.1_34,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,sobolev,instant,knn__k5,0.1,0.5740137319571585,0.6466055383919869,0.8285428410534305,synthetic_alpha__0.1_35,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,graph_time_tikhonov,tv_time,knn__k5,0.1,0.3941616294506662,0.4597708106399363,4.164087606905793,synthetic_alpha__0.1_36,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,trss,tv_time,knn__k5,0.1,0.0714401810746247,0.2518038049247947,-0.6002747049099598,synthetic_alpha__0.1_37,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,tv,tv_time,knn__k5,0.1,0.0612990105774968,0.2169624420497063,0.6886354275340842,synthetic_alpha__0.1_38,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,temporal_laplacian,tv_time,knn__k5,0.1,0.4388175608066418,0.4993929009914183,3.256114688622454,synthetic_alpha__0.1_39,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,heat_diffusion_temporal,tv_time,knn__k5,0.1,0.0695237380685049,0.2417809030577253,-0.3288368365853115,synthetic_alpha__0.1_40,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,wavelet_temporal,tv_time,knn__k5,0.1,0.0839923691441463,0.2392312936802678,19.515663205764486,synthetic_alpha__0.1_42,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,directed_tv,tv_time,knn__k5,0.1,0.0845250845855988,0.2938433580088613,-2.05965578096459,synthetic_alpha__0.1_43,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,linear,instant,knng__k4_sigma1,0.1,0.0634270409346891,0.244209901265437,-0.0777226940065491,synthetic_alpha__0.1_44,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,nearest,instant,knng__k4_sigma1,0.1,0.0642770299551405,0.2523142036825606,-0.2761905701468088,synthetic_alpha__0.1_45,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,mean,instant,knng__k4_sigma1,0.1,0.0589478976695532,0.2085273501920232,0.9476396031020364,synthetic_alpha__0.1_46,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,idw,instant,knng__k4_sigma1,0.1,0.0625841043918718,0.2198587343426586,0.5658803059686505,synthetic_alpha__0.1_47,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,spherical_spline,instant,knng__k4_sigma1,0.1,0.1109596651986618,0.4071882526204173,-4.5856010357981205,synthetic_alpha__0.1_48,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,rbfi_tps,instant,knng__k4_sigma1,0.1,0.088427217921455,0.3314997645390123,-2.570316269427729,synthetic_alpha__0.1_49,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,rbfi_mq,instant,knng__k4_sigma1,0.1,0.0895496117788872,0.3334451921211877,-2.776695396371658,synthetic_alpha__0.1_50,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,spline_surface,instant,knng__k4_sigma1,0.1,0.363683314967057,1.7420712241529503,-12.999275934669356,synthetic_alpha__0.1_51,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsp,instant,knng__k4_sigma1,0.1,0.0797716318464445,0.2814695558007606,-1.5326914947765686,synthetic_alpha__0.1_52,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,tikhonov,instant,knng__k4_sigma1,0.1,0.1551593553950269,0.2909263989399637,15.139873227447978,synthetic_alpha__0.1_53,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,bgsrp,instant,knng__k4_sigma1,0.1,0.5103702139830847,0.613816065280515,1.6867489969485543,synthetic_alpha__0.1_54,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsmooth,instant,knng__k4_sigma1,0.1,0.0647209010402325,0.2267487659660203,0.254157932932377,synthetic_alpha__0.1_55,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,puy,instant,knng__k4_sigma1,0.1,0.3567271674551002,0.4496704416586669,5.193770906304643,synthetic_alpha__0.1_56,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,sobolev,instant,knng__k4_sigma1,0.1,0.5428569260800503,0.6137651862962386,1.3136490474454583,synthetic_alpha__0.1_57,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,graph_time_tikhonov,tv_time,knng__k4_sigma1,0.1,0.3353249827103856,0.4102792635839892,5.747071643408406,synthetic_alpha__0.1_58,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,trss,tv_time,knng__k4_sigma1,0.1,0.0785730236862633,0.276375321937948,-1.395554818364437,synthetic_alpha__0.1_59,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,tv,tv_time,knng__k4_sigma1,0.1,0.0639027562747872,0.2246900804213032,0.3677609256405514,synthetic_alpha__0.1_60,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,temporal_laplacian,tv_time,knng__k4_sigma1,0.1,0.3902590675629623,0.4493105870714229,4.318935200402987,synthetic_alpha__0.1_61,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,heat_diffusion_temporal,tv_time,knng__k4_sigma1,0.1,0.0718301642349168,0.2486925366847137,-0.5821988841672017,synthetic_alpha__0.1_62,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,wavelet_temporal,tv_time,knng__k4_sigma1,0.1,0.0820647166344311,0.2381514004427558,20.64791772572432,synthetic_alpha__0.1_64,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,directed_tv,tv_time,knng__k4_sigma1,0.1,0.0977204949868074,0.3417465514605494,-3.3743342660139106,synthetic_alpha__0.1_65,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,linear,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0634270409346891,0.244209901265437,-0.0777226940065491,synthetic_alpha__0.1_66,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,nearest,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0642770299551405,0.2523142036825606,-0.2761905701468088,synthetic_alpha__0.1_67,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,mean,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0589478976695532,0.2085273501920232,0.9476396031020364,synthetic_alpha__0.1_68,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,idw,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0625841043918718,0.2198587343426586,0.5658803059686505,synthetic_alpha__0.1_69,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,spherical_spline,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.1109596651986618,0.4071882526204173,-4.5856010357981205,synthetic_alpha__0.1_70,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,rbfi_tps,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.088427217921455,0.3314997645390123,-2.570316269427729,synthetic_alpha__0.1_71,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,rbfi_mq,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0895496117788872,0.3334451921211877,-2.776695396371658,synthetic_alpha__0.1_72,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,spline_surface,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.363683314967057,1.7420712241529503,-12.999275934669356,synthetic_alpha__0.1_73,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsp,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0808602093330226,0.2844512423464085,-1.6656426409398983,synthetic_alpha__0.1_74,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,tikhonov,instant,vknng__alpha1_k4_k_max8_k_min2,0.1,0.1799184003683628,0.3021700639978964,13.002718567475537,synthetic_alpha__0.1_75,it56_3syn_mr10_only_raw.csv,
