method,count,mean,std
bgsrp,323,0.10553826351087266,0.2058403087627705
directed_tv,323,0.030889753571510945,0.06658950496323794
graph_time_tikhonov,323,0.08542007633168824,0.17255359467230533
gsmooth,323,0.02832957546087055,0.06260406895110385
gsp,323,0.03080983514134117,0.06768675585975786
heat_diffusion_temporal,323,0.054272709350980865,0.20599915593058865
idw,323,0.028457206320765472,0.06322829060198015
linear,323,0.033384166464613375,0.07407946127207207
mean,323,0.027791250022694173,0.06174172586836528
nearest,323,0.035852860246105005,0.07981753291656957
puy,323,0.08804680062917197,0.18055513709438506
rbfi_mq,323,0.03908422469994943,0.08746128089685806
rbfi_tps,323,0.03678783352079704,0.0817817760584684
sobolev,323,0.11656702505890659,0.2278422490031789
spherical_spline,323,0.040152068939144456,0.08985738823195155
spline_surface,323,0.05968763277404359,0.12655808594985107
temporal_laplacian,323,0.0956521912632859,0.1890272828573705
tikhonov,323,0.05531049314473475,0.12442162621356247
trss,323,0.030079722557205313,0.0660507104829961
tv,323,0.028177794088720187,0.062357575615885535
wavelet_temporal,323,0.03265142098041578,0.0694074919862115
