method,count,mean,std
bgsrp,151,0.3164936387279839,0.24396585701721357
directed_tv,151,0.11401454809639638,0.10677172599468275
graph_time_tikhonov,151,0.2631163943815056,0.2174119638369673
gsmooth,151,0.11133919133241245,0.10618578767497538
gsp,96,0.18594119313012716,0.0875210305860077
heat_diffusion_temporal,151,0.21932226675630936,0.4532227029202621
idw,151,0.11264315728442673,0.10803604853543261
linear,151,0.12751757042110873,0.1234066333122982
mean,151,0.11037807852357352,0.10535744055125068
nearest,151,0.1378922891515203,0.13307593551110272
puy,151,0.26584853945416004,0.2274911578621469
rbfi_mq,151,0.15590316952613598,0.15294355555795053
rbfi_tps,151,0.14214406610644212,0.1395742740637808
sobolev,151,0.34656134258419985,0.26882616756945993
spherical_spline,151,0.13455480446960313,0.14383816890120638
spline_surface,151,0.18172211920028492,0.16772793123637475
temporal_laplacian,151,0.291589899058497,0.23101392539791635
tikhonov,151,0.18371557391045382,0.17794569408101443
trss,151,0.11494678765270884,0.10986829273407639
tv,151,0.11090469664370252,0.10572031324460796
wavelet_temporal,151,0.12231490281527585,0.1109633213065651
