method,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
bgsrp,5146,0.30083649440761656,0.2599250027348665,0.4633219988920629,0.37543011067873466,1.8336373449159395,3.9830785493019163
directed_tv,2560,0.12060995383095234,0.17043577359727477,0.1181534984305608,0.26434002000055207,0.32791952527919055,0.41010880658916893
graph_time_tikhonov,8390,5.223320828344108,30.65481654130657,0.2207713678310353,6.928027248095275,50.3337183387711,-inf
gsmooth,5274,0.09259058115502374,0.09648843752920808,0.0652929243435412,0.20649702984929869,0.4931760950134109,1.7907062137082899
gsp,3173,0.11583293477015401,0.10817258236108003,0.088259445073733,0.26087056898491884,0.4078867249514741,0.7573556042915764
heat_diffusion_temporal,2550,0.22548579307480227,0.4444797100297236,0.1197785135886225,0.4562204188334995,0.00017012210329419688,-0.3878927930668981
idw,5406,0.09545196817289028,0.0991223097162261,0.0660994520829936,0.21547610097972264,0.4440740717002186,1.905182640427943
linear,3512,0.120845823006665,0.11800635226800493,0.0942564113430665,0.2784169461119614,0.356547553441899,0.5242260578178138
mean,4691,2.395236220537958,11.109602680103492,0.0658619827367564,7.008810227205148,81.7780915807754,-inf
nearest,4462,3.4542397363572,16.52377336768253,0.0859116155366704,9.258009195299495,128.61886108101137,-inf
puy,2386,0.2821058390219842,0.2253037173056903,0.3567271674551002,0.36852698103656545,0.0001424495293155391,6.488602578271211
rbfi_mq,3306,0.1607660111084691,0.1705946737790419,0.1076814030559054,0.37486941385266276,1.0775812713495723,-1.4066820660396233
rbfi_tps,3306,0.14401542249789828,0.14919248365159427,0.0950698397827097,0.332758128868653,0.6944324896592037,-0.31725564769377795
sobolev,2386,0.36782188680392786,0.26434507706307225,0.5353753461834097,0.4172689307967674,0.0002933706327602,2.46426275491062
spherical_spline,3306,0.13465792977927354,0.14202871587133703,0.1021720677531056,0.3103954107712608,0.5044101416927207,-0.4888600815809391
spline_surface,2386,0.19214229930478935,0.16187494905722272,0.2116542553159593,0.5178736132377505,9.226063131918954e-05,-3.3964953528093074
spline_temporal,32,1.1654829380302845e-05,2.7209503884245993e-06,1.1134885641167803e-05,1.5531978324197574e-05,0.00011882609645538497,10.592513930335837
temporal_laplacian,4743,11.279959441454485,49.97276811055363,0.3682610083188228,14.661496863603986,206.12408425599483,-inf
tikhonov,7511,3.8202509263942193,21.39470553673435,0.1578714303141752,5.796712037569008,45.824582543124976,-inf
trss,8596,1.212366293844958,7.19219807393979,0.0613347896024915,3.439332143845638,27.77973497279111,-inf
tv,7605,1.5128549313899038,8.518741762887402,0.0562768492494662,4.75766037464143,38.007688642477156,-inf
wavelet_temporal,2550,0.12231655323920902,0.10331373770962676,0.123798954736391,0.24097161799527167,0.00016122318470856252,17.589150729098833
