dataset,graph,missing_ratio,best_method,best_mean,best_n,second_method,second_mean,second_n
bci_iv2a_real_s1,knn__k5,0.2,trss,1.6815193619074477e-06,4,heat_diffusion_temporal,3.226289612273222e-06,9
bci_iv2a_real_s1,knn__k5,0.3,trss,3.232788446094818e-06,4,heat_diffusion_temporal,5.543688082583493e-06,9
bci_iv2a_real_s1,knn__k7,0.2,trss,1.60534233144106e-06,4,heat_diffusion_temporal,2.961884649673204e-06,4
bci_iv2a_real_s1,knn__k7,0.3,trss,3.1231833023980337e-06,4,heat_diffusion_temporal,5.172418679512311e-06,4
bci_iv2a_real_s2,gaussian__sigma0.6,0.2,trss,5.082443775665524e-07,4,heat_diffusion_temporal,7.707347681609609e-07,9
bci_iv2a_real_s2,gaussian__sigma0.6,0.3,trss,9.477351243685203e-07,4,heat_diffusion_temporal,1.3648171768395508e-06,9
bci_iv2a_real_s2,gaussian__sigma1.0,0.1,trss,2.470928226718505e-07,10,nearest,3.2824198404947914e-07,4
bci_iv2a_real_s2,gaussian__sigma1.0,0.2,trss,5.080860460817225e-07,16,nearest,6.64965311686198e-07,4
bci_iv2a_real_s2,gaussian__sigma1.0,0.3,trss,9.458968210971603e-07,14,nearest,1.1933231353759766e-06,4
bci_iv2a_real_s2,gaussian__sigma1.0,0.4,trss,1.2623297914016727e-06,2,tv,1.590122222057882e-06,2
bci_iv2a_real_s2,kalofolias,0.1,trss,2.4736014428202317e-07,6,tv,3.47457172014891e-07,6
bci_iv2a_real_s2,kalofolias,0.2,trss,5.042424286406553e-07,6,tv,6.860613278286948e-07,6
bci_iv2a_real_s2,kalofolias,0.3,trss,9.434457280233044e-07,6,tv,1.222506626705343e-06,6
bci_iv2a_real_s2,knn__k3,0.05,trss,1.4598935177926846e-07,6,heat_diffusion_temporal,3.79905350236785e-07,6
bci_iv2a_real_s2,knn__k3,0.1,sobolev_temporal,2.667546028479057e-07,8,trss,2.921857494533082e-07,41
bci_iv2a_real_s2,knn__k3,0.2,sobolev_temporal,5.447801041081519e-07,8,trss,5.909713883148747e-07,58
bci_iv2a_real_s2,knn__k3,0.3,trss,1.0632783341614754e-06,50,nearest,1.1947113672892253e-06,20
bci_iv2a_real_s2,knn__k3,0.4,trss,1.4032757252833017e-06,8,tv,1.590112956155853e-06,2
bci_iv2a_real_s2,knn__k5,0.2,trss,5.684869028862577e-07,4,heat_diffusion_temporal,1.1174691269492115e-06,9
bci_iv2a_real_s2,knn__k5,0.3,trss,1.0226752405540779e-06,4,heat_diffusion_temporal,1.9045388285293776e-06,9
bci_iv2a_real_s2,knn__k7,0.2,trss,5.573098810104693e-07,4,heat_diffusion_temporal,9.866728074906215e-07,4
bci_iv2a_real_s2,knn__k7,0.3,trss,1.010061744146901e-06,4,heat_diffusion_temporal,1.6833967640705246e-06,4
bci_iv2a_real_s3,gaussian__sigma0.6,0.2,trss,4.2664196106857714e-07,4,heat_diffusion_temporal,6.385206958160772e-07,9
bci_iv2a_real_s3,gaussian__sigma0.6,0.3,trss,8.072129975133998e-07,4,heat_diffusion_temporal,1.133225719896924e-06,9
bci_iv2a_real_s3,gaussian__sigma1.0,0.1,trss,2.1325629437398725e-07,6,tv,2.962327243614711e-07,6
bci_iv2a_real_s3,gaussian__sigma1.0,0.2,trss,4.2743095137330925e-07,10,tv,5.782746207939624e-07,6
bci_iv2a_real_s3,gaussian__sigma1.0,0.3,trss,8.049280384949995e-07,10,tv,1.0314569908378988e-06,6
bci_iv2a_real_s3,gaussian__sigma1.0,0.4,directed_tv,2.4779089278085005e-06,6,,,0
bci_iv2a_real_s3,kalofolias,0.1,trss,2.1325629262703886e-07,6,tv,2.962327241910596e-07,6
bci_iv2a_real_s3,kalofolias,0.2,trss,4.279569413885265e-07,6,tv,5.782746205214192e-07,6
bci_iv2a_real_s3,kalofolias,0.3,trss,8.034047266562317e-07,6,tv,1.0314569905337341e-06,6
bci_iv2a_real_s3,knn__k3,0.05,trss,1.3030788288723665e-07,6,directed_tv,2.645105494905346e-07,6
bci_iv2a_real_s3,knn__k3,0.1,sobolev_temporal,2.44826473581285e-07,8,nearest,2.533999356356534e-07,11
bci_iv2a_real_s3,knn__k3,0.2,sobolev_temporal,4.871375976652502e-07,8,nearest,5.107839902242024e-07,16
bci_iv2a_real_s3,knn__k3,0.3,nearest,9.141516685485838e-07,16,trss,9.467136612676132e-07,46
bci_iv2a_real_s3,knn__k3,0.4,trss,1.2330408646058286e-06,6,directed_tv,2.478722279648066e-06,6
bci_iv2a_real_s3,knn__k5,0.2,trss,5.004086818703511e-07,4,heat_diffusion_temporal,9.064157980468491e-07,9
bci_iv2a_real_s3,knn__k5,0.3,trss,9.126712670636594e-07,4,heat_diffusion_temporal,1.5233075923850448e-06,9
bci_iv2a_real_s3,knn__k7,0.2,trss,4.711823177614179e-07,4,heat_diffusion_temporal,7.949163110104183e-07,4
bci_iv2a_real_s3,knn__k7,0.3,trss,8.692175376423127e-07,4,heat_diffusion_temporal,1.3605136733882527e-06,4
iris_graph_signal,gaussian__sigma1.0,0.1,trss,0.10228271792589134,10,tv,0.12256515486136635,10
iris_graph_signal,gaussian__sigma1.0,0.2,trss,0.10216568488638864,17,tv,0.1231158041730728,17
iris_graph_signal,gaussian__sigma1.0,0.3,trss,0.10200751573039683,15,tv,0.12277934741171796,15
iris_graph_signal,gaussian__sigma1.0,0.4,trss,0.22840231584561985,2,tv,0.2668380612503577,2
iris_graph_signal,knn__k3,0.1,trss,0.10551074677628836,28,tv,0.12608685999021255,28
iris_graph_signal,knn__k3,0.2,trss,0.10765421328284128,114,tv,0.1347834542076349,114
iris_graph_signal,knn__k3,0.3,trss,0.10573369551138996,21,tv,0.12655329663788195,21
