method,mae_mean,mae_std,mae_median,time_mean_sec
trss,0.08818920601449853,0.00836495081237631,0.08451223564418575,0.0033240499991128067
tv,0.10977644000783095,0.013554928550673662,0.1067219576424375,0.06906061666692646
mean,0.1278118565970301,0.010956775274939256,0.12532327538170407,0.0012263000013869412
tikhonov,0.13427534836953187,0.01057771878947302,0.13270775077795047,0.003068883333374591
nearest,0.1601899835030185,0.009041830079961202,0.15581780812977186,0.0011834000009306085
graph_time_tikhonov,0.22193535257955377,0.008928499074764396,0.22005849496559435,0.0033386500011450457
temporal_laplacian,0.46974619341629437,0.004472454309626199,0.46895376959040613,0.07481836666678039
