method,mae_mean,mae_std,mae_median,time_mean_sec
trss,0.1262663070885701,0.0040522612898834295,0.1262663070885701,0.02011404999939259
mean,0.15664829000556313,0.001359302529684262,0.15664829000556313,0.005239149999397341
tv,0.15669688318506775,0.0014681242382643702,0.15669688318506775,0.25239979999969364
nearest,0.21082840235591843,0.0039947247807671235,0.21082840235591843,0.015403049997985363
tikhonov,0.37072017353586095,0.0020936246418460885,0.37072017353586095,0.022330050000164192
graph_time_tikhonov,0.6015539367417544,0.0003184949916887005,0.6015539367417544,0.012011400001938455
temporal_laplacian,0.6796616809316509,0.0008952756146923342,0.6796616809316509,5.406348000000435
