method,mae_mean,mae_std,mae_median,time_mean_sec
trss,0.08291978341710282,2.7934915565367286e-05,0.08291978341710282,0.02033434999975725
mean,0.10997741828008932,0.0004165515073205766,0.10997741828008932,0.0021540500019909814
tv,0.11026124362795102,0.00044119621994625596,0.11026124362795102,0.24329199999920093
nearest,0.15103764561282834,0.001619405723740413,0.15103764561282834,0.005128949997015297
tikhonov,0.2970343538095701,0.0003539497521935834,0.2970343538095701,0.006718699998600641
graph_time_tikhonov,0.4846791703174817,0.0007269353240699847,0.4846791703174817,0.01130505000037374
temporal_laplacian,0.711848985770767,1.412262074635194e-05,0.711848985770767,1.8687544999993406
