tag,gain_pct,tv_median,instant_median,p_value,decision
it150_139,-12.517365023347104,0.16615360221087686,0.1476692972470519,0.5251415251415251,NO-GO
it150_043,-17.463966629122606,0.1674366232190426,0.1425429670255409,0.6437640208971187,NO-GO
it150_091,-20.811849764718325,0.17010766076133854,0.1408037879501258,0.5953991696996707,NO-GO
it150_127,-41.47004443522423,0.22515005596263582,0.15915033946690155,0.5740925740925741,NO-GO
it150_031,-43.77211844840214,0.2240225636680395,0.1558178081297718,0.614967137635952,NO-GO
it150_067,-43.77211844840214,0.2240225636680395,0.1558178081297718,0.614967137635952,NO-GO
it150_150,-44.26657923594555,0.03717536210227125,0.02576851984649305,0.5251415251415251,NO-GO
it150_098,-59.531496659341364,0.1413925006941523,0.0886298340170891,0.5656093873179944,NO-GO
it150_102,-65.76361572263875,0.04279444746511135,0.0258165504405481,0.6246457755345708,NO-GO
it150_142,-72.85479802959225,0.2912234887977757,0.16847868391129014,0.7136197136197137,NO-GO
it150_144,-72.85479802959225,0.2912234887977757,0.16847868391129014,0.7136197136197137,NO-GO
it150_141,-72.85479802959225,0.2912234887977757,0.16847868391129014,0.7136197136197137,NO-GO
it150_138,-73.07485740456411,0.04459882897958465,0.02576851984649305,0.5251415251415251,NO-GO
it150_105,-74.70261279030234,0.2943366627877386,0.16847868391129014,0.7136197136197137,NO-GO
it150_108,-74.70261279030234,0.2943366627877386,0.16847868391129014,0.7136197136197137,NO-GO
it150_106,-74.70261279030234,0.2943366627877386,0.16847868391129014,0.7136197136197137,NO-GO
it150_114,-76.69864358422751,0.0456174944486864,0.0258165504405481,0.505069707491635,NO-GO
it150_007,-77.40021849910148,0.2764211320827259,0.1558178081297718,0.6988294257635226,NO-GO
it150_103,-77.40021849910148,0.2764211320827259,0.1558178081297718,0.6988294257635226,NO-GO
it150_107,-77.96175152849922,0.2687892395999968,0.15103764561282834,0.7136197136197137,NO-GO
it150_079,-78.74538786840172,0.2785171455096026,0.1558178081297718,0.6531927356707931,NO-GO
it150_019,-78.74538786840172,0.2785171455096026,0.1558178081297718,0.6531927356707931,NO-GO
it150_115,-78.74538786840172,0.2785171455096026,0.1558178081297718,0.6531927356707931,NO-GO
it150_097,-80.01932426577952,0.3795318652814631,0.2108284023559184,0.6227106227106227,NO-GO
it150_117,-85.78641352473684,0.3130105043924638,0.16847868391129014,0.668997668997669,NO-GO
it150_120,-85.78641352473684,0.3130105043924638,0.16847868391129014,0.668997668997669,NO-GO
it150_118,-85.78641352473684,0.3130105043924638,0.16847868391129014,0.668997668997669,NO-GO
it150_126,-88.06883993869455,0.04846255634467175,0.02576851984649305,0.5251415251415251,NO-GO
it150_110,-92.42502766697181,0.1705459826285749,0.0886298340170891,0.6437640208971187,NO-GO
it150_130,-94.16580407651354,0.32712799131388415,0.16847868391129014,0.5740925740925741,NO-GO
it150_132,-94.16580407651354,0.32712799131388415,0.16847868391129014,0.5740925740925741,NO-GO
it150_129,-94.16580407651354,0.32712799131388415,0.16847868391129014,0.5740925740925741,NO-GO
it150_109,-96.83024758626854,0.4149740663393286,0.2108284023559184,0.668997668997669,NO-GO
it150_143,-96.88414880744892,0.2973691829436283,0.15103764561282834,0.668997668997669,NO-GO
it150_119,-97.51266172436175,0.29831847405570594,0.15103764561282834,0.7136197136197137,NO-GO
it150_095,-97.71175496506673,0.14769218247881286,0.0747007594489808,0.5251415251415251,NO-GO
it150_145,-111.50921093041903,0.445921490240212,0.2108284023559184,0.5740925740925741,NO-GO
it150_055,-114.5661034100508,0.33433219932300073,0.1558178081297718,0.36575342207111755,NO-GO
it150_131,-115.55510741241206,0.3255693592339104,0.15103764561282834,0.5740925740925741,NO-GO
it150_104,-122.57044010588405,0.10251173229491109,0.04605810737766565,0.9942795332207878,NO-GO
it150_116,-126.58988826540076,0.1043630140442109,0.04605810737766565,0.99385173214287,NO-GO
it150_092,-133.71694145840286,0.05538787485110645,0.02369869916381925,0.9918438574477183,NO-GO
it150_140,-133.81213480353057,0.10202076284966846,0.043633647558710006,0.9094239094239094,NO-GO
it150_133,-136.37221102563933,0.4983397561187154,0.2108284023559184,0.5740925740925741,NO-GO
it150_121,-136.5508278323381,0.49871633107861757,0.2108284023559184,0.5740925740925741,NO-GO
it150_094,-141.67774214338567,0.1372127043038391,0.0567750687700615,0.5251415251415251,NO-GO
it150_093,-141.67774214338567,0.1372127043038391,0.0567750687700615,0.5251415251415251,NO-GO
