dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
iv100hz_mat,aew,mean,0.1,0,0.008118475009040818,0.04208703950498544,13.487728325859882,0.20909650503123786,{},,2,0.0024513999960618094
iv100hz_mat,aew,nearest,0.1,0,0.01294679791705697,0.054427699460820864,9.288840930491547,0.33410445125252225,{},,2,0.0034683999983826652
iv100hz_mat,aew,tikhonov,0.1,0,0.03018256818601596,0.051640079050748085,14.160975163133344,0.2685762197749677,"{""alpha"": 0.1}",,2,0.007281299993337598
iv100hz_mat,aew,tv,0.1,0,0.005773836722426203,0.03490461268794066,17.063345588762328,0.15469839181943376,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.1911413000052562
iv100hz_mat,aew,trss,0.1,0,0.005655139484486843,0.027944721200399057,16.663256282564735,0.1424072717945251,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01962919999641599
iv100hz_mat,aew,graph_time_tikhonov,0.1,0,0.06103481990105255,0.0859908491864948,13.970861936860906,0.39574731457053264,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.01021480000053998
iv100hz_mat,aew,temporal_laplacian,0.1,0,0.0756018469279099,0.10940436452100138,7.737346212691946,0.5725414888012,"{""alpha"": 0.5, ""beta"": 0.5}",,2,1.6990351999993436
iv100hz_mat,aew,mean,0.1,1,0.008327408519308636,0.042104023810825356,13.65542531119184,0.19140307470443096,{},,2,0.002423999998427462
iv100hz_mat,aew,nearest,0.1,1,0.013348068939882666,0.05589008889865255,9.368187826324139,0.30819013254677746,{},,2,0.003388400000403635
iv100hz_mat,aew,tikhonov,0.1,1,0.03058085629662844,0.052906468059836016,14.214309762714388,0.26212434968253207,"{""alpha"": 0.1}",,2,0.006882099994982127
iv100hz_mat,aew,tv,0.1,1,0.0061379310813554485,0.035941676436538166,16.581703033527777,0.14159474407042905,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.18095050000556512
iv100hz_mat,aew,trss,0.1,1,0.006066566254613504,0.02932620034070927,16.89645670934271,0.145097506838073,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.0182862000001478
iv100hz_mat,aew,graph_time_tikhonov,0.1,1,0.06116790096970627,0.0863753607561073,13.994939764554749,0.3952722979136318,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.010057999999844469
iv100hz_mat,aew,temporal_laplacian,0.1,1,0.07558266614808873,0.10949003495544654,7.826412107095781,0.5661228664120777,"{""alpha"": 0.5, ""beta"": 0.5}",,2,1.830022000001918
iv100hz_mat,aew,mean,0.1,2,0.008104909326714331,0.04200013382115615,13.808047847672697,0.20020468247595466,{},,2,0.0024468999981763773
iv100hz_mat,aew,nearest,0.1,2,0.013446873879533427,0.05659956549707009,9.474690910479499,0.33382929434792086,{},,2,0.003126100004010368
iv100hz_mat,aew,tikhonov,0.1,2,0.03037568718514857,0.05282845698133707,14.359167071848361,0.272864574487153,"{""alpha"": 0.1}",,2,0.008078800005023368
iv100hz_mat,aew,tv,0.1,2,0.005970251982788737,0.03710744764749776,17.05393732102086,0.15157168288854417,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.1836750000002212
iv100hz_mat,aew,trss,0.1,2,0.005890134301449301,0.029166400817174018,16.824536565475263,0.15338328847093155,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.018304199998965487
iv100hz_mat,aew,graph_time_tikhonov,0.1,2,0.06102242435988041,0.08627943185159312,14.154239292090145,0.3948666923928646,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.008595999999670312
iv100hz_mat,aew,temporal_laplacian,0.1,2,0.07571992538794588,0.10969761507440741,7.7668282792856,0.5700737867379851,"{""alpha"": 0.5, ""beta"": 0.5}",,2,1.7011427999968873
iv100hz_mat,aew,mean,0.1,3,0.008366590978900378,0.04399159158267374,13.858371158440008,0.20829373493944206,{},,2,0.0023415000032400712
iv100hz_mat,aew,nearest,0.1,3,0.013225178855465406,0.0555915103837013,9.431457992255147,0.33413600630942425,{},,2,0.003427999996347353
iv100hz_mat,aew,tikhonov,0.1,3,0.030540191681656004,0.05367253433247435,14.11672047984527,0.2747963063170717,"{""alpha"": 0.1}",,2,0.006323800000245683
iv100hz_mat,aew,tv,0.1,3,0.00599138552199213,0.03553558586687409,16.66821780237846,0.16198053269749638,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.18403949999628821
iv100hz_mat,aew,trss,0.1,3,0.005971988725949234,0.029266683616069326,16.652723126464327,0.15573199721403422,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.019973599999502767
iv100hz_mat,aew,graph_time_tikhonov,0.1,3,0.061160931676244604,0.08670737441913681,14.030775841112487,0.4029005129995528,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.008719800003746059
iv100hz_mat,aew,temporal_laplacian,0.1,3,0.07581699056050176,0.11005052714480078,7.745819758015396,0.5726385908414681,"{""alpha"": 0.5, ""beta"": 0.5}",,2,1.8810748999967473
iv100hz_mat,aew,mean,0.1,4,0.008282688434377052,0.04364085971194436,13.718387127408983,0.23223904279972776,{},,2,0.0020769000038853846
iv100hz_mat,aew,nearest,0.1,4,0.013050747575378068,0.05541095627945144,9.446958039441691,0.35021169531684077,{},,2,0.003920499999367166
iv100hz_mat,aew,tikhonov,0.1,4,0.030288495426001285,0.05296814284384985,14.478432119857601,0.2880250028016002,"{""alpha"": 0.1}",,2,0.007295700001122896
iv100hz_mat,aew,tv,0.1,4,0.006471117846340276,0.03991098212143448,16.395100219733106,0.1932481655171279,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.18372159999853466
iv100hz_mat,aew,trss,0.1,4,0.005785603334763927,0.029052838788890627,16.980792250569095,0.16890048611157718,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01880370000435505
iv100hz_mat,aew,graph_time_tikhonov,0.1,4,0.06106847926755602,0.08658991877399208,14.145300109390641,0.4023328298662159,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.01090640000620624
iv100hz_mat,aew,temporal_laplacian,0.1,4,0.07578865823860322,0.1101549383309956,7.766770247976511,0.5744947459786306,"{""alpha"": 0.5, ""beta"": 0.5}",,2,2.834511200002453
iv100hz_mat,aew,mean,0.1,5,0.00927640087646422,0.049803679471419914,13.590929293820487,0.2083173809814014,{},,2,0.0029759000026388094
iv100hz_mat,aew,nearest,0.1,5,0.013791040369149476,0.059513414608442436,9.564140001801045,0.33779313197783645,{},,2,0.003686000003654044
iv100hz_mat,aew,tikhonov,0.1,5,0.031159079576515203,0.05839472312402273,14.219358408994268,0.2682896833074737,"{""alpha"": 0.1}",,2,0.00825289999920642
iv100hz_mat,aew,tv,0.1,5,0.00713636208820373,0.04328458271075048,16.3083743700661,0.16929757194856554,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.19938859999820124
iv100hz_mat,aew,trss,0.1,5,0.006619225573418763,0.03446267246626875,16.7153150651709,0.14817025218672245,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01828360000217799
iv100hz_mat,aew,graph_time_tikhonov,0.1,5,0.06149708515346168,0.08900225553156288,13.954102520950912,0.40274727221258844,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.010024100003647618
iv100hz_mat,aew,temporal_laplacian,0.1,5,0.07617550038013035,0.11152920128994322,7.665873180922983,0.5750635175630213,"{""alpha"": 0.5, ""beta"": 0.5}",,2,2.6670152000006055
