tag,gain_pct,tv_median,instant_median,p_value,decision
pilot_0013,33.00475927253483,0.013585381198625748,0.0202781287911043,0.02857142857142857,GO
pilot_0014,32.00515154256382,0.02828136386794635,0.04159339201358775,0.014285714285714285,GO
pilot_0016,32.00515154256382,0.02828136386794635,0.04159339201358775,0.014285714285714285,GO
pilot_0017,31.484854076797163,0.0568505255345709,0.0829751214400002,0.014285714285714285,GO
pilot_0015,31.344592653763197,0.04350568085758595,0.06336817818031724,0.014285714285714285,GO
pilot_0018,29.766398392524803,0.10307957095314035,0.14676674496807984,0.02857142857142857,GO
pilot_0019,20.808330997786868,0.0160585886320938,0.0202781287911043,0.02857142857142857,GO
pilot_0021,18.918637618297275,0.0513797821850661,0.06336817818031724,0.02857142857142857,GO
pilot_0020,18.871914773182187,0.0337439225215079,0.04159339201358775,0.02857142857142857,GO
pilot_0022,18.871914773182187,0.0337439225215079,0.04159339201358775,0.02857142857142857,GO
pilot_0023,18.517540424080895,0.06761016978541795,0.0829751214400002,0.02857142857142857,GO
pilot_0024,17.122307019074864,0.1216368922927426,0.14676674496807984,0.02857142857142857,GO
pilot_0031,14.65912707139414,0.013821129210673348,0.016195204872389547,0.24285714285714285,NO-GO
pilot_0033,14.314017628942446,0.0435386708775254,0.05081189439946435,0.24285714285714285,NO-GO
pilot_0027,12.931597340500488,0.0442411048146453,0.05081189439946435,0.24285714285714285,NO-GO
pilot_0025,12.67234745299111,0.014142892240236599,0.016195204872389547,0.24285714285714285,NO-GO
pilot_0035,11.341826583990064,0.0583388374242632,0.0658019843816547,0.24285714285714285,NO-GO
pilot_0029,11.177722509083619,0.058446821162002796,0.0658019843816547,0.24285714285714285,NO-GO
pilot_0034,10.768755924952025,0.0290318031252514,0.0325354682949777,0.24285714285714285,NO-GO
pilot_0032,10.768755924952025,0.0290318031252514,0.0325354682949777,0.24285714285714285,NO-GO
pilot_0030,9.145596863604693,0.1089589112750748,0.11992694631596454,0.24285714285714285,NO-GO
pilot_0036,8.79195919074314,0.1093830181371605,0.11992694631596454,0.24285714285714285,NO-GO
pilot_0028,8.585168249482123,0.02974224360109695,0.0325354682949777,0.24285714285714285,NO-GO
pilot_0026,8.585168249482123,0.02974224360109695,0.0325354682949777,0.24285714285714285,NO-GO
