dataset,graph,missing_ratio,method_a,method_b,p_mae
iv100hz_mat,gaussian__sigma1.0,0.2,tikhonov,trss,0.0
iv100hz_mat,gaussian__sigma1.0,0.2,tv,trss,0.0
iv100hz_mat,gaussian__sigma1.0,0.4,mean,tikhonov,0.0
iv100hz_mat,gaussian__sigma1.0,0.4,mean,tv,0.0
iv100hz_mat,gaussian__sigma1.0,0.4,mean,trss,0.0
iv100hz_mat,gaussian__sigma1.0,0.4,tikhonov,tv,0.0
iv100hz_mat,gaussian__sigma1.0,0.4,tikhonov,trss,0.0
iv100hz_mat,gaussian__sigma1.0,0.4,tv,trss,0.0
iv100hz_mat,knn__k3,0.2,mean,tikhonov,0.0
iv100hz_mat,knn__k3,0.2,mean,tv,0.0
iv100hz_mat,knn__k3,0.2,mean,trss,0.0
iv100hz_mat,knn__k3,0.2,tikhonov,tv,0.0
iv100hz_mat,knn__k3,0.2,tikhonov,trss,0.0
iv100hz_mat,knn__k3,0.2,tv,trss,0.0
iv100hz_mat,knn__k3,0.4,mean,tikhonov,0.0
iv100hz_mat,knn__k3,0.4,mean,tv,0.0
iv100hz_mat,knn__k3,0.4,mean,trss,0.0
iv100hz_mat,knn__k3,0.4,tikhonov,tv,0.0
iv100hz_mat,knn__k3,0.4,tikhonov,trss,0.0
iv100hz_mat,knn__k3,0.4,tv,trss,0.0
movielens_graph_signal,gaussian__sigma1.0,0.2,mean,tikhonov,0.0
movielens_graph_signal,gaussian__sigma1.0,0.2,mean,tv,0.747
movielens_graph_signal,gaussian__sigma1.0,0.2,mean,trss,0.0
movielens_graph_signal,gaussian__sigma1.0,0.2,tikhonov,tv,0.0
movielens_graph_signal,gaussian__sigma1.0,0.2,tikhonov,trss,0.0
movielens_graph_signal,gaussian__sigma1.0,0.2,tv,trss,0.0
movielens_graph_signal,gaussian__sigma1.0,0.4,mean,tikhonov,0.0
movielens_graph_signal,gaussian__sigma1.0,0.4,mean,tv,0.595
movielens_graph_signal,gaussian__sigma1.0,0.4,mean,trss,0.0
movielens_graph_signal,gaussian__sigma1.0,0.4,tikhonov,tv,0.0
movielens_graph_signal,gaussian__sigma1.0,0.4,tikhonov,trss,0.0
movielens_graph_signal,gaussian__sigma1.0,0.4,tv,trss,0.0
movielens_graph_signal,knn__k3,0.2,mean,tikhonov,0.0
movielens_graph_signal,knn__k3,0.2,mean,tv,0.6
movielens_graph_signal,knn__k3,0.2,mean,trss,0.0
movielens_graph_signal,knn__k3,0.2,tikhonov,tv,0.0
movielens_graph_signal,knn__k3,0.2,tikhonov,trss,0.0
movielens_graph_signal,knn__k3,0.2,tv,trss,0.0
movielens_graph_signal,knn__k3,0.4,mean,tikhonov,0.0
movielens_graph_signal,knn__k3,0.4,mean,tv,0.633
movielens_graph_signal,knn__k3,0.4,mean,trss,0.0
movielens_graph_signal,knn__k3,0.4,tikhonov,tv,0.0
movielens_graph_signal,knn__k3,0.4,tikhonov,trss,0.124
movielens_graph_signal,knn__k3,0.4,tv,trss,0.0
physionet_eegmmidb_real,gaussian__sigma1.0,0.2,mean,tikhonov,0.0
physionet_eegmmidb_real,gaussian__sigma1.0,0.2,mean,tv,0.612
physionet_eegmmidb_real,gaussian__sigma1.0,0.2,mean,trss,0.0
physionet_eegmmidb_real,gaussian__sigma1.0,0.2,tikhonov,tv,0.0
physionet_eegmmidb_real,gaussian__sigma1.0,0.2,tikhonov,trss,0.0
physionet_eegmmidb_real,gaussian__sigma1.0,0.2,tv,trss,0.0
physionet_eegmmidb_real,gaussian__sigma1.0,0.4,mean,tikhonov,0.0
physionet_eegmmidb_real,gaussian__sigma1.0,0.4,mean,tv,0.635
physionet_eegmmidb_real,gaussian__sigma1.0,0.4,mean,trss,0.0
physionet_eegmmidb_real,gaussian__sigma1.0,0.4,tikhonov,tv,0.0
physionet_eegmmidb_real,gaussian__sigma1.0,0.4,tikhonov,trss,0.0
physionet_eegmmidb_real,gaussian__sigma1.0,0.4,tv,trss,0.0
physionet_eegmmidb_real,knn__k3,0.2,mean,tikhonov,0.0
physionet_eegmmidb_real,knn__k3,0.2,mean,tv,0.0
physionet_eegmmidb_real,knn__k3,0.2,mean,trss,0.0
physionet_eegmmidb_real,knn__k3,0.2,tikhonov,tv,0.0
physionet_eegmmidb_real,knn__k3,0.2,tikhonov,trss,0.0
physionet_eegmmidb_real,knn__k3,0.2,tv,trss,0.0
physionet_eegmmidb_real,knn__k3,0.4,mean,tikhonov,0.0
physionet_eegmmidb_real,knn__k3,0.4,mean,tv,0.145
physionet_eegmmidb_real,knn__k3,0.4,mean,trss,0.0
physionet_eegmmidb_real,knn__k3,0.4,tikhonov,tv,0.0
physionet_eegmmidb_real,knn__k3,0.4,tikhonov,trss,0.0
physionet_eegmmidb_real,knn__k3,0.4,tv,trss,0.0
