test_id,metric,group_a,group_b,p_value,decision
mae_tv_family_vs_instant,mae,tv_time,instant,0.002066847779767815,significant
rmse_tv_family_vs_instant,rmse,tv_time,instant,1.0206454066568173e-10,significant
mae_trss_vs_tikhonov,mae,trss,tikhonov,4.745682540279985e-06,significant
