"graph","method","combo","mean_mae","std_mae","count","datasets_count","rank_metric"
"knn__k5","rbfi_tps","knn__k5|rbfi_tps","0,162433319961062","0,131409123990902","16","4","0,228137881956513"
"kalofolias","rbfi_tps","kalofolias|rbfi_tps","0,162433319961062","0,131409123990902","16","4","0,228137881956513"
"knng__k4_sigma1","tikhonov","knng__k4_sigma1|tikhonov","0,178594475085525","0,121693746348111","16","4","0,239441348259581"
"gaussian__sigma1","rbfi_mq","gaussian__sigma1|rbfi_mq","0,171449825494413","0,138108438499279","16","4","0,240504044744052"
"nnk__k4","rbfi_mq","nnk__k4|rbfi_mq","0,171449825494413","0,138108438499279","16","4","0,240504044744052"
"knn__k5","rbfi_mq","knn__k5|rbfi_mq","0,171449825494413","0,138108438499279","16","4","0,240504044744052"
"kalofolias","rbfi_mq","kalofolias|rbfi_mq","0,171449825494413","0,138108438499279","16","4","0,240504044744052"
"aew__k4_sigma_corr0_5_sigma_dist1","rbfi_mq","aew__k4_sigma_corr0_5_sigma_dist1|rbfi_mq","0,171449825494413","0,138108438499279","16","4","0,240504044744052"
"vknng__alpha1_k4_k_max8_k_min2","rbfi_mq","vknng__alpha1_k4_k_max8_k_min2|rbfi_mq","0,171449825494413","0,138108438499279","16","4","0,240504044744052"
"knng__k4_sigma1","rbfi_mq","knng__k4_sigma1|rbfi_mq","0,171449825494413","0,138108438499279","16","4","0,240504044744052"
"knn__k3","rbfi_mq","knn__k3|rbfi_mq","0,171449825494413","0,138108438499279","16","4","0,240504044744052"
"knn__k3","tikhonov","knn__k3|tikhonov","0,181909108834373","0,124387161513218","16","4","0,244102689590982"
"aew__k4_sigma_corr0_5_sigma_dist1","graph_time_tikhonov","aew__k4_sigma_corr0_5_sigma_dist1|graph_time_tikhonov","0,187368028711844","0,125028169707258","16","4","0,249882113565474"
"vknng__alpha1_k4_k_max8_k_min2","tikhonov","vknng__alpha1_k4_k_max8_k_min2|tikhonov","0,190315730560359","0,126701953042831","16","4","0,253666707081775"
"knng__k4_sigma1","spherical_spline","knng__k4_sigma1|spherical_spline","0,179805145271063","0,155645947925413","16","4","0,257628119233769"
"aew__k4_sigma_corr0_5_sigma_dist1","spherical_spline","aew__k4_sigma_corr0_5_sigma_dist1|spherical_spline","0,179805145271063","0,155645947925413","16","4","0,257628119233769"
"knn__k5","spherical_spline","knn__k5|spherical_spline","0,179805145271063","0,155645947925413","16","4","0,257628119233769"
"gaussian__sigma1","spherical_spline","gaussian__sigma1|spherical_spline","0,179805145271063","0,155645947925413","16","4","0,257628119233769"
"vknng__alpha1_k4_k_max8_k_min2","spherical_spline","vknng__alpha1_k4_k_max8_k_min2|spherical_spline","0,179805145271063","0,155645947925413","16","4","0,257628119233769"
"nnk__k4","spherical_spline","nnk__k4|spherical_spline","0,179805145271063","0,155645947925413","16","4","0,257628119233769"
"knn__k3","spherical_spline","knn__k3|spherical_spline","0,179805145271063","0,155645947925413","16","4","0,257628119233769"
"kalofolias","spherical_spline","kalofolias|spherical_spline","0,179805145271063","0,155645947925413","16","4","0,257628119233769"
"knn__k5","tikhonov","knn__k5|tikhonov","0,198837057290116","0,129917284635114","16","4","0,263795699607673"
"nnk__k4","puy","nnk__k4|puy","0,204694968331646","0,13833298842954","16","4","0,273861462546416"
"gaussian__sigma1","tikhonov","gaussian__sigma1|tikhonov","0,214383267772982","0,136960942360548","16","4","0,282863738953256"
