graph,method,mean_mae,std_mae,median_mae,count,mean_rmse,mean_snr,datasets_count,rank_metric,temporal,baseline,experiment
aew__k4_sigma_corr0_5_sigma_dist1,bgsrp,0.4994354547628608,0.05195361575809351,0.49282665014042104,12,0.6601398608121792,2.4322757115378217,3,0.5254122626419075,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,directed_tv,0.18837638651882893,0.06152301088399182,0.20244155395632468,12,0.4562507161108354,-1.9055248626154968,3,0.21913789196082484,True,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,graph_time_tikhonov,0.24981850946704995,0.06555888819734784,0.24550545050810446,12,0.4048444860942199,11.602390403060253,3,0.28259795356572387,True,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,gsmooth,0.1657283248449554,0.07672703614627188,0.16103621068756518,12,0.364224064911925,-0.11108704618275278,3,0.20409184291809135,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,gsp,0.17595788594020345,0.08031509183461427,0.17521321188733996,12,0.3981585987985623,-0.7509600779976152,3,0.2161154318575106,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,heat_diffusion_temporal,0.16413715432003986,0.07412302115826672,0.16586303078990416,12,0.3511778796638427,0.02911472342569411,3,0.2011986648991732,True,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,idw,0.16952263566320666,0.07913468644848491,0.16985609921377734,12,0.3714690363700119,-0.3489149133012366,3,0.20908997888744912,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,linear,0.1961211837997016,0.09104456012482755,0.20540595649560128,12,0.4496401479366146,-1.9577692391721853,3,0.24164346386211535,False,True,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,mean,0.1658937610924521,0.07710858236491445,0.16815429161672224,12,0.3610497534940873,-0.10519829634194815,3,0.20444805227490934,False,True,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,nearest,0.21328102707136967,0.09971481507311342,0.21655966581197464,12,0.4964377001253562,-2.804704732978083,3,0.2631384346079264,False,True,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,puy,0.20419059829518274,0.0868968430095013,0.20551469125615804,12,0.44506200876091967,22.818728329279836,3,0.24763901979993339,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,rbfi_mq,0.2285962323387404,0.10844141460330263,0.224958990393582,12,0.5308455317335598,-3.3187437856135684,3,0.28281693964039173,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,rbfi_tps,0.21657463993274204,0.10371455866867085,0.21815812588456657,12,0.49966663050883003,-2.8094434565345736,3,0.26843191926707743,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,sobolev,0.4064076012000403,0.036608638014951546,0.40929488012609366,12,0.4793307561183984,4.295835076310556,3,0.4247119202075161,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,spherical_spline,0.23973566860272874,0.13176593226192157,0.22820461628551847,12,0.5537134457575429,-3.2773326109953196,3,0.30561863473368955,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,spline_surface,0.2888196434791303,0.11469392229818245,0.29238820608175986,12,0.7786261969633554,-5.42924686456261,3,0.3461666046282215,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,spline_temporal,,0.0,,0,,,3,,True,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,temporal_laplacian,0.3558953582153859,0.04706344062230522,0.356057565637038,12,0.4584533479486279,5.837695555394617,3,0.37942707852653856,True,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,tikhonov,0.18645127250865068,0.07819754272323452,0.18609464767143968,12,0.3974999332740252,24.020036298220266,3,0.22555004387026795,False,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,trss,0.16454692145380098,0.0733924333696779,0.16382716945291048,12,0.36036661968133216,0.003524189708059704,3,0.20124313813863992,True,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,tv,0.168153759611859,0.07679331833735221,0.16825210250597417,12,0.3745925660866914,-0.27612810667965626,3,0.2065504187805351,True,False,it05_no_physionet
aew__k4_sigma_corr0_5_sigma_dist1,wavelet_temporal,0.17000399043075376,0.07332293137776977,0.1702364355540951,12,0.35338085386020196,24.819710088669037,3,0.20666545611963866,True,False,it05_no_physionet
gaussian__sigma1,bgsrp,0.5042958616538641,0.027562646372631273,0.5014447111523966,12,0.6001564567458001,1.9493740125648575,3,0.5180771848401797,False,False,it05_no_physionet
gaussian__sigma1,directed_tv,0.16596820396245127,0.0742263485636665,0.16892279031025015,12,0.3562817143006989,-0.1099583845229954,3,0.20308137824428452,True,False,it05_no_physionet
gaussian__sigma1,graph_time_tikhonov,0.4778160910562568,0.02674856751342815,0.4819970706125897,12,0.5538764891597572,2.5479226021141734,3,0.49119037481297084,True,False,it05_no_physionet
gaussian__sigma1,gsmooth,0.16629111001417188,0.0769203582820419,0.16818482483880254,12,0.36217239807439855,-0.14279260001132227,3,0.20475128915519283,False,False,it05_no_physionet
gaussian__sigma1,gsp,0.16734077341188439,0.07746519873059905,0.16901838747654316,12,0.3654574046125496,-0.22266625508002702,3,0.2060733727771839,False,False,it05_no_physionet
gaussian__sigma1,heat_diffusion_temporal,0.1652381178059691,0.07588311848312945,0.16609059346263771,12,0.3553389426172536,-0.03138216803925879,3,0.2031796770475338,True,False,it05_no_physionet
gaussian__sigma1,idw,0.16952263566320666,0.07913468644848491,0.16985609921377734,12,0.3714690363700119,-0.3489149133012366,3,0.20908997888744912,False,False,it05_no_physionet
