"graph","method","combo","mean_mae","median_mae","std_mae","min_mae","max_mae","cv_mae","count","datasets_count","real_datasets_count","real_obs_count","rank_metric_mean","rank_metric_median","rank_metric_stability","rank_metric_cv"
"knng__k4_sigma1","heat_diffusion_temporal","knng__k4_sigma1|heat_diffusion_temporal","0,137511257822787","0,134784293410738","0,100180334014224","1,90774552292926E-06","0,273463130880795","0,728524599370099","18","4","1","4","0,187601424829899","0,134784293410738","0,237691591837011","0,728524599370099"
"gaussian__sigma1","gsmooth","gaussian__sigma1|gsmooth","0,137314093996258","0,129492654488215","0,100607131661282","2,37886393610793E-06","0,282124648661446","0,732678844052409","18","4","1","4","0,187617659826899","0,129492654488215","0,23792122565754","0,732678844052409"
"vknng__alpha1_k4_k_max8_k_min2","tv","vknng__alpha1_k4_k_max8_k_min2|tv","0,137460345096377","0,130903148772083","0,100525133481571","2,36438522656066E-06","0,284009149120185","0,731302787077175","18","4","1","4","0,187722911837163","0,130903148772083","0,237985478577949","0,731302787077175"
"knng__k4_sigma1","tv","knng__k4_sigma1|tv","0,137781196763958","0,13143939415811","0,100532740233704","2,3650383692222E-06","0,284338630961675","0,729655008048254","18","4","1","4","0,18804756688081","0,13143939415811","0,238313936997662","0,729655008048254"
"aew__k4_sigma_corr0_5_sigma_dist1","gsmooth","aew__k4_sigma_corr0_5_sigma_dist1|gsmooth","0,137605209257611","0,126404760110704","0,101203765052452","1,83585408622052E-06","0,275259617653779","0,735464635375751","18","4","1","4","0,188207091783837","0,126404760110704","0,238808974310063","0,735464635375751"
"knn__k5","heat_diffusion_temporal","knn__k5|heat_diffusion_temporal","0,138114673591652","0,135353759378275","0,100816326432232","1,94395567443212E-06","0,274597523453799","0,729946527841816","18","4","1","4","0,188522836807768","0,135353759378275","0,238931000023884","0,729946527841816"
"vknng__alpha1_k4_k_max8_k_min2","heat_diffusion_temporal","vknng__alpha1_k4_k_max8_k_min2|heat_diffusion_temporal","0,138286342079379","0,135231424142169","0,100749235461084","1,90719216985476E-06","0,275566514311806","0,728555213379296","18","4","1","4","0,188660959809921","0,135231424142169","0,239035577540463","0,728555213379296"
"knn__k3","heat_diffusion_temporal","knn__k3|heat_diffusion_temporal","0,138360977489416","0,136233441370035","0,101202121960368","2,01423316158628E-06","0,279208377591788","0,731435436469863","18","4","1","4","0,1889620384696","0,136233441370035","0,239563099449784","0,731435436469863"
"knn__k5","directed_tv","knn__k5|directed_tv","0,139176046717035","0,146733893679556","0,0996546961491864","2,23472836679069E-06","0,272695347797557","0,716033387209216","18","4","1","4","0,189003394791628","0,146733893679556","0,238830742866221","0,716033387209216"
"knn__k3","tv","knn__k3|tv","0,138556458339624","0,133288258108954","0,100984366026194","2,3608167664094E-06","0,286885028511346","0,728831894495061","18","4","1","4","0,189048641352721","0,133288258108954","0,239540824365818","0,728831894495061"
