"combo","graph","method","mean_mae","real_obs_count"
"vknng__alpha1_k4_k_max8_k_min2|wavelet_temporal","vknng__alpha1_k4_k_max8_k_min2","wavelet_temporal","0,150957675328029","4"
"aew__k4_sigma_corr0_5_sigma_dist1|directed_tv","aew__k4_sigma_corr0_5_sigma_dist1","directed_tv","0,153199561304783","4"
"vknng__alpha1_k4_k_max8_k_min2|gsp","vknng__alpha1_k4_k_max8_k_min2","gsp","0,148950169009566","4"
"knn__k5|wavelet_temporal","knn__k5","wavelet_temporal","0,151990154992635","4"
"knng__k4_sigma1|gsp","knng__k4_sigma1","gsp","0,149054995657154","4"
"knn__k3|trss","knn__k3","trss","0,149612045370243","4"
"gaussian__sigma1|wavelet_temporal","gaussian__sigma1","wavelet_temporal","0,153900619852703","4"
"knn__k3|gsp","knn__k3","gsp","0,153268743716484","4"
"aew__k4_sigma_corr0_5_sigma_dist1|tikhonov","aew__k4_sigma_corr0_5_sigma_dist1","tikhonov","0,155004206128137","4"
"kalofolias|wavelet_temporal","kalofolias","wavelet_temporal","0,157601095606741","4"
"nnk__k4|gsp","nnk__k4","gsp","0,154112469951676","4"
"vknng__alpha1_k4_k_max8_k_min2|linear","vknng__alpha1_k4_k_max8_k_min2","linear","0,163364850427048","4"
"knn__k5|linear","knn__k5","linear","0,163364850427048","4"
"gaussian__sigma1|linear","gaussian__sigma1","linear","0,163364850427048","4"
"aew__k4_sigma_corr0_5_sigma_dist1|linear","aew__k4_sigma_corr0_5_sigma_dist1","linear","0,163364850427048","4"
"nnk__k4|linear","nnk__k4","linear","0,163364850427048","4"
"kalofolias|linear","kalofolias","linear","0,163364850427048","4"
"knng__k4_sigma1|linear","knng__k4_sigma1","linear","0,163364850427048","4"
"knn__k3|linear","knn__k3","linear","0,163364850427048","4"
"kalofolias|trss","kalofolias","trss","0,164402186501994","4"
"nnk__k4|tikhonov","nnk__k4","tikhonov","0,173183080310569","4"
"aew__k4_sigma_corr0_5_sigma_dist1|puy","aew__k4_sigma_corr0_5_sigma_dist1","puy","0,170602099282217","4"
"knng__k4_sigma1|nearest","knng__k4_sigma1","nearest","0,176639860291209","4"
"knn__k5|nearest","knn__k5","nearest","0,176639860291209","4"
"kalofolias|nearest","kalofolias","nearest","0,176639860291209","4"
"gaussian__sigma1|nearest","gaussian__sigma1","nearest","0,176639860291209","4"
"aew__k4_sigma_corr0_5_sigma_dist1|nearest","aew__k4_sigma_corr0_5_sigma_dist1","nearest","0,176639860291209","4"
"nnk__k4|nearest","nnk__k4","nearest","0,176639860291209","4"
"vknng__alpha1_k4_k_max8_k_min2|nearest","vknng__alpha1_k4_k_max8_k_min2","nearest","0,176639860291209","4"
"knn__k3|nearest","knn__k3","nearest","0,176639860291209","4"
"kalofolias|gsp","kalofolias","gsp","0,177932582824588","4"
"nnk__k4|rbfi_tps","nnk__k4","rbfi_tps","0,180890145249449","4"
"knng__k4_sigma1|rbfi_tps","knng__k4_sigma1","rbfi_tps","0,180890145249449","4"
"knn__k3|rbfi_tps","knn__k3","rbfi_tps","0,180890145249449","4"
"vknng__alpha1_k4_k_max8_k_min2|rbfi_tps","vknng__alpha1_k4_k_max8_k_min2","rbfi_tps","0,180890145249449","4"
"knn__k5|rbfi_tps","knn__k5","rbfi_tps","0,180890145249449","4"
"aew__k4_sigma_corr0_5_sigma_dist1|rbfi_tps","aew__k4_sigma_corr0_5_sigma_dist1","rbfi_tps","0,180890145249449","4"
"kalofolias|rbfi_tps","kalofolias","rbfi_tps","0,180890145249449","4"
"gaussian__sigma1|rbfi_tps","gaussian__sigma1","rbfi_tps","0,180890145249449","4"
"knng__k4_sigma1|tikhonov","knng__k4_sigma1","tikhonov","0,193496446760226","4"
"knn__k3|tikhonov","knn__k3","tikhonov","0,197334528191192","4"
"knn__k5|rbfi_mq","knn__k5","rbfi_mq","0,189866126247016","4"
"vknng__alpha1_k4_k_max8_k_min2|rbfi_mq","vknng__alpha1_k4_k_max8_k_min2","rbfi_mq","0,189866126247016","4"
"knng__k4_sigma1|rbfi_mq","knng__k4_sigma1","rbfi_mq","0,189866126247016","4"
"nnk__k4|rbfi_mq","nnk__k4","rbfi_mq","0,189866126247016","4"
"aew__k4_sigma_corr0_5_sigma_dist1|rbfi_mq","aew__k4_sigma_corr0_5_sigma_dist1","rbfi_mq","0,189866126247016","4"
"knn__k3|rbfi_mq","knn__k3","rbfi_mq","0,189866126247016","4"
"kalofolias|rbfi_mq","kalofolias","rbfi_mq","0,189866126247016","4"
"gaussian__sigma1|rbfi_mq","gaussian__sigma1","rbfi_mq","0,189866126247016","4"
