carpeta,archivo,tipo,tam_kb
results,itX0050_stats.csv,csv,0.4
results,itX0051_raw.csv,csv,15085.1
results,itX0051_significance.csv,csv,0.1
results,itX0051_stats.csv,csv,0.8
results,itX0052_raw.csv,csv,7486.2
results,itX0052_significance.csv,csv,0.1
results,itX0052_stats.csv,csv,0.4
results,itX0053_raw.csv,csv,3770.2
results,itX0053_significance.csv,csv,0.1
results,itX0053_stats.csv,csv,0.8
results,itX0054_raw.csv,csv,1872.4
results,itX0054_significance.csv,csv,0.1
results,itX0054_stats.csv,csv,0.4
results,itX0055_raw.csv,csv,3770.2
results,itX0055_significance.csv,csv,0.1
results,itX0055_stats.csv,csv,0.8
results,itX0056_raw.csv,csv,1872.4
results,itX0056_significance.csv,csv,0.1
results,itX0056_stats.csv,csv,0.4
results,itX0057_raw.csv,csv,15085.0
results,itX0057_significance.csv,csv,0.1
results,itX0057_stats.csv,csv,0.8
results,itX0058_raw.csv,csv,7486.2
results,itX0058_significance.csv,csv,0.1
results,itX0058_stats.csv,csv,0.4
results,itX0059_raw.csv,csv,15085.0
results,itX0059_significance.csv,csv,0.1
results,itX0059_stats.csv,csv,0.8
results,itX0060_raw.csv,csv,7486.2
results,itX0060_significance.csv,csv,0.1
results,itX0060_stats.csv,csv,0.4
results,itX0061_raw.csv,csv,3770.2
results,itX0061_significance.csv,csv,0.1
results,itX0061_stats.csv,csv,0.8
results,itX0062_raw.csv,csv,1872.5
results,itX0062_significance.csv,csv,0.1
results,itX0062_stats.csv,csv,0.4
results,itX0063_raw.csv,csv,3770.2
results,itX0063_significance.csv,csv,0.1
results,itX0063_stats.csv,csv,0.8
results,itX0064_raw.csv,csv,1872.5
results,itX0064_significance.csv,csv,0.1
results,itX0064_stats.csv,csv,0.4
results,itX0065_raw.csv,csv,15085.7
results,itX0065_significance.csv,csv,0.1
results,itX0065_stats.csv,csv,0.8
results,itX0066_raw.csv,csv,7488.3
results,itX0066_significance.csv,csv,0.1
results,itX0066_stats.csv,csv,0.4
results,itX0067_raw.csv,csv,15085.7
results,itX0067_significance.csv,csv,0.1
results,itX0067_stats.csv,csv,0.8
results,itX0068_raw.csv,csv,7488.3
results,itX0068_significance.csv,csv,0.1
results,itX0068_stats.csv,csv,0.4
results,itX0069_raw.csv,csv,3770.5
results,itX0069_significance.csv,csv,0.1
results,itX0069_stats.csv,csv,0.8
results,itX0070_raw.csv,csv,1872.7
results,itX0070_significance.csv,csv,0.1
results,itX0070_stats.csv,csv,0.4
results,itX0071_raw.csv,csv,3770.5
results,itX0071_significance.csv,csv,0.1
results,itX0071_stats.csv,csv,0.8
results,itX0072_raw.csv,csv,1872.7
results,itX0072_significance.csv,csv,0.1
results,itX0072_stats.csv,csv,0.4
results,itX0073_raw.csv,csv,15085.9
results,itX0073_significance.csv,csv,0.1
results,itX0073_stats.csv,csv,0.8
results,itX0074_raw.csv,csv,7490.2
results,itX0074_significance.csv,csv,0.1
results,itX0074_stats.csv,csv,0.4
results,itX0075_raw.csv,csv,15085.9
results,itX0075_significance.csv,csv,0.1
results,itX0075_stats.csv,csv,0.8
results,itX0076_raw.csv,csv,7490.2
results,itX0076_significance.csv,csv,0.1
results,itX0076_stats.csv,csv,0.4
results,itX0077_raw.csv,csv,3770.7
results,itX0077_significance.csv,csv,0.1
results,itX0077_stats.csv,csv,0.8
results,itX0078_raw.csv,csv,1873.2
results,itX0078_significance.csv,csv,0.1
results,itX0078_stats.csv,csv,0.4
results,itX0079_raw.csv,csv,3770.7
results,itX0079_significance.csv,csv,0.1
results,itX0079_stats.csv,csv,0.8
results,itX0080_raw.csv,csv,1873.2
results,itX0080_significance.csv,csv,0.1
results,itX0080_stats.csv,csv,0.4
results,itX0081_raw.csv,csv,15086.1
results,itX0081_significance.csv,csv,0.1
results,itX0081_stats.csv,csv,0.8
results,itX0082_raw.csv,csv,7488.4
results,itX0082_significance.csv,csv,0.1
results,itX0082_stats.csv,csv,0.4
results,itX0083_raw.csv,csv,15086.1
results,itX0083_significance.csv,csv,0.1
results,itX0083_stats.csv,csv,0.8
results,itX0084_raw.csv,csv,7488.4
results,itX0084_significance.csv,csv,0.1
results,itX0084_stats.csv,csv,0.4
results,itX0085_raw.csv,csv,3770.5
results,itX0085_significance.csv,csv,0.1
results,itX0085_stats.csv,csv,0.8
results,itX0086_raw.csv,csv,1872.8
results,itX0086_significance.csv,csv,0.1
results,itX0086_stats.csv,csv,0.4
results,itX0087_raw.csv,csv,3770.5
results,itX0087_significance.csv,csv,0.1
results,itX0087_stats.csv,csv,0.8
results,itX0088_raw.csv,csv,1872.8
results,itX0088_significance.csv,csv,0.1
results,itX0088_stats.csv,csv,0.4
results,itX0089_raw.csv,csv,15086.2
results,itX0089_significance.csv,csv,0.1
results,itX0089_stats.csv,csv,0.8
results,itX0090_raw.csv,csv,7487.9
results,itX0090_significance.csv,csv,0.1
results,itX0090_stats.csv,csv,0.4
results,itX0091_raw.csv,csv,15086.2
results,itX0091_significance.csv,csv,0.1
results,itX0091_stats.csv,csv,0.8
results,itX0092_raw.csv,csv,7487.9
results,itX0092_significance.csv,csv,0.1
results,itX0092_stats.csv,csv,0.4
results,itX0093_raw.csv,csv,3770.6
results,itX0093_significance.csv,csv,0.1
results,itX0093_stats.csv,csv,0.8
results,itX0094_raw.csv,csv,1872.7
results,itX0094_significance.csv,csv,0.1
results,itX0094_stats.csv,csv,0.4
