dataset,graph,method,mae_mean,mae_std,snr_mean,snr_std
bci_iv2a_real_s3,nnk,linear,0.07438530404600155,0.0361424838115259,15.960255810126553,2.925892927658091
bci_iv2a_real_s3,nnk,rbfi_tps,0.09431890887027641,0.043248306607858125,13.580809671120168,2.404970018829625
bci_iv2a_real_s3,nnk,sobolev,0.5318085687975214,0.027057357140719215,3.555448742893126,0.4561993461208601
bci_iv2a_real_s3,nnk,spherical_spline,0.09431890887027641,0.043248306607858125,13.580809671120168,2.404970018829625
bci_iv2a_real_s3,nnk,temporal_laplacian,0.43120392167935556,0.038836574706829226,5.030193979957011,0.7886220038292445
bci_iv2a_real_s3,nnk,tikhonov,0.13918752041256374,0.03829584912745855,12.74399798726977,2.0553011055257673
bci_iv2a_real_s3,nnk,trss,0.08466688331367708,0.040223463065357,14.8610716515764,2.658701500016056
bci_iv2a_real_s3,nnk,tv,0.09412753074265975,0.04330691504854372,13.648627096130456,2.453875954136168
bci_iv2a_real_s3,nnk,visibility_nnk,0.19269984355329797,0.08848897909060036,6.857331504036129,2.4516028369406118
bci_iv2a_real_s3,vknng,bgsrp,0.34891659391132107,0.006733022633044966,7.305502517264272,0.26974103252609166
bci_iv2a_real_s3,vknng,ica,0.19005979452320712,0.08778817652577997,7.011950322581711,2.54453158233316
bci_iv2a_real_s3,vknng,idw,0.09431890887027641,0.04318786170535297,13.58080967112017,2.4016087732753393
bci_iv2a_real_s3,vknng,linear,0.07438530404600155,0.03609197018263191,15.960255810126553,2.9218036273681065
bci_iv2a_real_s3,vknng,rbfi_tps,0.09431890887027641,0.04318786170535297,13.580809671120166,2.40160877327534
bci_iv2a_real_s3,vknng,sobolev,0.5449046151109034,0.023251851291865175,3.3753846959176914,0.3793038721095496
bci_iv2a_real_s3,vknng,spherical_spline,0.09431890887027641,0.04318786170535297,13.580809671120166,2.40160877327534
bci_iv2a_real_s3,vknng,temporal_laplacian,0.5173329280239111,0.034907826623693086,3.5700132161835887,0.5852357903725017
bci_iv2a_real_s3,vknng,tikhonov,0.15938807673277774,0.035289590193904596,12.390116140551608,1.8869659110299197
bci_iv2a_real_s3,vknng,trss,0.09208915456318997,0.04368900707980828,13.774736012823183,2.570697993914157
