method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
heat_diffusion_temporal,0.2,rmse,1.037,1.2593,0.3116,-2.0913,4.1652,3
heat_diffusion_temporal,0.2,snr,-6.0686,10.453,-0.0817,-32.0353,19.898,3
heat_diffusion_temporal,0.2,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,0.7328,0.9265,0.1982,-1.5687,3.0343,3
heat_diffusion_temporal,0.3,rmse,1.347,1.6468,0.3969,-2.744,5.4379,3
heat_diffusion_temporal,0.3,snr,-6.1111,10.5584,-0.0295,-32.3398,20.1175,3
heat_diffusion_temporal,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.4,mae,0.8709,1.0999,0.2366,-1.8613,3.6031,3
heat_diffusion_temporal,0.4,rmse,1.4629,1.7839,0.4333,-2.9686,5.8945,3
heat_diffusion_temporal,0.4,snr,-6.0421,10.4853,0.004,-32.0891,20.0049,3
heat_diffusion_temporal,0.4,dtw,,,,,,0
idw,0.1,mae,0.0831,0.0,0.0831,,,3
idw,0.1,rmse,0.2744,0.0,0.2744,,,3
idw,0.1,snr,-0.612,0.0,-0.612,,,3
idw,0.1,dtw,,,,,,0
idw,0.2,mae,0.1253,0.0,0.1253,,,3
idw,0.2,rmse,0.332,0.0,0.332,,,3
idw,0.2,snr,-0.6239,0.0,-0.6239,,,3
idw,0.2,dtw,,,,,,0
idw,0.3,mae,0.209,0.0,0.209,,,3
idw,0.3,rmse,0.4312,0.0,0.4312,0.4312,0.4312,3
idw,0.3,snr,-0.7459,0.0,-0.7459,-0.7459,-0.7459,3
idw,0.3,dtw,,,,,,0
idw,0.4,mae,0.2439,0.0,0.2439,,,3
idw,0.4,rmse,0.4669,0.0,0.4669,0.4669,0.4669,3
idw,0.4,snr,-0.6375,0.0,-0.6375,,,3
idw,0.4,dtw,,,,,,0
linear,0.1,mae,0.0943,0.0,0.0943,,,3
linear,0.1,rmse,0.3234,0.0,0.3234,,,3
linear,0.1,snr,-1.9947,0.0,-1.9947,,,3
linear,0.1,dtw,,,,,,0
linear,0.2,mae,0.1339,0.0,0.1339,,,3
linear,0.2,rmse,0.368,0.0,0.368,0.368,0.368,3
linear,0.2,snr,-1.5024,0.0,-1.5024,,,3
linear,0.2,dtw,,,,,,0
linear,0.3,mae,0.2337,0.0,0.2337,0.2337,0.2337,3
linear,0.3,rmse,0.4983,0.0,0.4983,0.4983,0.4983,3
linear,0.3,snr,-1.9834,0.0,-1.9834,,,3
linear,0.3,dtw,,,,,,0
linear,0.4,mae,0.2793,0.0,0.2793,,,3
linear,0.4,rmse,0.5513,0.0,0.5513,,,3
linear,0.4,snr,-2.041,0.0,-2.041,,,3
linear,0.4,dtw,,,,,,0
mean,0.1,mae,0.0853,0.0,0.0853,,,3
mean,0.1,rmse,0.2733,0.0,0.2733,,,3
mean,0.1,snr,-0.558,0.0,-0.558,,,3
mean,0.1,dtw,,,,,,0
mean,0.2,mae,0.1252,0.0,0.1252,,,3
mean,0.2,rmse,0.3272,0.0,0.3272,,,3
mean,0.2,snr,-0.5,0.0,-0.5,,,3
mean,0.2,dtw,,,,,,0
mean,0.3,mae,0.2019,0.0,0.2019,,,3
