graph,method,mean_mae,median_mae,std_mae,count
aew__k4_sigma_corr0_5_sigma_dist1,gsmooth,6.71291105003911e-06,6.327359582949037e-06,4.6557159084061505e-06,4
aew__k4_sigma_corr0_5_sigma_dist1,heat_diffusion_temporal,7.649030245547624e-06,7.448738927778047e-06,5.208255641060659e-06,4
aew__k4_sigma_corr0_5_sigma_dist1,linear,7.468022017045454e-06,6.2608664772727276e-06,6.024850593108813e-06,4
aew__k4_sigma_corr0_5_sigma_dist1,mean,7.293007691093628e-06,7.024324494949493e-06,4.691686341115721e-06,4
aew__k4_sigma_corr0_5_sigma_dist1,nearest,7.953302556818181e-06,6.880255681818182e-06,5.096732020105252e-06,4
aew__k4_sigma_corr0_5_sigma_dist1,trss,6.548086776717099e-06,6.1146055787466456e-06,4.687468082369859e-06,4
gaussian__sigma1,mean,7.293007691093628e-06,7.024324494949493e-06,4.691686341115721e-06,4
kalofolias,directed_tv,8.585328447375671e-06,8.55139658669395e-06,5.63978183256616e-06,4
