method,mae_mean,mae_std,mae_median
bgsrp,0.0028256770736414254,0.004362832277360216,6.948933418437452e-07
directed_tv,0.0017305408799973673,0.0025826863567496227,4.278077702551513e-07
graph_time_tikhonov,0.0019321991844812824,0.0028840570277110338,4.7669548174037296e-07
gsmooth,0.0026732750903842267,0.00409466560449173,6.623226721966409e-07
heat_diffusion_temporal,0.0017788756788057905,0.0026925035601629674,4.1256021463730994e-07
idw,0.0026233331211354947,0.004015092325020452,6.38601935139352e-07
linear,0.0027744977642400587,0.004173935140643392,7.031175873716065e-07
mean,0.0027801821518378955,0.004223692920965733,6.410287242480005e-07
nearest,0.0027675178073936616,0.004125032085132718,6.702324086371873e-07
puy,0.0025962302098956427,0.003915547369797487,6.303113159558951e-07
rbfi_mq,0.0028752791206230663,0.004313679753163136,6.879954405365187e-07
rbfi_tps,0.0025407555144611477,0.0038223591348710505,6.550444257088757e-07
sobolev,0.0026309931989356894,0.003982405950586315,6.359220011706646e-07
spherical_spline,0.002712877703989977,0.004166250309420808,6.370729862031874e-07
spline_surface,0.0030297190946878463,0.004570122547980766,7.285244324446379e-07
temporal_laplacian,0.0018693211199152923,0.0028068035806547327,4.5303133894045953e-07
tikhonov,0.0028905448775702666,0.004409673007155401,6.750805896312686e-07
trss,0.0018205589862166143,0.0027549160048202957,4.320877109172835e-07
tv,0.0017325744871749401,0.0026019662419367994,4.2096978146428654e-07
wavelet_temporal,0.00202427288480405,0.003057835849282608,4.841620568172166e-07
