Method,median,mean,std,min,max,25th_pctl_MAE,75th_pctl_MAE
"BGSRP(Radius(r=0.31,σ=0.10),bandw=15,γ=0.01)",0.2993082143552188,0.37559172266568264,0.2511326128104795,0.0578541308297123,1.5345935539537165,0.20859402087679674,0.4325843803369991
"BGSRP(Radius(r=0.31,σ=0.10),bandw=15,γ=1)",0.2993082143552188,0.37559172266568264,0.2511326128104795,0.0578541308297123,1.5345935539537165,0.20859402087679674,0.4325843803369991
"BGSRP(Kaliofolias(a=0.34,b=0.4,γ=0.04),bandw=15,γ=0.01)",0.33228927045286955,0.38147879557276754,0.25087649040921123,0.12011688741281666,1.3923322532070443,0.1844532377569961,0.5009136585764348
"BGSRP(Kaliofolias(a=0.34,b=0.4,γ=0.04),bandw=15,γ=1)",0.33228927045286955,0.38147879557276754,0.25087649040921123,0.12011688741281666,1.3923322532070443,0.1844532377569961,0.5009136585764348
"BGSRP(AEW(k=5,σ=0.10),bandw=15,γ=0.01)",0.33915251713203853,0.38922036714379576,0.25839878787959164,0.08861351218712668,1.4915523168488087,0.19169763524883446,0.5182396186473874
"BGSRP(AEW(k=5,σ=0.10),bandw=15,γ=1)",0.33915251713203853,0.38922036714379576,0.2583987878795917,0.08861351218712668,1.4915523168488087,0.19169763524883446,0.5182396186473874
"BGSRP(KNN(k=5,σ=0.10),bandw=15,γ=0.01)",0.3570847449537836,0.3926710376229416,0.25851356180331536,0.09086364157707909,1.4264022210962963,0.19499953786811935,0.49298344946138706
"BGSRP(KNN(k=5,σ=0.10),bandw=15,γ=1)",0.3570847449537836,0.3926710376229416,0.25851356180331536,0.09086364157707909,1.4264022210962963,0.19499953786811935,0.49298344946138706
"BGSRP(VKNN(k_min=2,k_max=10,β=0.01),bandw=15,γ=0.01)",0.3605822043340636,0.43336717756270765,0.2605627349854699,0.1024236696177297,1.2593775483852994,0.2178890145458308,0.6074444626454517
"BGSRP(VKNN(k_min=2,k_max=10,β=0.01),bandw=15,γ=1)",0.3605822043340636,0.43336717756270765,0.26056273498546983,0.1024236696177297,1.2593775483852994,0.2178890145458308,0.6074444626454517
