Dataset,Familia,n_rows,MAE_mean,MAE_median,MAE_std,RMSE_mean,RMSE_median,RMSE_std,DTW_mean,DTW_median,DTW_std,SNR_mean,SNR_median,SNR_std,LSD_mean,LSD_median,LSD_std,COHERENCE_MEAN_mean,COHERENCE_MEAN_median,COHERENCE_MEAN_std
bci_iv2a_real_s3,Baseline,4560,0.11327072907744036,0.08451279097671746,0.07211196478424238,0.29309370092708775,0.2581621239294666,0.13091492244295763,1.9078640670032208,1.744889045062476,0.7103501619553145,12.53345636873715,13.071252034262194,4.208294176286319,2.2922498639136704,2.269274968331272,0.0824538261675433,0.9357555673880991,0.9555696740849317,0.049580251515692196
bci_iv2a_real_s3,GSP Instantáneo,4560,1.3111831935811983e+60,0.163218806320491,1.0122991416238091e+61,2.2989271439903364e+61,0.3285254895106483,1.6099355225702627e+62,4.902834415755024e+61,2.3289980828483685,3.8616833129806496e+62,7.686790368852256,10.906656389005596,16.297059572930785,2.5642292427350566,2.2688318891534034,1.8683994790777236,0.8973951253015775,0.915188402170694,0.06811522541146398
bci_iv2a_real_s3,TV/Tiempo,3420,6.362422706055856e+57,0.0813963045775845,4.6071351530962657e+58,1.2315907739747375e+59,0.2398237639935493,8.347624603682388e+59,2.3694455914781847e+59,1.732579965503592,1.808045101564392e+60,10.961188836217797,13.578218913470309,15.654426197519129,2.5627141853729976,2.278610536813728,1.786990414156243,0.9463113192612714,0.9555783551615934,0.03360898880571149
iris_graph_signal,Baseline,1320,0.9644635718361225,0.24085392956585921,2.2639774086281395,2.3932416248536423,0.5368845006259212,5.612322435562018,20.967531560067556,3.1198738034667657,53.33604445238828,4.0303589418062336,6.617295753602025,10.183871490337696,3.560365496308449,3.39833918796083,0.5647622582078572,,,
iris_graph_signal,GSP Instantáneo,1320,0.32729510153212227,0.2724699172253054,0.19718511501867753,0.5699323277805485,0.5660646198305681,0.15492624740977032,3.501483029916706,3.3122878832079294,1.2884334850515482,6.956994443859062,6.794543859740654,3.264530055071249,3.3217129344326732,3.318226144870132,0.08670840980217412,,,
iris_graph_signal,TV/Tiempo,990,0.16652982084070814,0.1411564793265537,0.07227789666395998,0.4183124791662037,0.4141698859352815,0.10683450880945858,2.334444343983438,2.2524941090791133,0.7061072781794963,10.450942907976353,10.310363752766545,3.6933705122439626,3.2956957131913587,3.2916461321742707,0.07261744599724929,,,
mne_sample,Baseline,2280,0.08114467610764313,0.050104767556304206,0.07945320961869023,0.21320193425603934,0.14045030995158644,0.1650074086035389,1.3434440579998763,0.8730512922562126,1.041103138192162,17.428096227273112,19.32046742976325,6.784252998905241,2.3346540522575143,2.253433932843037,0.18522375385461912,0.9199594950192221,0.962269151522221,0.08885481940319108
mne_sample,GSP Instantáneo,2280,0.17868059868680689,0.0862021163852647,0.18272464923882709,0.27783676326023843,0.2081141494448973,0.20872845046936578,2.0188444937904504,1.2247344997096803,1.6960170144987858,14.35852396064587,14.161605348816371,6.903816823656425,2.2915792373188375,2.239383222509981,0.1414779552887861,0.8712507574676699,0.8816130787246848,0.10094013645079684
mne_sample,TV/Tiempo,1710,0.04528761692678347,0.0380186080677158,0.03934277001895922,0.11993303833151275,0.1041710493953152,0.08061588607369474,0.8372099519905054,0.743278947658335,0.5082647833456868,20.669514312288797,20.83012609601513,4.550988890962973,2.235421232824274,2.225755699297206,0.0959397602654573,0.9633335081416128,0.9762796862400892,0.04411110706356605
physionet_eegmmidb_real,Baseline,2280,0.10738209059753288,0.08604183732899945,0.07839991418738361,0.27637038218236715,0.2494052146514982,0.14328614652500105,1.7083503872686796,1.608758876426579,0.7581007151623608,13.514685906549568,13.498591941202687,5.08583429279114,2.3250827552186273,2.314251245531155,0.10551181664446724,0.9238167294752627,0.9449835874168286,0.06843960937872813
physionet_eegmmidb_real,GSP Instantáneo,2280,0.21774894157402455,0.1224355914412183,0.2042097132917672,0.33324397662920074,0.2350653847876529,0.21381829944805125,2.465877507992121,1.6985459301593215,1.692193589129751,11.995351924171905,13.375088193742371,5.732051213188775,2.2999691266106637,2.2833527186568245,0.08819338930242376,0.9192671447221757,0.950021940160146,0.07224369768235292
physionet_eegmmidb_real,TV/Tiempo,1710,0.07989139710520897,0.0692633912775247,0.05057986257318009,0.20643525492455098,0.1898234613570534,0.09073084139699947,1.428917170333605,1.371821043599062,0.5538395252236046,15.340269084291517,15.23174080854087,3.8583691494604313,2.2836529365365394,2.2774093766587225,0.06849600441864301,0.9525393736674135,0.9636483606333612,0.0397576712341802
