Dataset,Familia,Combinacion,n_rows,MAE,RMSE,DTW,SNR,LSD,COHERENCE_MEAN
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | knn__k7 | idw,30,0.07002003980322018,0.18437448323777542,1.3096477773387742,16.049527408131386,2.2632782036852985,0.9652167828380446
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | knn__k7 | sobolev,30,0.5631444996127751,0.6895003585187406,5.4487892227154315,3.2563380718838246,2.4158106201573832,0.8006380680202585
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | knn__k7 | tikhonov,30,0.1727344568975186,0.24734474334882486,1.8399779860338978,12.995925828054652,2.2365614153809283,0.9440611194354297
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | knn__k9 | bgsrp,30,0.07362132367949163,0.19004616528998694,1.342396692400083,15.648736378515474,2.2711254621798074,0.962944910813023
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | knn__k9 | idw,30,0.07002003980322018,0.18437448323777542,1.3096477773387742,16.049527408131386,2.2632782036852985,0.9652167828380446
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | knn__k9 | sobolev,30,0.5679070465555827,0.6958553160385424,5.487417749221794,3.1771274850295517,2.419753238854761,0.7801302177374811
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | knn__k9 | tikhonov,30,0.1986986282251439,0.2754342339039211,2.062933440557992,11.928173234076219,2.2392972042052017,0.9296466628833279
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | knng | bgsrp,120,0.07009947717310282,0.1844992012142223,1.2813810378014416,16.127114439551345,2.2613075822404016,0.9653592768865699
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | knng | idw,120,0.07002003980322018,0.18437448323777542,1.3096477773387742,16.049527408131386,2.2632782036852985,0.9652167828380446
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | knng | sobolev,120,0.5452899521747764,0.6662222737369885,5.238749500809741,3.5584657150905787,2.4123397760680203,0.8602091070116511
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | knng | tikhonov,120,0.13493608877059718,0.21167924831184573,1.5610997198239962,14.642401395524356,2.236452292944895,0.9582255073189966
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | nnk | bgsrp,60,0.070124940043999,0.18597693475966123,1.2918341093028478,16.04212642727476,2.2642786362583456,0.96510633474776
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | nnk | idw,60,0.07002003980322018,0.18437448323777542,1.3096477773387742,16.049527408131386,2.2632782036852985,0.9652167828380446
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | nnk | sobolev,60,0.5151687950311971,0.6293893846406066,4.819490871962377,4.0493175900025165,2.3832822125819697,0.9282295144346566
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | nnk | tikhonov,60,0.07977773013889579,0.16754565386368234,1.1925155331885682,17.09081109130937,2.237762245656775,0.9721132332618277
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | vknng | bgsrp,90,0.06647797885287686,0.17440455161968607,1.2399403943678833,16.5124713593093,2.2552493484701013,0.9688315315083504
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | vknng | idw,90,0.07002003980322018,0.18437448323777542,1.3096477773387742,16.049527408131386,2.263278203685299,0.9652167828380445
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | vknng | sobolev,90,0.5549461569369776,0.6787003213714573,5.36896863345705,3.39267061234215,2.4174251770977793,0.8325435500173316
physionet_eegmmidb_real,GSP Instantáneo,physionet_eegmmidb_real | vknng | tikhonov,90,0.14862719413076744,0.22160141319178284,1.652907326761661,14.053094850359857,2.2321091797012866,0.9543691378262156
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | aew | temporal_laplacian,60,0.07545189303106792,0.197822533466934,1.4283478948893225,15.223316473223143,2.322382816047037,0.9481347261732
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | aew | trss,60,0.20115730553872757,0.48071645874848534,2.6641358888423583,6.758186599636758,2.481104402734838,0.8254502072796082
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | aew | tv,60,0.06878639442483499,0.18134273215775348,1.2560614061623832,16.15180527914417,2.2530051009947716,0.9661092635223836
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | epsilon_ball | temporal_laplacian,60,0.09386676319923073,0.23895524949204994,1.6779533384281844,13.343254322047871,2.3058362524927167,0.9407228203976205
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | epsilon_ball | trss,60,0.07917139229500597,0.20289765378341512,1.4921654615900168,14.906338597626176,2.278973846424128,0.9536349787819971
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | epsilon_ball | tv,60,0.09823919581334564,0.2502184840958918,1.735385519955342,12.925044161699018,2.310813059408569,0.9369524560761988
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | kalofolias | temporal_laplacian,60,0.12880478173068519,0.3348364296535749,2.11610212749667,10.43240835657482,2.3754874133784707,0.8983413135367958
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | kalofolias | trss,60,0.10764125436592643,0.2730370968216788,1.7803090530987737,12.171822139671653,2.344397726490992,0.9222508383347423
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | kalofolias | tv,60,0.0982586299066628,0.2502877297083144,1.7357830867566428,12.921239663363052,2.310749522460917,0.9369284533450363
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knn__k3 | temporal_laplacian,30,0.05755099156772549,0.15440209194853347,1.122050335740108,17.748835413657975,2.2519056270939233,0.9736796305471845
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knn__k3 | trss,30,0.05626411118045726,0.15277013349566043,1.088520488551943,18.159855425416787,2.2389060773039864,0.975062237287533
physionet_eegmmidb_real,TV/Tiempo,physionet_eegmmidb_real | knn__k3 | tv,30,0.08159960552879193,0.2091662511476317,1.4863023747273432,14.735058336482243,2.281602555487695,0.9549624988936376
