method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
gsp,0.3,dtw,,,,,,0
gsp,0.4,mae,0.2738,0.0207,0.2749,0.2408,0.3068,4
gsp,0.4,rmse,0.5094,0.0281,0.5106,0.4647,0.554,4
gsp,0.4,snr,-1.0829,0.4883,-1.0521,-1.8599,-0.3059,4
gsp,0.4,dtw,,,,,,0
heat_diffusion_temporal,0.1,mae,0.3673,0.3449,0.3355,-0.1816,0.9162,4
heat_diffusion_temporal,0.1,rmse,1.101,0.9983,1.0447,-0.4875,2.6895,4
heat_diffusion_temporal,0.1,snr,-9.0655,10.507,-9.0329,-25.7846,7.6535,4
heat_diffusion_temporal,0.1,dtw,,,,,,0
heat_diffusion_temporal,0.2,mae,0.6367,0.5913,0.6028,-0.3043,1.5776,4
heat_diffusion_temporal,0.2,rmse,1.4523,1.312,1.4095,-0.6354,3.54,4
heat_diffusion_temporal,0.2,snr,-9.1079,10.5093,-9.0831,-25.8305,7.6148,4
heat_diffusion_temporal,0.2,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,1.0107,0.936,1.0027,-0.4788,2.5001,4
heat_diffusion_temporal,0.3,rmse,1.8358,1.6598,1.825,-0.8053,4.4769,4
heat_diffusion_temporal,0.3,snr,-9.1594,10.5657,-9.1602,-25.9718,7.6531,4
heat_diffusion_temporal,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.4,mae,1.2622,1.1677,1.2072,-0.5959,3.1204,4
heat_diffusion_temporal,0.4,rmse,2.037,1.8337,1.9954,-0.8809,4.9548,4
heat_diffusion_temporal,0.4,snr,-9.096,10.4421,-9.1192,-25.7117,7.5197,4
heat_diffusion_temporal,0.4,dtw,,,,,,0
idw,0.1,mae,0.0746,0.0098,0.0746,0.059,0.0903,4
idw,0.1,rmse,0.2539,0.0237,0.2539,0.2162,0.2916,4
idw,0.1,snr,-0.3935,0.2523,-0.3935,-0.795,0.008,4
idw,0.1,dtw,,,,,,0
idw,0.2,mae,0.1299,0.0054,0.1299,0.1214,0.1384,4
idw,0.2,rmse,0.3321,0.0001,0.3321,0.3319,0.3322,4
idw,0.2,snr,-0.3614,0.3031,-0.3614,-0.8437,0.1209,4
idw,0.2,dtw,,,,,,0
idw,0.3,mae,0.2071,0.0022,0.2071,0.2035,0.2106,4
idw,0.3,rmse,0.4223,0.0103,0.4223,0.406,0.4387,4
idw,0.3,snr,-0.4962,0.2883,-0.4962,-0.9549,-0.0374,4
idw,0.3,dtw,,,,,,0
