dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,lambda
bci_iv2a_real_s3,kalofolias,tv,0.2,0,7.31351415798964e-07,2.046908007149265e-06,13.32399054883807,1.386953512830261e-05,"{""lam"": 0.05, ""n_iter"": 30}",,5,0.33680759998969734,0.05
bci_iv2a_real_s3,kalofolias,graph_time_tikhonov,0.2,0,1.648391098539724e-06,2.362714057011905e-06,11.984293830480988,1.8157226868983258e-05,"{""alpha"": 0.05, ""beta"": 0.1}",,5,0.012204700004076585,0.05
bci_iv2a_real_s3,kalofolias,trss,0.2,0,3.1697921436044055e-07,9.500945570057031e-07,20.521369525427676,7.216009035815635e-06,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01860310000483878,0.05
bci_iv2a_real_s3,kalofolias,temporal_laplacian,0.2,0,2.81547056132395e-06,3.701750279032626e-06,7.575502660027362,2.903855901640064e-05,"{""alpha"": 0.05, ""beta"": 0.5}",,5,4.195516499996302,0.05
bci_iv2a_real_s3,kalofolias,tv,0.2,1,7.345818621603216e-07,2.10050240800121e-06,13.247317937384542,1.457092626050771e-05,"{""lam"": 0.05, ""n_iter"": 30}",,5,0.367996699991636,0.05
bci_iv2a_real_s3,kalofolias,graph_time_tikhonov,0.2,1,1.6466099106944463e-06,2.4055048270347753e-06,11.948590286741798,1.8506072728864833e-05,"{""alpha"": 0.05, ""beta"": 0.1}",,5,0.012402199994539842,0.05
bci_iv2a_real_s3,kalofolias,trss,0.2,1,3.312815670413252e-07,1.0140941135046805e-06,20.629436009544033,7.548038583861397e-06,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.0762111000076402,0.05
bci_iv2a_real_s3,kalofolias,temporal_laplacian,0.2,1,2.8300238968185988e-06,3.71366383676772e-06,7.542374434405222,2.9161395793783707e-05,"{""alpha"": 0.05, ""beta"": 0.5}",,5,2.0560129000077723,0.05
bci_iv2a_real_s3,kalofolias,tv,0.2,0,7.313514165997352e-07,2.046908009239014e-06,13.323990538169815,1.3869535141230664e-05,"{""lam"": 0.1, ""n_iter"": 30}",,5,0.19069050000689458,0.1
bci_iv2a_real_s3,kalofolias,graph_time_tikhonov,0.2,0,1.9989259865370897e-06,2.70525220870566e-06,10.872580738227057,2.1005131986830556e-05,"{""alpha"": 0.1, ""beta"": 0.1}",,5,0.007899900010670535,0.1
bci_iv2a_real_s3,kalofolias,trss,0.2,0,3.458203809415972e-07,1.0211844044087593e-06,19.721113507917167,7.718330861316209e-06,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018966700008604676,0.1
bci_iv2a_real_s3,kalofolias,temporal_laplacian,0.2,0,3.735700300265584e-06,4.815628124115641e-06,5.267263370271142,3.658194378332596e-05,"{""alpha"": 0.1, ""beta"": 0.5}",,5,11.491994600000908,0.1
bci_iv2a_real_s3,kalofolias,tv,0.2,1,7.345818629123117e-07,2.100502409839137e-06,13.247317927639022,1.4570926273295015e-05,"{""lam"": 0.1, ""n_iter"": 30}",,5,0.33359829999972135,0.1
bci_iv2a_real_s3,kalofolias,graph_time_tikhonov,0.2,1,1.9953813333384286e-06,2.7381580769973697e-06,10.860754022606598,2.1153383688699145e-05,"{""alpha"": 0.1, ""beta"": 0.1}",,5,0.008101500003249384,0.1
bci_iv2a_real_s3,kalofolias,trss,0.2,1,3.6096132178760676e-07,1.0902937593585864e-06,19.757625088825208,8.21776383589872e-06,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018603299991809763,0.1
bci_iv2a_real_s3,kalofolias,temporal_laplacian,0.2,1,3.7451425256109144e-06,4.817289791754571e-06,5.250196739244724,3.661346576955249e-05,"{""alpha"": 0.1, ""beta"": 0.5}",,5,9.479604599997401,0.1
bci_iv2a_real_s3,kalofolias,tv,0.2,0,7.313514170027946e-07,2.0469080102908706e-06,13.323990532800067,1.3869535147737858e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.2768528000015067,0.2
bci_iv2a_real_s3,kalofolias,graph_time_tikhonov,0.2,0,2.4138458682318473e-06,3.1648708052548848e-06,9.563457483421843,2.4371176669106113e-05,"{""alpha"": 0.2, ""beta"": 0.1}",,5,0.00801839999621734,0.2
bci_iv2a_real_s3,kalofolias,trss,0.2,0,4.0223434479258795e-07,1.1643052466461858e-06,18.400249087862424,8.770885107418589e-06,"{""alpha"": 0.2, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018540299992309883,0.2
bci_iv2a_real_s3,kalofolias,temporal_laplacian,0.2,0,4.7150359109720785e-06,5.989497665835863e-06,3.3783654704792547,4.5030407695633486e-05,"{""alpha"": 0.2, ""beta"": 0.5}",,5,2.111257900003693,0.2
bci_iv2a_real_s3,kalofolias,tv,0.2,1,7.345818632908201e-07,2.100502410764242e-06,13.247317922733691,1.457092627973143e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.19212189999234397,0.2
bci_iv2a_real_s3,kalofolias,graph_time_tikhonov,0.2,1,2.410467541951692e-06,3.1875171759276325e-06,9.571687723240334,2.4493812071491687e-05,"{""alpha"": 0.2, ""beta"": 0.1}",,5,0.007864599989261478,0.2
bci_iv2a_real_s3,kalofolias,trss,0.2,1,4.1686885110353465e-07,1.239193490176743e-06,18.36013576746316,9.371376351089569e-06,"{""alpha"": 0.2, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018125600006897002,0.2
bci_iv2a_real_s3,kalofolias,temporal_laplacian,0.2,1,4.717273836528258e-06,5.983221939425456e-06,3.372929625348322,4.492703165031653e-05,"{""alpha"": 0.2, ""beta"": 0.5}",,5,10.338752199997543,0.2
