method,mae_mean,mae_std,mae_median,time_mean_sec
trss,0.062172393120742665,0.015249297440010893,0.05479173130511959,0.020398100001330022
tv,0.07582260332347746,0.010935736704999328,0.07032360759147269,0.19154421667190036
mean,0.07582260335741677,0.010935736697272287,0.07032360762893344,0.0020317333304168037
nearest,0.07873693149251221,0.02162828549934081,0.068805180625391,0.004189233331999276
tikhonov,0.2285882485460962,0.030791517928080214,0.2132544793792329,0.00570884999857905
graph_time_tikhonov,0.3750628129977323,0.04996829227310892,0.35010619444393365,0.008353899997018743
temporal_laplacian,0.646287640143847,0.003017278653295002,0.645291752067815,1.7139582333353853
