method,mae_mean,mae_std,mae_median,time_mean_sec
mean,0.01422124664823464,0.0020404167916756714,0.01422124664823464,0.003274000009696465
tv,0.014243879928097766,0.0020429260994464624,0.014243879928097766,0.5247298999966006
trss,0.017563581413364747,0.0021218343448424445,0.017563581413364747,0.655405650009925
nearest,0.018224446026311514,0.0014671106595988686,0.018224446026311514,0.01943780000146944
tikhonov,0.05972545627971803,0.0013189820394735353,0.05972545627971803,0.010067450006317813
graph_time_tikhonov,0.13231307333836512,0.0006628484789384638,0.13231307333836512,0.046381050000491086
temporal_laplacian,0.1376471905127999,0.0005426627005097244,0.1376471905127999,25.10859034999885
