dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,lambda
physionet_eegmmidb_real,gaussian__sigma0.6,tv,0.2,0,5.205791086632707e-06,1.445662427391486e-05,11.62766633108104,9.47990424205558e-05,"{""lam"": 0.05, ""n_iter"": 30}",,5,0.18918040000426117,0.05
physionet_eegmmidb_real,gaussian__sigma0.6,graph_time_tikhonov,0.2,0,1.5393484943667616e-05,2.0261785328428855e-05,9.521799893460075,0.00013681684772376784,"{""alpha"": 0.05, ""beta"": 0.1}",,5,0.007826999993994832,0.05
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.2,0,2.1566838072620363e-06,6.391996972794504e-06,18.526193460094294,4.974621384184167e-05,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018703000008827075,0.05
physionet_eegmmidb_real,gaussian__sigma0.6,temporal_laplacian,0.2,0,2.7079620170398427e-05,3.4281060099862064e-05,3.682157774629378,0.00023863717330269867,"{""alpha"": 0.05, ""beta"": 0.5}",,5,2.769842299996526,0.05
physionet_eegmmidb_real,gaussian__sigma0.6,tv,0.2,1,5.216700116172704e-06,1.4348631275964764e-05,11.537267194149551,9.41115611808294e-05,"{""lam"": 0.05, ""n_iter"": 30}",,5,0.1881366000015987,0.05
physionet_eegmmidb_real,gaussian__sigma0.6,graph_time_tikhonov,0.2,1,1.5410105589319863e-05,2.022675022193455e-05,9.485587370744382,0.0001380092225647888,"{""alpha"": 0.05, ""beta"": 0.1}",,5,0.008156700001563877,0.05
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.2,1,2.220206982696537e-06,6.7264335344601206e-06,18.423430958172077,5.013061518514312e-05,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019155999994836748,0.05
physionet_eegmmidb_real,gaussian__sigma0.6,temporal_laplacian,0.2,1,2.7194744906147207e-05,3.449255522821975e-05,3.627931443889666,0.0002410334362979084,"{""alpha"": 0.05, ""beta"": 0.5}",,5,2.6992329000058817,0.05
physionet_eegmmidb_real,gaussian__sigma0.6,tv,0.2,0,5.205825184451234e-06,1.4456714869170224e-05,11.627609781648127,9.479943043579627e-05,"{""lam"": 0.1, ""n_iter"": 30}",,5,0.19158129999414086,0.1
physionet_eegmmidb_real,gaussian__sigma0.6,graph_time_tikhonov,0.2,0,1.8283018936385013e-05,2.3509616459517786e-05,8.34390829841259,0.0001565645727951465,"{""alpha"": 0.1, ""beta"": 0.1}",,5,0.008325000002514571,0.1
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.2,0,2.3814881718641747e-06,6.9730446112752714e-06,17.761192098821777,5.396614263826261e-05,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.0192832000029739,0.1
physionet_eegmmidb_real,gaussian__sigma0.6,temporal_laplacian,0.2,0,3.2204104403762435e-05,4.020868453123159e-05,2.2435422316862854,0.00029195269139575835,"{""alpha"": 0.1, ""beta"": 0.5}",,5,2.7127466999954777,0.1
physionet_eegmmidb_real,gaussian__sigma0.6,tv,0.2,1,5.216734742358638e-06,1.4348722655036362e-05,11.537209173342148,9.411202178777771e-05,"{""lam"": 0.1, ""n_iter"": 30}",,5,0.2064024999999674,0.1
physionet_eegmmidb_real,gaussian__sigma0.6,graph_time_tikhonov,0.2,1,1.8295939972754326e-05,2.3485377165917743e-05,8.319799279740488,0.00015649974587491058,"{""alpha"": 0.1, ""beta"": 0.1}",,5,0.007946199999423698,0.1
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.2,1,2.4383589542981897e-06,7.228508041265174e-06,17.56987537190916,5.374186475281572e-05,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01958290000038687,0.1
physionet_eegmmidb_real,gaussian__sigma0.6,temporal_laplacian,0.2,1,3.2270236301395925e-05,4.0349389826658464e-05,2.2127543695982146,0.0002943204032401655,"{""alpha"": 0.1, ""beta"": 0.5}",,5,2.4758790000050794,0.1
physionet_eegmmidb_real,gaussian__sigma0.6,tv,0.2,0,5.205842268110674e-06,1.4456760259310149e-05,11.627581449374077,9.479962484297479e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.18897269999433775,0.2
physionet_eegmmidb_real,gaussian__sigma0.6,graph_time_tikhonov,0.2,0,2.0497934912508725e-05,2.614351126225381e-05,7.472725330035907,0.00017115615928787572,"{""alpha"": 0.2, ""beta"": 0.1}",,5,0.008656099991640076,0.2
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.2,0,2.8197493130625804e-06,8.081990850903863e-06,16.53293650452213,6.0994025547450364e-05,"{""alpha"": 0.2, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019052300005569123,0.2
physionet_eegmmidb_real,gaussian__sigma0.6,temporal_laplacian,0.2,0,3.6085984640886815e-05,4.475546061150219e-05,1.290191423365649,0.0003332563214650897,"{""alpha"": 0.2, ""beta"": 0.5}",,5,2.744206400006078,0.2
physionet_eegmmidb_real,gaussian__sigma0.6,tv,0.2,1,5.216752090743128e-06,1.4348768437901924e-05,11.537180103883339,9.411225256406769e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.19510759999684524,0.2
physionet_eegmmidb_real,gaussian__sigma0.6,graph_time_tikhonov,0.2,1,2.0509749485616384e-05,2.6129149366363923e-05,7.45362326792932,0.00017060261524566003,"{""alpha"": 0.2, ""beta"": 0.1}",,5,0.008521699986886233,0.2
physionet_eegmmidb_real,gaussian__sigma0.6,trss,0.2,1,2.8667056547974637e-06,8.262950195307858e-06,16.27623960313038,6.0826678921241746e-05,"{""alpha"": 0.2, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019238199995015748,0.2
physionet_eegmmidb_real,gaussian__sigma0.6,temporal_laplacian,0.2,1,3.611974601087108e-05,4.4849735439473925e-05,1.271450085876324,0.00033694699029183196,"{""alpha"": 0.2, ""beta"": 0.5}",,5,1.2514228000072762,0.2
